male,female,total
3938.451,3857.588,7796.039
3561.034,3498.879,7059.913
3119.806,3072.37,6192.176
2636.412,2620.836,5257.248
2123.674,2204.507,4328.181
1713.437,1831.057,3544.494
1365.364,1483.16,2848.524
1077.75,1174.826,2252.576
846.052,919.352,1765.404
662.255,705.745,1368.0
515.252,550.341,1065.593
370.051,416.791,786.842
255.09,312.644,567.734
172.247,234.344,406.591
104.873,156.616,261.489
56.142,94.367,150.509
21.328,42.317,63.645
6.484,15.961,22.445
0.843,2.551,3.394
0.043,0.154,0.197
0.001,0.005,0.006
