male,female,total
1087.54,1026.31,2113.85
1274.658,1201.003,2475.661
1237.435,1166.308,2403.743
1021.056,958.718,1979.774
1100.799,1045.248,2146.047
1408.741,1343.703,2752.444
1824.887,1759.947,3584.834
1828.869,1795.255,3624.124
1627.017,1710.174,3337.191
1473.562,1595.651,3069.213
1298.962,1503.996,2802.958
1380.075,1723.704,3103.779
1225.646,1701.998,2927.644
999.434,1612.778,2612.212
633.399,1135.678,1769.077
376.77,837.583,1214.353
319.817,867.345,1187.162
103.844,308.353,412.197
36.422,151.726,188.148
3.962,23.467,27.429
0.253,1.666,1.919
