time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-30,,,1.0,,,,0.015,,5.56
2020-01-31,2.0,,0.0,,0.03,,0.0,,8.33
2020-02-01,0.0,,0.0,,0.0,,0.0,,8.33
2020-02-02,0.0,,1.0,,0.0,,0.015,,11.11
2020-02-03,6.0,,0.0,,0.089,,0.0,,11.11
2020-02-04,0.0,,0.0,0.286,0.0,,0.0,0.004,11.11
2020-02-05,1.0,1.286,0.0,0.286,0.015,0.019,0.0,0.004,11.11
2020-02-06,0.0,1.286,0.0,0.143,0.0,0.019,0.0,0.002,11.11
2020-02-07,0.0,1.0,0.0,0.143,0.0,0.015,0.0,0.002,11.11
2020-02-08,4.0,1.571,0.0,0.143,0.059,0.023,0.0,0.002,11.11
2020-02-09,1.0,1.714,0.0,0.0,0.015,0.025,0.0,0.0,11.11
2020-02-10,0.0,0.857,0.0,0.0,0.0,0.013,0.0,0.0,11.11
2020-02-11,1.0,1.0,0.0,0.0,0.015,0.015,0.0,0.0,11.11
2020-02-12,1.0,1.0,0.0,0.0,0.015,0.015,0.0,0.0,11.11
2020-02-13,1.0,1.143,0.0,0.0,0.015,0.017,0.0,0.0,11.11
2020-02-14,1.0,1.286,0.0,0.0,0.015,0.019,0.0,0.0,11.11
2020-02-15,0.0,0.714,0.0,0.0,0.0,0.011,0.0,0.0,11.11
2020-02-16,0.0,0.571,0.0,0.0,0.0,0.008,0.0,0.0,11.11
2020-02-17,1.0,0.714,0.0,0.0,0.015,0.011,0.0,0.0,11.11
2020-02-18,0.0,0.571,0.0,0.0,0.0,0.008,0.0,0.0,11.11
2020-02-19,1.0,0.571,0.0,0.0,0.015,0.008,0.0,0.0,11.11
2020-02-20,2.0,0.714,0.0,0.0,0.03,0.011,0.0,0.0,11.11
2020-02-21,1.0,0.714,0.0,0.0,0.015,0.011,0.0,0.0,11.11
2020-02-22,0.0,0.714,1.0,0.143,0.0,0.011,0.015,0.002,11.11
2020-02-23,5.0,1.429,0.0,0.143,0.074,0.021,0.0,0.002,11.11
2020-02-24,2.0,1.571,0.0,0.143,0.03,0.023,0.0,0.002,11.11
2020-02-25,4.0,2.143,0.0,0.143,0.059,0.032,0.0,0.002,11.11
2020-02-26,3.0,2.429,0.0,0.143,0.044,0.036,0.0,0.002,11.11
2020-02-27,7.0,3.143,0.0,0.143,0.104,0.047,0.0,0.002,11.11
2020-02-28,12.0,4.714,0.0,0.143,0.178,0.07,0.0,0.002,11.11
2020-02-29,5.0,5.429,0.0,0.0,0.074,0.08,0.0,0.0,11.11
2020-03-01,33.0,9.429,0.0,0.0,0.489,0.14,0.0,0.0,11.11
2020-03-02,40.0,14.857,1.0,0.143,0.593,0.22,0.015,0.002,11.11
2020-03-03,55.0,22.143,0.0,0.143,0.815,0.328,0.0,0.002,11.11
2020-03-04,56.0,29.714,1.0,0.286,0.83,0.44,0.015,0.004,11.11
2020-03-05,49.0,35.714,2.0,0.571,0.726,0.529,0.03,0.008,11.11
2020-03-06,79.0,45.286,2.0,0.857,1.17,0.671,0.03,0.013,11.11
2020-03-07,55.0,52.429,0.0,0.857,0.815,0.777,0.0,0.013,11.11
2020-03-08,54.0,55.429,2.0,1.143,0.8,0.821,0.03,0.017,11.11
2020-03-09,147.0,70.714,5.0,1.714,2.177,1.047,0.074,0.025,11.11
2020-03-10,258.0,99.714,3.0,2.143,3.822,1.477,0.044,0.032,11.11
2020-03-11,411.0,150.429,7.0,3.0,6.088,2.228,0.104,0.044,11.11
2020-03-12,489.0,213.286,13.0,4.571,7.243,3.159,0.193,0.068,11.11
2020-03-13,479.0,270.429,16.0,6.571,7.095,4.006,0.237,0.097,12.96
2020-03-14,364.0,314.571,21.0,9.571,5.392,4.66,0.311,0.142,12.96
2020-03-15,442.0,370.0,31.0,13.714,6.547,5.481,0.459,0.203,12.96
2020-03-16,612.0,436.429,51.0,20.286,9.065,6.465,0.755,0.3,16.67
2020-03-17,768.0,509.286,58.0,28.143,11.376,7.544,0.859,0.417,22.22
2020-03-18,999.0,593.286,73.0,37.571,14.798,8.788,1.081,0.557,31.48
2020-03-19,1055.0,674.143,79.0,47.0,15.628,9.986,1.17,0.696,31.48
2020-03-20,1254.0,784.857,118.0,61.571,18.575,11.626,1.748,0.912,37.04
2020-03-21,1197.0,903.857,144.0,79.143,17.731,13.389,2.133,1.172,47.22
2020-03-22,1376.0,1037.286,183.0,100.857,20.382,15.365,2.711,1.494,62.04
2020-03-23,2335.0,1283.429,208.0,123.286,34.588,19.011,3.081,1.826,78.24
2020-03-24,2371.0,1512.429,263.0,152.571,35.121,22.403,3.896,2.26,79.63
2020-03-25,2693.0,1754.429,337.0,190.286,39.891,25.988,4.992,2.819,79.63
2020-03-26,3084.0,2044.286,413.0,238.0,45.683,30.282,6.118,3.525,79.63
2020-03-27,3201.0,2322.429,463.0,287.286,47.416,34.402,6.858,4.256,79.63
2020-03-28,2822.0,2554.571,516.0,340.429,41.802,37.84,7.643,5.043,79.63
2020-03-29,2857.0,2766.143,586.0,398.0,42.32,40.974,8.68,5.896,79.63
2020-03-30,4273.0,3043.0,711.0,469.857,63.295,45.076,10.532,6.96,79.63
2020-03-31,4515.0,3349.286,831.0,551.0,66.88,49.612,12.309,8.162,79.63
2020-04-01,4914.0,3666.571,924.0,634.857,72.79,54.312,13.687,9.404,79.63
2020-04-02,4865.0,3921.0,1007.0,719.714,72.065,58.081,14.917,10.661,79.63
2020-04-03,4915.0,4165.857,1061.0,805.143,72.805,61.708,15.716,11.926,79.63
2020-04-04,4020.0,4337.0,1147.0,895.286,59.548,64.243,16.99,13.262,79.63
2020-04-05,3594.0,4442.286,1220.0,985.857,53.237,65.803,18.072,14.603,79.63
2020-04-06,5275.0,4585.429,1170.0,1051.429,78.138,67.923,17.331,15.575,79.63
2020-04-07,5450.0,4719.0,1293.0,1117.429,80.73,69.902,19.153,16.552,79.63
2020-04-08,5129.0,4749.714,1461.0,1194.143,75.975,70.357,21.642,17.689,79.63
2020-04-09,4852.0,4747.857,1375.0,1246.714,71.872,70.329,20.368,18.467,79.63
2020-04-10,4315.0,4662.143,1319.0,1283.571,63.917,69.06,19.538,19.013,79.63
2020-04-11,3577.0,4598.857,1365.0,1314.714,52.986,68.122,20.22,19.475,79.63
2020-04-12,3495.0,4584.714,1378.0,1337.286,51.771,67.913,20.412,19.809,79.63
