male,female,total
2009.363,1915.127,3924.49
2108.55,2011.016,4119.566
2022.37,1933.97,3956.34
1880.611,1805.522,3686.133
2072.674,2001.966,4074.64
2275.138,2208.929,4484.067
2361.054,2345.774,4706.828
2279.836,2308.36,4588.196
2148.253,2159.877,4308.13
2128.343,2167.778,4296.121
2281.421,2353.119,4634.54
2232.388,2306.537,4538.925
1919.839,1985.177,3905.016
1647.391,1734.37,3381.761
1624.635,1763.853,3388.488
1137.438,1304.709,2442.147
766.956,969.611,1736.567
438.663,638.892,1077.555
169.952,320.625,490.577
34.524,95.559,130.083
3.016,12.818,15.834
