time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-15,1.0,,,,0.029,,,,16.67
2020-03-16,5.0,,,,0.144,,,,57.41
2020-03-17,4.0,,,,0.116,,,,57.41
2020-03-18,5.0,,,,0.144,,,,57.41
2020-03-19,8.0,,,,0.231,,,,57.41
2020-03-20,10.0,4.714,,,0.289,0.136,,,57.41
2020-03-21,10.0,6.143,,,0.289,0.177,,,61.11
2020-03-22,0.0,6.0,,,0.0,0.173,,,69.44
2020-03-23,3.0,5.714,,,0.087,0.165,,,72.22
2020-03-24,4.0,5.714,,,0.116,0.165,,,80.56
2020-03-25,10.0,6.429,,,0.289,0.186,,,80.56
2020-03-26,15.0,7.429,,,0.433,0.215,,,80.56
2020-03-27,13.0,7.857,1.0,,0.375,0.227,0.029,,90.74
2020-03-28,16.0,8.714,1.0,,0.462,0.252,0.029,,90.74
2020-03-29,40.0,14.429,0.0,,1.155,0.417,0.0,,90.74
2020-03-30,5.0,14.714,0.0,,0.144,0.425,0.0,,90.74
2020-03-31,23.0,17.429,0.0,,0.664,0.503,0.0,,90.74
2020-04-01,9.0,17.286,0.0,0.286,0.26,0.499,0.0,0.008,90.74
2020-04-02,24.0,18.571,0.0,0.286,0.693,0.536,0.0,0.008,90.74
2020-04-03,22.0,19.857,0.0,0.143,0.635,0.573,0.0,0.004,90.74
2020-04-04,39.0,23.143,0.0,0.0,1.126,0.668,0.0,0.0,90.74
2020-04-05,76.0,28.286,0.0,0.0,2.195,0.817,0.0,0.0,90.74
2020-04-06,115.0,44.0,0.0,0.0,3.321,1.271,0.0,0.0,90.74
2020-04-07,63.0,49.714,0.0,0.0,1.819,1.436,0.0,0.0,90.74
2020-04-08,25.0,52.0,1.0,0.143,0.722,1.502,0.029,0.004,90.74
2020-04-09,37.0,53.857,0.0,0.143,1.069,1.555,0.0,0.004,90.74
