male,female,total
349432.556,328509.234,677941.79
342927.577,321511.867,664439.444
331497.486,309769.906,641267.392
316642.222,295553.758,612195.98
308286.775,289100.903,597387.678
306059.387,288632.766,594692.153
309236.984,296293.748,605530.732
276447.037,268371.754,544818.791
249389.688,244399.176,493788.864
241232.877,238133.282,479366.159
222609.691,223162.982,445772.673
192215.395,195633.743,387849.138
157180.267,164961.323,322141.59
128939.392,140704.32,269643.712
87185.982,101491.347,188677.329
54754.941,69026.831,123781.772
33648.953,48281.201,81930.154
15756.942,26429.329,42186.271
5327.866,11352.182,16680.048
1077.791,3055.845,4133.636
124.144,449.279,573.423
