time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-18,2.0,,,,0.1,,,,16.67
2020-03-19,0.0,,,,0.0,,,,16.67
2020-03-20,0.0,,,,0.0,,,,27.78
2020-03-21,0.0,,,,0.0,,,,27.78
2020-03-22,1.0,,,,0.05,,,,27.78
2020-03-23,0.0,0.429,,,0.0,0.021,,,27.78
2020-03-24,0.0,0.429,,,0.0,0.021,,,27.78
2020-03-25,9.0,1.429,,,0.45,0.071,,,27.78
2020-03-26,4.0,2.0,,,0.2,0.1,,,36.11
2020-03-27,6.0,2.857,,,0.3,0.143,,,41.67
2020-03-28,6.0,3.714,,,0.3,0.186,,,41.67
2020-03-29,1.0,3.714,,,0.05,0.186,,,47.22
2020-03-30,6.0,4.571,,,0.3,0.228,,,47.22
2020-03-31,0.0,4.571,,,0.0,0.228,,,47.22
2020-04-01,1.0,3.429,,,0.05,0.171,,,47.22
2020-04-02,3.0,3.286,1.0,,0.15,0.164,0.05,,47.22
2020-04-03,0.0,2.429,0.0,,0.0,0.121,0.0,,47.22
2020-04-04,0.0,1.571,0.0,,0.0,0.079,0.0,,47.22
2020-04-05,0.0,1.429,0.0,,0.0,0.071,0.0,,47.22
2020-04-06,0.0,0.571,0.0,,0.0,0.029,0.0,,47.22
2020-04-07,0.0,0.571,0.0,0.143,0.0,0.029,0.0,0.007,47.22
2020-04-08,0.0,0.429,0.0,0.143,0.0,0.021,0.0,0.007,47.22
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93
2020-04-10,1.0,0.143,1.0,0.143,0.05,0.007,0.05,0.007,50.93
2020-04-11,0.0,0.143,0.0,0.143,0.0,0.007,0.0,0.007,50.93
2020-04-12,3.0,0.571,0.0,0.143,0.15,0.029,0.0,0.007,50.93
2020-04-13,2.0,0.857,0.0,0.143,0.1,0.043,0.0,0.007,50.93
2020-04-14,0.0,0.857,0.0,0.143,0.0,0.043,0.0,0.007,53.7
2020-04-15,3.0,1.286,0.0,0.143,0.15,0.064,0.0,0.007,65.28
2020-04-16,0.0,1.286,0.0,0.143,0.0,0.064,0.0,0.007,65.28
2020-04-17,4.0,1.714,0.0,0.0,0.2,0.086,0.0,0.0,65.28
2020-04-18,5.0,2.429,0.0,0.0,0.25,0.121,0.0,0.0,65.28
2020-04-19,4.0,2.571,1.0,0.143,0.2,0.128,0.05,0.007,65.28
2020-04-20,4.0,2.857,0.0,0.143,0.2,0.143,0.0,0.007,65.28
2020-04-21,5.0,3.571,0.0,0.143,0.25,0.178,0.0,0.007,65.28
2020-04-22,4.0,3.714,0.0,0.143,0.2,0.186,0.0,0.007,65.28
2020-04-23,2.0,4.0,0.0,0.143,0.1,0.2,0.0,0.007,65.28
2020-04-24,8.0,4.571,0.0,0.143,0.4,0.228,0.0,0.007,65.28
2020-04-25,0.0,3.857,0.0,0.143,0.0,0.193,0.0,0.007,65.28
2020-04-26,4.0,3.857,0.0,0.0,0.2,0.193,0.0,0.0,65.28
2020-04-27,0.0,3.286,0.0,0.0,0.0,0.164,0.0,0.0,65.28
2020-04-28,7.0,3.571,0.0,0.0,0.35,0.178,0.0,0.0,65.28
2020-04-29,2.0,3.286,0.0,0.0,0.1,0.164,0.0,0.0,65.28
2020-04-30,9.0,4.286,0.0,0.0,0.45,0.214,0.0,0.0,65.28
2020-05-01,3.0,3.571,0.0,0.0,0.15,0.178,0.0,0.0,65.28
2020-05-02,10.0,5.0,0.0,0.0,0.5,0.25,0.0,0.0,70.83
2020-05-03,5.0,5.143,0.0,0.0,0.25,0.257,0.0,0.0,70.83
2020-05-04,13.0,7.0,0.0,0.0,0.649,0.35,0.0,0.0,70.83
2020-05-05,1.0,6.143,0.0,0.0,0.05,0.307,0.0,0.0,70.83
2020-05-06,8.0,7.0,1.0,0.143,0.4,0.35,0.05,0.007,70.83
2020-05-07,7.0,6.714,0.0,0.143,0.35,0.335,0.0,0.007,70.83
2020-05-08,14.0,8.286,0.0,0.143,0.699,0.414,0.0,0.007,43.52
2020-05-09,85.0,19.0,3.0,0.571,4.246,0.949,0.15,0.029,43.52
2020-05-10,15.0,20.429,0.0,0.571,0.749,1.021,0.0,0.029,43.52
2020-05-11,0.0,18.571,0.0,0.571,0.0,0.928,0.0,0.029,43.52
2020-05-12,174.0,43.286,0.0,0.571,8.692,2.162,0.0,0.029,43.52
2020-05-13,5.0,42.857,0.0,0.429,0.25,2.141,0.0,0.021,43.52
2020-05-14,208.0,71.571,0.0,0.429,10.391,3.575,0.0,0.021,43.52
2020-05-15,0.0,69.571,0.0,0.429,0.0,3.476,0.0,0.021,43.52
2020-05-16,25.0,61.0,0.0,0.0,1.249,3.047,0.0,0.0,43.52
2020-05-17,74.0,69.429,0.0,0.0,3.697,3.468,0.0,0.0,43.52
2020-05-18,8.0,70.571,0.0,0.0,0.4,3.525,0.0,0.0,43.52
2020-05-19,11.0,47.286,0.0,0.0,0.55,2.362,0.0,0.0,43.52
2020-05-20,60.0,55.143,0.0,0.0,2.997,2.755,0.0,0.0,43.52
2020-05-21,34.0,30.286,0.0,0.0,1.698,1.513,0.0,0.0,43.52
2020-05-22,54.0,38.0,0.0,0.0,2.698,1.898,0.0,0.0,43.52
2020-05-23,0.0,34.429,0.0,0.0,0.0,1.72,0.0,0.0,43.52
2020-05-24,0.0,23.857,0.0,0.0,0.0,1.192,0.0,0.0,43.52
2020-05-25,0.0,22.714,0.0,0.0,0.0,1.135,0.0,0.0,43.52
2020-05-26,0.0,21.143,0.0,0.0,0.0,1.056,0.0,0.0,43.52
2020-05-27,137.0,32.143,0.0,0.0,6.844,1.606,0.0,0.0,43.52
2020-05-28,0.0,27.286,0.0,0.0,0.0,1.363,0.0,0.0,43.52
2020-05-29,0.0,19.571,0.0,0.0,0.0,0.978,0.0,0.0,43.52
2020-05-30,0.0,19.571,0.0,0.0,0.0,0.978,0.0,0.0,43.52
2020-05-31,0.0,19.571,0.0,0.0,0.0,0.978,0.0,0.0,43.52
2020-06-01,32.0,24.143,0.0,0.0,1.599,1.206,0.0,0.0,39.81
2020-06-02,0.0,24.143,0.0,0.0,0.0,1.206,0.0,0.0,39.81
2020-06-03,0.0,4.571,0.0,0.0,0.0,0.228,0.0,0.0,39.81
2020-06-04,0.0,4.571,0.0,0.0,0.0,0.228,0.0,0.0,39.81
2020-06-05,0.0,4.571,0.0,0.0,0.0,0.228,0.0,0.0,39.81
2020-06-06,0.0,4.571,0.0,0.0,0.0,0.228,0.0,0.0,39.81
2020-06-07,0.0,4.571,0.0,0.0,0.0,0.228,0.0,0.0,39.81
2020-06-08,111.0,15.857,3.0,0.429,5.545,0.792,0.15,0.021,39.81
2020-06-09,0.0,15.857,0.0,0.429,0.0,0.792,0.0,0.021,39.81
2020-06-10,0.0,15.857,0.0,0.429,0.0,0.792,0.0,0.021,39.81
2020-06-11,0.0,15.857,0.0,0.429,0.0,0.792,0.0,0.021,39.81
2020-06-12,121.0,33.143,0.0,0.429,6.045,1.656,0.0,0.021,39.81
2020-06-13,36.0,38.286,0.0,0.429,1.798,1.913,0.0,0.021,39.81
2020-06-14,1.0,38.429,1.0,0.571,0.05,1.92,0.05,0.029,39.81
2020-06-15,24.0,26.0,0.0,0.143,1.199,1.299,0.0,0.007,39.81
2020-06-16,23.0,29.286,0.0,0.143,1.149,1.463,0.0,0.007,39.81
2020-06-17,7.0,30.286,0.0,0.143,0.35,1.513,0.0,0.007,39.81
2020-06-18,4.0,30.857,0.0,0.143,0.2,1.541,0.0,0.007,39.81
2020-06-19,14.0,15.571,0.0,0.143,0.699,0.778,0.0,0.007,39.81
2020-06-20,0.0,10.429,0.0,0.143,0.0,0.521,0.0,0.007,39.81
2020-06-21,0.0,10.286,0.0,0.0,0.0,0.514,0.0,0.0,39.81
2020-06-22,0.0,6.857,0.0,0.0,0.0,0.343,0.0,0.0,39.81
2020-06-23,47.0,10.286,7.0,1.0,2.348,0.514,0.35,0.05,39.81
2020-06-24,12.0,11.0,0.0,1.0,0.599,0.55,0.0,0.05,39.81
2020-06-25,8.0,11.571,0.0,1.0,0.4,0.578,0.0,0.05,50.93
2020-06-26,34.0,14.429,3.0,1.429,1.698,0.721,0.15,0.071,50.93
2020-06-27,0.0,14.429,0.0,1.429,0.0,0.721,0.0,0.071,50.93
2020-06-28,26.0,18.143,1.0,1.571,1.299,0.906,0.05,0.079,50.93
2020-06-29,11.0,19.714,0.0,1.571,0.55,0.985,0.0,0.079,50.93
2020-06-30,26.0,16.714,2.0,0.857,1.299,0.835,0.1,0.043,50.93
2020-07-01,38.0,20.429,6.0,1.714,1.898,1.021,0.3,0.086,50.93
2020-07-02,0.0,19.286,0.0,1.714,0.0,0.963,0.0,0.086,50.93
2020-07-03,0.0,14.429,0.0,1.286,0.0,0.721,0.0,0.064,50.93
2020-07-04,0.0,14.429,0.0,1.286,0.0,0.721,0.0,0.064,50.93
2020-07-05,0.0,10.714,0.0,1.143,0.0,0.535,0.0,0.057,50.93
2020-07-06,0.0,9.143,0.0,1.143,0.0,0.457,0.0,0.057,50.93
2020-07-07,263.0,43.0,12.0,2.571,13.138,2.148,0.599,0.128,50.93
2020-07-08,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-09,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-10,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-11,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-12,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-13,0.0,37.571,0.0,1.714,0.0,1.877,0.0,0.086,50.93
2020-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93
2020-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93
2020-07-17,915.0,130.714,67.0,9.571,45.71,6.53,3.347,0.478,50.93
2020-07-18,170.0,155.0,11.0,11.143,8.492,7.743,0.55,0.557,50.93
2020-07-19,0.0,155.0,0.0,11.143,0.0,7.743,0.0,0.557,50.93
2020-07-20,346.0,204.429,8.0,12.286,17.285,10.212,0.4,0.614,50.93
2020-07-21,60.0,213.0,0.0,12.286,2.997,10.641,0.0,0.614,50.93
2020-07-22,197.0,241.143,0.0,12.286,9.841,12.046,0.0,0.614,50.93
2020-07-23,206.0,270.571,6.0,13.143,10.291,13.517,0.3,0.657,50.93
2020-07-24,67.0,149.429,2.0,3.857,3.347,7.465,0.1,0.193,50.93
2020-07-25,472.0,192.571,3.0,2.714,23.579,9.62,0.15,0.136,50.93
2020-07-26,153.0,214.429,0.0,2.714,7.643,10.712,0.0,0.136,50.93
2020-07-27,71.0,175.143,1.0,1.714,3.547,8.749,0.05,0.086,50.93
2020-07-28,450.0,230.857,2.0,2.0,22.48,11.533,0.1,0.1,50.93
2020-07-29,247.0,238.0,4.0,2.571,12.339,11.889,0.2,0.128,50.93
2020-07-30,306.0,252.286,3.0,2.143,15.286,12.603,0.15,0.107,50.93
2020-07-31,408.0,301.0,2.0,2.143,20.382,15.037,0.1,0.107,50.93
2020-08-01,265.0,271.429,14.0,3.714,13.238,13.559,0.699,0.186,50.93
2020-08-02,119.0,266.571,5.0,4.429,5.945,13.317,0.25,0.221,50.93
2020-08-03,233.0,289.714,1.0,4.429,11.64,14.473,0.05,0.221,50.93
2020-08-04,213.0,255.857,2.0,4.429,10.641,12.782,0.1,0.221,50.93
2020-08-05,229.0,253.286,3.0,4.286,11.44,12.653,0.15,0.214,50.93
2020-08-06,142.0,229.857,23.0,7.143,7.094,11.483,1.149,0.357,50.93
2020-08-07,322.0,217.571,1.0,7.0,16.086,10.869,0.05,0.35,50.93
2020-08-08,417.0,239.286,3.0,5.429,20.832,11.954,0.15,0.271,50.93
2020-08-09,182.0,248.286,32.0,9.286,9.092,12.403,1.599,0.464,50.93
2020-08-10,125.0,232.857,6.0,10.0,6.244,11.633,0.3,0.5,50.93
2020-08-11,65.0,211.714,0.0,9.714,3.247,10.576,0.0,0.485,50.93
2020-08-12,226.0,211.286,5.0,10.0,11.29,10.555,0.25,0.5,50.93
2020-08-13,162.0,214.143,0.0,6.714,8.093,10.698,0.0,0.335,50.93
2020-08-14,358.0,219.286,10.0,8.0,17.884,10.955,0.5,0.4,50.93
2020-08-15,165.0,183.286,4.0,8.143,8.243,9.156,0.2,0.407,50.93
2020-08-16,157.0,179.714,0.0,3.571,7.843,8.978,0.0,0.178,50.93
2020-08-17,496.0,232.714,4.0,3.286,24.778,11.625,0.2,0.164,50.93
2020-08-18,142.0,243.714,0.0,3.286,7.094,12.175,0.0,0.164,50.93
2020-08-19,237.0,245.286,5.0,3.286,11.84,12.253,0.25,0.164,50.93
2020-08-20,154.0,244.143,5.0,4.0,7.693,12.196,0.25,0.2,49.07
2020-08-21,255.0,229.429,3.0,3.0,12.739,11.461,0.15,0.15,49.07
2020-08-22,204.0,235.0,2.0,2.714,10.191,11.74,0.1,0.136,49.07
2020-08-23,251.0,248.429,1.0,2.857,12.539,12.41,0.05,0.143,49.07
2020-08-24,66.0,187.0,0.0,2.286,3.297,9.342,0.0,0.114,49.07
2020-08-25,137.0,186.286,2.0,2.571,6.844,9.306,0.1,0.128,49.07
2020-08-26,91.0,165.429,0.0,1.857,4.546,8.264,0.0,0.093,49.07
2020-08-27,225.0,175.571,0.0,1.143,11.24,8.771,0.0,0.057,49.07
2020-08-28,178.0,164.571,1.0,0.857,8.892,8.221,0.05,0.043,49.07
2020-08-29,123.0,153.0,1.0,0.714,6.145,7.643,0.05,0.036,49.07
2020-08-30,123.0,134.714,3.0,1.0,6.145,6.73,0.15,0.05,49.07
2020-08-31,72.0,135.571,1.0,1.143,3.597,6.773,0.05,0.057,49.07
2020-09-01,284.0,156.571,2.0,1.143,14.187,7.822,0.1,0.057,50.93
2020-09-02,34.0,148.429,2.0,1.429,1.698,7.415,0.1,0.071,50.93
2020-09-03,108.0,131.714,0.0,1.429,5.395,6.58,0.0,0.071,50.93
2020-09-04,116.0,122.857,0.0,1.286,5.795,6.137,0.0,0.064,50.93
2020-09-05,70.0,115.286,0.0,1.143,3.497,5.759,0.0,0.057,50.93
2020-09-06,67.0,107.286,3.0,1.143,3.347,5.36,0.15,0.057,50.93
2020-09-07,60.0,105.571,0.0,1.0,2.997,5.274,0.0,0.05,50.93
2020-09-08,116.0,81.571,2.0,1.0,5.795,4.075,0.1,0.05,50.93
2020-09-09,160.0,99.571,3.0,1.143,7.993,4.974,0.15,0.057,50.93
2020-09-10,102.0,98.714,0.0,1.143,5.095,4.931,0.0,0.057,50.93
2020-09-11,109.0,97.714,6.0,2.0,5.445,4.881,0.3,0.1,50.93
2020-09-12,143.0,108.143,6.0,2.857,7.144,5.402,0.3,0.143,50.93
2020-09-13,73.0,109.0,0.0,2.429,3.647,5.445,0.0,0.121,50.93
2020-09-14,181.0,126.286,8.0,3.571,9.042,6.309,0.4,0.178,47.22
2020-09-15,99.0,123.857,4.0,3.857,4.946,6.187,0.2,0.193,47.22
2020-09-16,68.0,110.714,2.0,3.714,3.397,5.531,0.1,0.186,47.22
2020-09-17,41.0,102.0,0.0,3.714,2.048,5.095,0.0,0.186,47.22
2020-09-18,94.0,99.857,3.0,3.286,4.696,4.988,0.15,0.164,47.22
2020-09-19,48.0,86.286,1.0,2.571,2.398,4.31,0.05,0.128,47.22
2020-09-20,61.0,84.571,0.0,2.571,3.047,4.225,0.0,0.128,47.22
2020-09-21,44.0,65.0,1.0,1.571,2.198,3.247,0.05,0.079,47.22
2020-09-22,214.0,81.429,0.0,1.0,10.691,4.068,0.0,0.05,47.22
2020-09-23,54.0,79.429,1.0,0.857,2.698,3.968,0.05,0.043,47.22
2020-09-24,48.0,80.429,0.0,0.857,2.398,4.018,0.0,0.043,47.22
2020-09-25,24.0,70.429,0.0,0.429,1.199,3.518,0.0,0.021,47.22
2020-09-26,97.0,77.429,0.0,0.286,4.846,3.868,0.0,0.014,48.15
2020-09-27,29.0,72.857,0.0,0.286,1.449,3.64,0.0,0.014,48.15
2020-09-28,19.0,69.286,0.0,0.143,0.949,3.461,0.0,0.007,48.15
2020-09-29,55.0,46.571,0.0,0.143,2.748,2.327,0.0,0.007,48.15
2020-09-30,44.0,45.143,0.0,0.0,2.198,2.255,0.0,0.0,48.15
2020-10-01,43.0,44.429,1.0,0.143,2.148,2.219,0.05,0.007,48.15
2020-10-02,28.0,45.0,0.0,0.143,1.399,2.248,0.0,0.007,48.15
2020-10-03,144.0,51.714,0.0,0.143,7.194,2.583,0.0,0.007,48.15
2020-10-04,78.0,58.714,0.0,0.143,3.897,2.933,0.0,0.007,48.15
2020-10-05,37.0,61.286,1.0,0.286,1.848,3.062,0.05,0.014,48.15
2020-10-06,81.0,65.0,1.0,0.429,4.046,3.247,0.05,0.021,45.37
2020-10-07,54.0,66.429,0.0,0.429,2.698,3.318,0.0,0.021,45.37
2020-10-08,77.0,71.286,0.0,0.286,3.847,3.561,0.0,0.014,45.37
2020-10-09,38.0,72.714,1.0,0.429,1.898,3.633,0.05,0.021,45.37
2020-10-10,76.0,63.0,1.0,0.571,3.797,3.147,0.05,0.029,45.37
2020-10-11,43.0,58.0,0.0,0.571,2.148,2.897,0.0,0.029,45.37
2020-10-12,91.0,65.714,8.0,1.571,4.546,3.283,0.4,0.079,45.37
2020-10-13,38.0,59.571,0.0,1.429,1.898,2.976,0.0,0.071,45.37
2020-10-14,29.0,56.0,0.0,1.429,1.449,2.798,0.0,0.071,45.37
2020-10-15,43.0,51.143,1.0,1.571,2.148,2.555,0.05,0.079,45.37
2020-10-16,0.0,45.714,0.0,1.429,0.0,2.284,0.0,0.071,45.37
2020-10-17,130.0,53.429,0.0,1.286,6.494,2.669,0.0,0.064,45.37
2020-10-18,64.0,56.429,0.0,1.286,3.197,2.819,0.0,0.064,45.37
2020-10-19,44.0,49.714,0.0,0.143,2.198,2.484,0.0,0.007,45.37
2020-10-20,85.0,56.429,0.0,0.143,4.246,2.819,0.0,0.007,45.37
2020-10-21,18.0,54.857,0.0,0.143,0.899,2.74,0.0,0.007,45.37
2020-10-22,35.0,53.714,0.0,0.0,1.748,2.683,0.0,0.0,45.37
2020-10-23,60.0,62.286,0.0,0.0,2.997,3.112,0.0,0.0,45.37
2020-10-24,22.0,46.857,2.0,0.286,1.099,2.341,0.1,0.014,45.37
2020-10-25,0.0,37.714,0.0,0.286,0.0,1.884,0.0,0.014,45.37
2020-10-26,83.0,43.286,0.0,0.286,4.146,2.162,0.0,0.014,45.37
2020-10-27,43.0,37.286,0.0,0.286,2.148,1.863,0.0,0.014,45.37
2020-10-28,42.0,40.714,0.0,0.286,2.098,2.034,0.0,0.014,45.37
2020-10-29,40.0,41.429,0.0,0.286,1.998,2.07,0.0,0.014,45.37
2020-10-30,90.0,45.714,1.0,0.429,4.496,2.284,0.05,0.021,45.37
2020-10-31,17.0,45.0,0.0,0.143,0.849,2.248,0.0,0.007,45.37
2020-11-01,48.0,51.857,0.0,0.143,2.398,2.591,0.0,0.007,45.37
2020-11-02,63.0,49.0,0.0,0.143,3.147,2.448,0.0,0.007,45.37
2020-11-03,118.0,59.714,0.0,0.143,5.895,2.983,0.0,0.007,45.37
2020-11-04,37.0,59.0,0.0,0.143,1.848,2.947,0.0,0.007,45.37
2020-11-05,72.0,63.571,0.0,0.143,3.597,3.176,0.0,0.007,45.37
2020-11-06,49.0,57.714,0.0,0.0,2.448,2.883,0.0,0.0,45.37
2020-11-07,89.0,68.0,0.0,0.0,4.446,3.397,0.0,0.0,45.37
2020-11-08,46.0,67.714,0.0,0.0,2.298,3.383,0.0,0.0,45.37
2020-11-09,17.0,61.143,0.0,0.0,0.849,3.054,0.0,0.0,45.37
2020-11-10,26.0,48.0,1.0,0.143,1.299,2.398,0.05,0.007,45.37
2020-11-11,39.0,48.286,0.0,0.143,1.948,2.412,0.0,0.007,45.37
2020-11-12,20.0,40.857,0.0,0.143,0.999,2.041,0.0,0.007,45.37
2020-11-13,37.0,39.143,0.0,0.143,1.848,1.955,0.0,0.007,45.37
2020-11-14,4.0,27.0,0.0,0.143,0.2,1.349,0.0,0.007,45.37
2020-11-15,26.0,24.143,3.0,0.571,1.299,1.206,0.15,0.029,45.37
2020-11-16,64.0,30.857,0.0,0.571,3.197,1.541,0.0,0.029,45.37
2020-11-17,56.0,35.143,0.0,0.429,2.798,1.756,0.0,0.021,45.37
2020-11-18,37.0,34.857,3.0,0.857,1.848,1.741,0.15,0.043,45.37
2020-11-19,70.0,42.0,0.0,0.857,3.497,2.098,0.0,0.043,45.37
2020-11-20,23.0,40.0,0.0,0.857,1.149,1.998,0.0,0.043,45.37
2020-11-21,21.0,42.429,0.0,0.857,1.049,2.12,0.0,0.043,45.37
2020-11-22,30.0,43.0,1.0,0.571,1.499,2.148,0.05,0.029,45.37
2020-11-23,30.0,38.143,0.0,0.571,1.499,1.905,0.0,0.029,45.37
2020-11-24,12.0,31.857,0.0,0.571,0.599,1.591,0.0,0.029,45.37
2020-11-25,69.0,36.429,0.0,0.143,3.447,1.82,0.0,0.007,45.37
2020-11-26,18.0,29.0,0.0,0.143,0.899,1.449,0.0,0.007,45.37
2020-11-27,16.0,28.0,0.0,0.143,0.799,1.399,0.0,0.007,45.37
2020-11-28,20.0,27.857,0.0,0.143,0.999,1.392,0.0,0.007,45.37
2020-11-29,19.0,26.286,0.0,0.0,0.949,1.313,0.0,0.0,45.37
2020-11-30,39.0,27.571,0.0,0.0,1.948,1.377,0.0,0.0,45.37
2020-12-01,18.0,28.429,0.0,0.0,0.899,1.42,0.0,0.0,45.37
2020-12-02,35.0,23.571,0.0,0.0,1.748,1.178,0.0,0.0,45.37
2020-12-03,30.0,25.286,0.0,0.0,1.499,1.263,0.0,0.0,45.37
2020-12-04,127.0,41.143,7.0,1.0,6.344,2.055,0.35,0.05,45.37
