time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-13,0.0,,0.0,,0.0,,0.0,,
2020-02-14,1.0,,0.0,,0.001,,0.0,,
2020-02-15,0.0,,0.0,,0.0,,0.0,,
2020-02-16,0.0,,0.0,,0.0,,0.0,,
2020-02-17,0.0,,0.0,,0.0,,0.0,,
2020-02-18,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-19,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-20,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,1.0,0.143,0.0,0.0,0.001,0.0,0.0,0.0,
2020-02-26,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,1.0,0.286,0.0,0.0,0.001,0.0,0.0,0.0,
2020-02-29,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,1.0,0.429,0.0,0.0,0.001,0.0,0.0,0.0,
2020-03-02,4.0,1.0,0.0,0.0,0.003,0.001,0.0,0.0,
2020-03-03,3.0,1.286,0.0,0.0,0.002,0.001,0.0,0.0,
2020-03-04,10.0,2.714,0.0,0.0,0.007,0.002,0.0,0.0,
2020-03-05,3.0,3.143,0.0,0.0,0.002,0.002,0.0,0.0,
2020-03-06,19.0,5.714,0.0,0.0,0.013,0.004,0.0,0.0,
2020-03-07,0.0,5.714,0.0,0.0,0.0,0.004,0.0,0.0,
2020-03-08,40.0,11.286,1.0,0.143,0.028,0.008,0.001,0.0,
2020-03-09,8.0,11.857,0.0,0.143,0.006,0.008,0.0,0.0,
2020-03-10,13.0,13.286,1.0,0.286,0.009,0.009,0.001,0.0,
2020-03-11,14.0,13.857,0.0,0.286,0.01,0.01,0.0,0.0,
2020-03-12,16.0,15.714,1.0,0.429,0.011,0.011,0.001,0.0,
2020-03-13,42.0,19.0,3.0,0.857,0.029,0.013,0.002,0.001,
2020-03-14,76.0,29.857,1.0,1.0,0.053,0.021,0.001,0.001,
2020-03-15,65.0,33.429,1.0,1.0,0.046,0.023,0.001,0.001,
2020-03-16,87.0,44.714,0.0,1.0,0.061,0.031,0.0,0.001,
2020-03-17,88.0,55.429,3.0,1.286,0.062,0.039,0.002,0.001,
2020-03-18,118.0,70.286,6.0,2.143,0.083,0.049,0.004,0.002,
2020-03-19,178.0,93.429,3.0,2.429,0.125,0.065,0.002,0.002,
2020-03-20,182.0,113.429,6.0,2.857,0.128,0.08,0.004,0.002,
2020-03-21,206.0,132.0,9.0,4.0,0.144,0.093,0.006,0.003,
2020-03-22,253.0,158.857,11.0,5.429,0.177,0.111,0.008,0.004,
2020-03-23,383.0,201.143,9.0,6.714,0.268,0.141,0.006,0.005,
2020-03-24,438.0,251.143,7.0,7.286,0.307,0.176,0.005,0.005,
2020-03-25,523.0,309.0,11.0,8.0,0.367,0.217,0.008,0.006,
2020-03-26,526.0,358.714,18.0,10.143,0.369,0.251,0.013,0.007,
2020-03-27,580.0,415.571,24.0,12.714,0.407,0.291,0.017,0.009,
2020-03-28,343.0,435.143,19.0,14.143,0.24,0.305,0.013,0.01,
2020-03-29,564.0,479.571,17.0,15.0,0.395,0.336,0.012,0.011,
2020-03-30,395.0,481.286,21.0,16.714,0.277,0.337,0.015,0.012,
2020-03-31,586.0,502.429,26.0,19.429,0.411,0.352,0.018,0.014,
2020-04-01,599.0,513.286,35.0,22.857,0.42,0.36,0.025,0.016,
2020-04-02,656.0,531.857,52.0,27.714,0.46,0.373,0.036,0.019,
2020-04-03,881.0,574.857,46.0,30.857,0.617,0.403,0.032,0.022,
2020-04-04,682.0,623.286,51.0,35.429,0.478,0.437,0.036,0.025,
2020-04-05,685.0,640.571,60.0,41.571,0.48,0.449,0.042,0.029,
2020-04-06,716.0,686.429,45.0,45.0,0.502,0.481,0.032,0.032,
2020-04-07,628.0,692.429,46.0,47.857,0.44,0.485,0.032,0.034,
2020-04-08,806.0,722.0,40.0,48.571,0.565,0.506,0.028,0.034,
2020-04-09,793.0,741.571,54.0,48.857,0.556,0.52,0.038,0.034,
2020-04-10,694.0,714.857,63.0,51.286,0.486,0.501,0.044,0.036,
2020-04-11,714.0,719.429,52.0,51.429,0.5,0.504,0.036,0.036,
2020-04-12,869.0,745.714,46.0,49.429,0.609,0.523,0.032,0.035,
2020-04-13,772.0,753.714,45.0,49.429,0.541,0.528,0.032,0.035,
2020-04-14,971.0,802.714,40.0,48.571,0.681,0.563,0.028,0.034,
2020-04-15,965.0,825.429,37.0,48.143,0.676,0.579,0.026,0.034,
2020-04-16,1168.0,879.0,55.0,48.286,0.819,0.616,0.039,0.034,
2020-04-17,1403.0,980.286,50.0,46.429,0.983,0.687,0.035,0.033,
2020-04-18,1309.0,1065.286,43.0,45.143,0.917,0.747,0.03,0.032,
2020-04-19,1197.0,1112.143,62.0,47.429,0.839,0.78,0.043,0.033,
2020-04-20,1163.0,1168.0,39.0,46.571,0.815,0.819,0.027,0.033,
2020-04-21,1076.0,1183.0,30.0,45.143,0.754,0.829,0.021,0.032,
2020-04-22,1403.0,1245.571,51.0,47.143,0.983,0.873,0.036,0.033,
2020-04-23,1437.0,1284.0,57.0,47.429,1.007,0.9,0.04,0.033,
2020-04-24,1705.0,1327.143,27.0,44.143,1.195,0.93,0.019,0.031,
2020-04-25,1244.0,1317.857,48.0,44.857,0.872,0.924,0.034,0.031,
2020-04-26,1532.0,1365.714,50.0,43.143,1.074,0.957,0.035,0.03,
2020-04-27,1337.0,1390.571,39.0,43.143,0.937,0.975,0.027,0.03,
2020-04-28,1619.0,1468.143,61.0,47.571,1.135,1.029,0.043,0.033,
2020-04-29,2023.0,1556.714,66.0,49.714,1.418,1.091,0.046,0.035,
2020-04-30,1946.0,1629.429,46.0,48.143,1.364,1.142,0.032,0.034,
2020-05-01,1715.0,1630.857,56.0,52.286,1.202,1.143,0.039,0.037,
2020-05-02,2243.0,1773.571,69.0,55.286,1.572,1.243,0.048,0.039,
2020-05-03,1592.0,1782.143,37.0,53.429,1.116,1.249,0.026,0.037,
2020-05-04,2654.0,1970.286,46.0,54.429,1.86,1.381,0.032,0.038,
2020-05-05,2042.0,2030.714,64.0,54.857,1.431,1.423,0.045,0.038,
2020-05-06,2542.0,2104.857,100.0,59.714,1.782,1.475,0.07,0.042,
2020-05-07,2487.0,2182.143,67.0,62.714,1.743,1.529,0.047,0.044,
2020-05-08,3625.0,2455.0,81.0,66.286,2.541,1.721,0.057,0.046,
2020-05-09,2860.0,2543.143,67.0,66.0,2.005,1.782,0.047,0.046,
2020-05-10,2579.0,2684.143,69.0,70.571,1.808,1.881,0.048,0.049,
2020-05-11,3066.0,2743.0,54.0,71.714,2.149,1.923,0.038,0.05,
2020-05-12,3167.0,2903.714,51.0,69.857,2.22,2.035,0.036,0.049,
2020-05-13,2914.0,2956.857,98.0,69.571,2.042,2.072,0.069,0.049,
2020-05-14,3118.0,3047.0,69.0,69.857,2.185,2.136,0.048,0.049,
2020-05-15,2926.0,2947.143,62.0,67.143,2.051,2.066,0.043,0.047,
2020-05-16,3003.0,2967.571,84.0,69.571,2.105,2.08,0.059,0.049,
2020-05-17,3314.0,3072.571,50.0,66.857,2.323,2.154,0.035,0.047,
2020-05-18,3668.0,3158.571,73.0,69.571,2.571,2.214,0.051,0.049,
2020-05-19,3220.0,3166.143,75.0,73.0,2.257,2.219,0.053,0.051,
2020-05-20,3791.0,3291.429,84.0,71.0,2.657,2.307,0.059,0.05,
2020-05-21,4799.0,3531.571,105.0,76.143,3.364,2.475,0.074,0.053,
2020-05-22,3868.0,3666.143,88.0,79.857,2.711,2.57,0.062,0.056,
2020-05-23,3865.0,3789.286,72.0,78.143,2.709,2.656,0.05,0.055,
2020-05-24,4120.0,3904.429,99.0,85.143,2.888,2.737,0.069,0.06,
2020-05-25,4128.0,3970.143,125.0,92.571,2.893,2.783,0.088,0.065,
2020-05-26,3711.0,4040.286,112.0,97.857,2.601,2.832,0.079,0.069,
2020-05-27,5080.0,4224.429,107.0,101.143,3.561,2.961,0.075,0.071,
2020-05-28,4916.0,4241.143,93.0,99.429,3.446,2.973,0.065,0.07,
2020-05-29,5746.0,4509.429,131.0,105.571,4.027,3.161,0.092,0.074,
2020-05-30,6118.0,4831.286,147.0,116.286,4.288,3.386,0.103,0.082,
2020-05-31,5247.0,4992.286,153.0,124.0,3.678,3.499,0.107,0.087,
2020-06-01,5785.0,5229.0,121.0,123.429,4.055,3.665,0.085,0.087,
2020-06-02,4878.0,5395.714,150.0,128.857,3.419,3.782,0.105,0.09,
2020-06-03,5097.0,5398.143,108.0,129.0,3.572,3.784,0.076,0.09,
2020-06-04,7106.0,5711.0,155.0,137.857,4.981,4.003,0.109,0.097,
2020-06-05,7186.0,5916.714,157.0,141.571,5.037,4.147,0.11,0.099,
2020-06-06,6599.0,5985.429,142.0,140.857,4.625,4.195,0.1,0.099,
2020-06-07,6334.0,6140.714,133.0,138.0,4.44,4.304,0.093,0.097,
2020-06-08,6651.0,6264.429,175.0,145.714,4.662,4.391,0.123,0.102,
2020-06-09,6470.0,6491.857,174.0,149.143,4.535,4.55,0.122,0.105,
2020-06-10,6545.0,6698.714,151.0,155.286,4.587,4.695,0.106,0.109,
2020-06-11,7403.0,6741.143,163.0,156.429,5.189,4.725,0.114,0.11,
2020-06-12,8079.0,6868.714,198.0,162.286,5.663,4.814,0.139,0.114,
2020-06-13,8087.0,7081.286,204.0,171.143,5.668,4.963,0.143,0.12,
2020-06-14,8780.0,7430.714,206.0,181.571,6.154,5.208,0.144,0.127,
2020-06-15,9593.0,7851.0,302.0,199.714,6.724,5.503,0.212,0.14,
2020-06-16,7642.0,8018.429,254.0,211.143,5.356,5.62,0.178,0.148,
2020-06-17,8736.0,8331.429,203.0,218.571,6.123,5.84,0.142,0.153,
2020-06-18,8235.0,8450.286,201.0,224.0,5.772,5.923,0.141,0.157,
2020-06-19,9813.0,8698.0,263.0,233.286,6.878,6.096,0.184,0.164,
2020-06-20,11349.0,9164.0,236.0,237.857,7.955,6.423,0.165,0.167,
2020-06-21,9437.0,9257.857,196.0,236.429,6.614,6.489,0.137,0.166,
2020-06-22,8987.0,9171.286,224.0,225.286,6.299,6.428,0.157,0.158,
2020-06-23,9076.0,9376.143,282.0,229.286,6.361,6.572,0.198,0.161,
2020-06-24,11349.0,9749.429,235.0,233.857,7.955,6.833,0.165,0.164,
2020-06-25,11942.0,10279.0,214.0,235.714,8.37,7.205,0.15,0.165,
2020-06-26,11598.0,10534.0,213.0,228.571,8.129,7.383,0.149,0.16,
2020-06-27,12237.0,10660.857,202.0,223.714,8.577,7.472,0.142,0.157,
2020-06-28,10608.0,10828.143,179.0,221.286,7.435,7.589,0.125,0.155,
2020-06-29,11130.0,11134.286,214.0,219.857,7.801,7.804,0.15,0.154,
2020-06-30,11608.0,11496.0,269.0,218.0,8.136,8.058,0.189,0.153,
2020-07-01,13213.0,11762.286,258.0,221.286,9.261,8.244,0.181,0.155,
2020-07-02,14202.0,12085.143,239.0,224.857,9.954,8.47,0.168,0.158,
2020-07-03,15160.0,12594.0,239.0,228.571,10.626,8.827,0.168,0.16,
2020-07-04,15485.0,13058.0,201.0,228.429,10.853,9.152,0.141,0.16,
2020-07-05,13635.0,13490.429,280.0,242.857,9.557,9.455,0.196,0.17,
2020-07-06,13740.0,13863.286,247.0,247.571,9.63,9.717,0.173,0.174,
2020-07-07,17466.0,14700.143,365.0,261.286,12.242,10.303,0.256,0.183,
2020-07-08,14743.0,14918.714,257.0,261.143,10.333,10.457,0.18,0.183,
2020-07-09,19190.0,15631.286,225.0,259.143,13.45,10.956,0.158,0.182,
2020-07-10,17705.0,15994.857,306.0,268.714,12.409,11.211,0.214,0.188,
2020-07-11,18786.0,16466.429,225.0,272.143,13.167,11.541,0.158,0.191,
2020-07-12,16717.0,16906.714,253.0,268.286,11.717,11.85,0.177,0.188,
2020-07-13,16069.0,17239.429,222.0,264.714,11.263,12.083,0.156,0.186,
2020-07-14,14450.0,16808.571,299.0,255.286,10.128,11.781,0.21,0.179,
2020-07-15,18032.0,17278.429,226.0,250.857,12.639,12.11,0.158,0.176,
2020-07-16,20445.0,17457.714,368.0,271.286,14.33,12.236,0.258,0.19,
2020-07-17,19539.0,17719.714,316.0,272.714,13.695,12.42,0.221,0.191,
2020-07-18,19012.0,17752.0,281.0,280.714,13.326,12.442,0.197,0.197,
2020-07-19,18569.0,18016.571,216.0,275.429,13.015,12.628,0.151,0.193,
2020-07-20,15512.0,17937.0,254.0,280.0,10.872,12.572,0.178,0.196,
2020-07-21,13879.0,17855.429,314.0,282.143,9.728,12.515,0.22,0.198,
2020-07-22,19609.0,18080.714,708.0,351.0,13.744,12.673,0.496,0.246,
2020-07-23,18470.0,17798.571,268.0,336.714,12.946,12.475,0.188,0.236,
2020-07-24,22095.0,18163.714,391.0,347.429,15.486,12.731,0.274,0.244,
2020-07-25,18144.0,18039.714,417.0,366.857,12.717,12.644,0.292,0.257,
2020-07-26,18308.0,18002.429,244.0,370.857,12.832,12.618,0.171,0.26,
2020-07-27,13454.0,17708.429,410.0,393.143,9.43,12.412,0.287,0.276,
2020-07-28,13501.0,17654.429,322.0,394.286,9.463,12.374,0.226,0.276,
2020-07-29,17640.0,17373.143,367.0,345.571,12.364,12.177,0.257,0.242,
2020-07-30,17417.0,17222.714,456.0,372.429,12.208,12.071,0.32,0.261,
2020-07-31,19002.0,16780.857,363.0,368.429,13.319,11.762,0.254,0.258,
2020-08-01,16922.0,16606.286,294.0,350.857,11.861,11.639,0.206,0.246,
2020-08-02,12734.0,15810.0,330.0,363.143,8.925,11.081,0.231,0.255,
2020-08-03,10864.0,15440.0,322.0,350.571,7.615,10.822,0.226,0.246,
2020-08-04,9920.0,14928.429,473.0,372.143,6.953,10.463,0.332,0.261,
2020-08-05,15359.0,14602.571,539.0,396.714,10.765,10.235,0.378,0.278,
2020-08-06,14330.0,14161.571,431.0,393.143,10.044,9.926,0.302,0.276,
2020-08-07,13489.0,13374.0,439.0,404.0,9.454,9.374,0.308,0.283,
2020-08-08,14222.0,12988.286,412.0,420.857,9.968,9.103,0.289,0.295,
2020-08-09,12357.0,12934.429,359.0,425.0,8.661,9.066,0.252,0.298,
2020-08-10,9132.0,12687.0,319.0,424.571,6.401,8.892,0.224,0.298,
2020-08-11,7875.0,12394.857,267.0,395.143,5.52,8.688,0.187,0.277,
2020-08-12,9256.0,11523.0,409.0,376.571,6.488,8.076,0.287,0.264,
2020-08-13,10405.0,10962.286,408.0,373.286,7.293,7.683,0.286,0.262,
2020-08-14,12544.0,10827.286,416.0,370.0,8.792,7.589,0.292,0.259,
2020-08-15,11812.0,10483.0,240.0,345.429,8.279,7.348,0.168,0.242,
2020-08-16,9958.0,10140.286,295.0,336.286,6.98,7.107,0.207,0.236,
2020-08-17,8852.0,10100.286,264.0,328.429,6.204,7.079,0.185,0.23,
2020-08-18,8652.0,10211.286,415.0,349.571,6.064,7.157,0.291,0.245,
2020-08-19,10890.0,10444.714,328.0,338.0,7.633,7.321,0.23,0.237,
2020-08-20,10612.0,10474.286,337.0,327.857,7.438,7.341,0.236,0.23,
2020-08-21,10273.0,10149.857,352.0,318.714,7.2,7.114,0.247,0.223,
2020-08-22,10433.0,9952.857,274.0,323.571,7.312,6.976,0.192,0.227,
2020-08-23,9053.0,9823.571,182.0,307.429,6.345,6.885,0.128,0.215,
2020-08-24,7612.0,9646.429,220.0,301.143,5.335,6.761,0.154,0.211,
2020-08-25,7537.0,9487.143,283.0,282.286,5.283,6.65,0.198,0.198,
2020-08-26,8856.0,9196.571,319.0,281.0,6.207,6.446,0.224,0.197,
2020-08-27,8548.0,8901.714,253.0,269.0,5.991,6.239,0.177,0.189,
2020-08-28,8109.0,8592.571,231.0,251.714,5.684,6.023,0.162,0.176,
2020-08-29,8364.0,8297.0,331.0,259.857,5.862,5.815,0.232,0.182,
2020-08-30,8470.0,8213.714,164.0,257.286,5.937,5.757,0.115,0.18,
2020-08-31,6813.0,8099.571,226.0,258.143,4.775,5.677,0.158,0.181,
2020-09-01,7163.0,8046.143,242.0,252.286,5.021,5.64,0.17,0.177,
2020-09-02,8714.0,8025.857,265.0,244.571,6.108,5.625,0.186,0.171,
2020-09-03,7746.0,7911.286,297.0,250.857,5.429,5.545,0.208,0.176,
2020-09-04,8579.0,7978.429,239.0,252.0,6.013,5.592,0.168,0.177,
2020-09-05,7392.0,7839.571,225.0,236.857,5.181,5.495,0.158,0.166,
2020-09-06,7822.0,7747.0,224.0,245.429,5.482,5.43,0.157,0.172,
2020-09-07,6873.0,7755.571,218.0,244.286,4.817,5.436,0.153,0.171,
2020-09-08,7679.0,7829.286,226.0,242.0,5.382,5.488,0.158,0.17,
2020-09-09,8294.0,7769.286,192.0,231.571,5.813,5.445,0.135,0.162,
2020-09-10,8048.0,7812.429,216.0,220.0,5.641,5.476,0.151,0.154,
2020-09-11,8695.0,7829.0,231.0,218.857,6.094,5.487,0.162,0.153,
2020-09-12,7408.0,7831.286,146.0,207.571,5.192,5.489,0.102,0.145,
2020-09-13,6745.0,7677.429,121.0,192.857,4.728,5.381,0.085,0.135,
2020-09-14,6481.0,7621.429,171.0,186.143,4.543,5.342,0.12,0.13,
2020-09-15,6556.0,7461.0,277.0,193.429,4.595,5.229,0.194,0.136,
