location,lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
Afghanistan,afghanistan,0.034096578,54.422,18.6,1803.987,38928341,6588.668,21431.16,1369.743,6092,56118.58,2893.171,3895.213,6917.373,2242.992,5168.969,940.5629,16670.46,456.1882,484.7974,1220.601,2002.659,3506.614,302.1669,346.339,3634.061,8692.314,4095.491,27521.74,125.4749,155,6176.201,153.383,1440.662,1725.625,1662,5978.462,365.3942
Albania,albania,0.113122931,104.871,38,11803.431,2877800,18.60685,381.6531,3.257634,-1,12144.97,1337.44,362.5372,736.0293,308.7977,489.4959,2.959034,4344.973,233.6188,16.79734,-1,37.61862,68.84654,1.2858,22.98895,11.987,247.5353,3.475719,183.6851,15.46537,1,6.939839,10.52808,4.458938,161.9774,-1,135.0015,11.384
Algeria,algeria,0.07424309,17.348,29.1,13913.839,43851043,379.6145,4723.762,80.51707,12,79389.07,8175.242,4577.023,5508.42,2935.125,4800.228,312.7043,21656.08,1139.958,735.9573,6.015983,509.2925,438.6672,326.6607,1010.679,417.0693,6905.41,630.1911,6511.28,130.3325,-1,377.2447,50.09391,97.70409,1698.665,135,5201.535,366.6456
Angola,angola,0.01606743,23.89,16.8,5819.495,32866268,3231.57,14508.4,4432.242,7,21784.66,1649.393,2809.243,3750.627,5294.233,8274.166,411.5164,12039.83,240.1714,711.4834,8431.057,2005.295,889.7433,14584.7,167.0731,11409.42,6781.226,2126.953,17881.91,246.995,11,17390.3,141.4611,4515.797,1745.995,56,3558.147,285.4324
Antigua and Barbuda,antigua and barbuda,0.098340796,231.845,32.1,21490.943,97928,0.949083,32.54383,2.232637,-1,186.7772,26.9207,25.98841,11.78372,11.16969,20.66403,0.191596,119.539,4.747351,1.794246,-1,4.397954,4.753644,7.509007,0.91252,0.367873,6.686315,0.640171,5.10709,6.573077,1,1.403231,0.459664,2.298385,2.625975,-1,45.4825,0.446067
Argentina,argentina,0.088526036,16.177,31.9,18933.907,45195777,494.9484,31058.14,983.6076,-1,105776.7,18616.82,10834.3,18992.48,7346.32,14905.84,178.4051,74065.9,2917.514,756.37,-1,709.8346,2733.486,1719.218,797.912,679.3485,6457.319,378.8405,3600.109,857.0903,1,651.447,101.2002,1075.354,5024.771,-1,9345.109,357.7439
Armenia,armenia,0.100575916,102.931,35.7,8787.58,2963234,8.618483,500.8641,1.26851,-1,13631.15,1357.247,429.6167,1310.628,1107.32,1719.854,5.79155,5755.616,179.9751,36.88679,-1,47.95519,111.7409,23.72882,41.99241,76.6047,241.8676,9.133619,140.9517,58.15277,-1,13.21036,45.7439,3.53043,301.6837,-1,1142.02,20.88508
Australia,australia,0.110193659,3.202,37.9,44648.71,25499881,56.79849,4451.178,95.20546,4,52100.56,17118.89,4455.439,10821.96,2186.752,6111.539,108.0517,50254.08,2328.239,162.144,-1,215.4725,327.4005,76.57992,1222.502,88.65934,1660.8,14.76422,540.1201,604.1123,12,187.5237,69.1343,121.4347,3055.189,-1,3755.067,53.20807
Austria,austria,0.128055905,106.749,44.4,45436.686,9006400,32.33298,961.0659,1.506607,2,31386.14,7480.679,2753.507,3383.093,1860.129,3227.181,5.640053,21744.67,994.23,87.65898,-1,66.08163,68.68394,37.96891,178.3891,51.25939,481.3169,3.707087,127.9845,489.4101,-1,98.11754,62.69005,8.687968,1422.042,-1,2059.225,31.75967
Azerbaijan,azerbaijan,0.093919869,119.309,32.4,15847.419,10139175,100.6377,3054.883,28.53894,5,40266.15,2481.947,1169.189,2339.511,3140.758,3940.292,50.01116,10953.7,359.2803,393.2037,-1,307.5074,374.0546,31.51641,69.24162,690.83,645.027,44.91398,2274.307,346.0993,-1,192.4563,112.0942,38.09391,431.4536,-1,1751.599,90.28772
