lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
afghanistan,0.034096578,54.422,18.6,1803.987,38928341,0.169251189,0.55052847,0.035186267,0.156492669,1.441586735,0.074320429,0.10006111,0.177695037,0.057618484,0.132781641,0.024161392,0.428234535,0.011718665,0.012453585,0.031355074,0.051444756,0.090078691,0.007762131,0.008896834,0.093352578,0.223290122,0.105205896,0.706984662,0.003223228,0.003981675,0.158655644,0.003940137,0.03700805,0.044328244,0.042693831,0.15357608,0.009386329
albania,0.113122931,104.871,38,11803.431,2877800,0.006465651,0.132619744,0.001131988,-1,4.220227257,0.464743902,0.125977205,0.255761102,0.107303391,0.170093787,0.001028228,1.509824519,0.081179651,0.005836868,-1,0.013072006,0.023923323,0.0004468,0.007988377,0.004165335,0.086015463,0.001207769,0.063828306,0.005374025,0.000347488,0.002411508,0.003658378,0.001549426,0.056285148,-1,0.046911356,0.0039558
algeria,0.07424309,17.348,29.1,13913.839,43851043,0.008656909,0.107722911,0.001836149,0.000273654,1.810426037,0.186432099,0.104376605,0.125616624,0.066933984,0.109466678,0.007131057,0.493855528,0.025996143,0.01678312,0.000137191,0.011614148,0.010003575,0.007449326,0.023048004,0.009511046,0.157474248,0.014371177,0.14848632,0.002972164,-1,0.008602867,0.001142365,0.00222809,0.038737163,0.003078604,0.118618273,0.00836116
angola,0.01606743,23.89,16.8,5819.495,32866268,0.098324823,0.441437403,0.134856869,0.000212984,0.66282731,0.05018498,0.085474962,0.114117824,0.161084094,0.251752526,0.012520935,0.366327871,0.007307535,0.021647831,0.256526144,0.061013773,0.027071626,0.443758932,0.005083422,0.347146807,0.206327837,0.064715379,0.54408094,0.007515152,0.00033469,0.529123051,0.004304142,0.137399141,0.053124225,0.001703875,0.108261364,0.008684661
antigua and barbuda,0.098340796,231.845,32.1,21490.943,97928,0.009691641,0.332324054,0.02279876,-1,1.907291071,0.27490299,0.265382832,0.120330447,0.114060228,0.211012479,0.001956499,1.220682542,0.048477974,0.018322094,-1,0.044910077,0.048542235,0.076678856,0.009318275,0.003756566,0.068277867,0.00653716,0.052151479,0.067121528,0.010211584,0.014329211,0.004693898,0.023470152,0.026815364,-1,0.46444837,0.004555051
argentina,0.088526036,16.177,31.9,18933.907,45195777,0.010951209,0.687191195,0.021763263,-1,2.340411141,0.411915034,0.239719299,0.420226872,0.16254439,0.329806035,0.003947384,1.638779216,0.064552801,0.016735413,-1,0.015705773,0.060481005,0.03803935,0.01765457,0.015031238,0.142874388,0.00838221,0.079655871,0.018963947,2.21E-05,0.014413891,0.002239152,0.023793241,0.111177887,-1,0.206769517,0.007915428
armenia,0.100575916,102.931,35.7,8787.58,2963234,0.002908472,0.169026172,0.000428083,-1,4.600092332,0.458028964,0.144982374,0.442296491,0.373686317,0.580397633,0.001954469,1.942342724,0.06073604,0.012448153,-1,0.016183396,0.037709104,0.008007744,0.014171142,0.025851721,0.081622849,0.003082314,0.047566848,0.019624765,-1,0.004458089,0.015437154,0.001191411,0.101808936,-1,0.385396496,0.00704807
australia,0.110193659,3.202,37.9,44648.71,25499881,0.002227402,0.174556815,0.003733565,0.000156863,2.04316875,0.671332152,0.174723913,0.424392569,0.085755381,0.239669315,0.004237341,1.970757432,0.091303916,0.006358618,-1,0.008449941,0.012839295,0.003003148,0.047941479,0.003476853,0.065129716,0.000578992,0.021181279,0.023690789,0.00047059,0.007353905,0.002711162,0.004762167,0.119811892,-1,0.147258217,0.002086601
austria,0.128055905,106.749,44.4,45436.686,9006400,0.00359,0.106709218,0.000167282,0.000222064,3.484870759,0.83059591,0.305727816,0.375632106,0.206534131,0.358320861,0.000626227,2.414357568,0.110391499,0.009732965,-1,0.007337186,0.007626126,0.00421577,0.019806926,0.005691441,0.053441653,0.000411606,0.014210395,0.054340258,-1,0.010894202,0.006960611,0.000964644,0.157892388,-1,0.228640189,0.003526345
azerbaijan,0.093919869,119.309,32.4,15847.419,10139175,0.00992563,0.301295026,0.00281472,0.000493137,3.971343822,0.244787865,0.115314017,0.230739779,0.30976465,0.388620573,0.004932468,1.080334445,0.035434865,0.03878064,-1,0.030328641,0.036892015,0.00310838,0.006829118,0.068134735,0.063617306,0.004429747,0.224308881,0.034134858,-1,0.018981456,0.011055554,0.003757102,0.042553127,-1,0.172755574,0.008904839
