time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-20,1.0,,,,0.028,,,,11.11
2020-03-21,1.0,,,,0.028,,,,11.11
2020-03-22,0.0,,,,0.0,,,,11.11
2020-03-23,1.0,,,,0.028,,,,11.11
2020-03-24,0.0,,,,0.0,,,,33.33
2020-03-25,0.0,0.429,,,0.0,0.012,,,33.33
2020-03-26,1.0,0.571,,,0.028,0.016,,,33.33
2020-03-27,0.0,0.429,,,0.0,0.012,,,90.74
2020-03-28,1.0,0.429,,,0.028,0.012,,,90.74
2020-03-29,2.0,0.714,2.0,,0.056,0.02,0.056,,90.74
2020-03-30,0.0,0.571,0.0,,0.0,0.016,0.0,,90.74
2020-03-31,0.0,0.571,0.0,,0.0,0.016,0.0,,90.74
2020-04-01,1.0,0.714,0.0,,0.028,0.02,0.0,,90.74
2020-04-02,0.0,0.571,0.0,,0.0,0.016,0.0,,90.74
2020-04-03,0.0,0.571,0.0,0.286,0.0,0.016,0.0,0.008,90.74
2020-04-04,2.0,0.714,0.0,0.286,0.056,0.02,0.0,0.008,90.74
2020-04-05,4.0,1.0,0.0,0.0,0.112,0.028,0.0,0.0,90.74
2020-04-06,2.0,1.286,0.0,0.0,0.056,0.036,0.0,0.0,90.74
2020-04-07,1.0,1.429,0.0,0.0,0.028,0.04,0.0,0.0,90.74
2020-04-08,2.0,1.571,0.0,0.0,0.056,0.044,0.0,0.0,90.74
2020-04-09,0.0,1.571,0.0,0.0,0.0,0.044,0.0,0.0,90.74
2020-04-10,0.0,1.571,0.0,0.0,0.0,0.044,0.0,0.0,90.74
2020-04-11,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,90.74
2020-04-12,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,90.74
2020-04-13,0.0,0.429,0.0,0.0,0.0,0.012,0.0,0.0,90.74
2020-04-14,0.0,0.286,0.0,0.0,0.0,0.008,0.0,0.0,90.74
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.74
2020-04-18,5.0,0.714,0.0,0.0,0.14,0.02,0.0,0.0,90.74
2020-04-19,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,90.74
2020-04-20,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,90.74
2020-04-21,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,90.74
2020-04-22,1.0,0.857,0.0,0.0,0.028,0.024,0.0,0.0,90.74
2020-04-23,0.0,0.857,0.0,0.0,0.0,0.024,0.0,0.0,78.7
2020-04-24,0.0,0.857,0.0,0.0,0.0,0.024,0.0,0.0,78.7
2020-04-25,0.0,0.143,0.0,0.0,0.0,0.004,0.0,0.0,78.7
2020-04-26,1.0,0.286,0.0,0.0,0.028,0.008,0.0,0.0,78.7
2020-04-27,1.0,0.429,0.0,0.0,0.028,0.012,0.0,0.0,78.7
2020-04-28,0.0,0.429,0.0,0.0,0.0,0.012,0.0,0.0,78.7
2020-04-29,0.0,0.286,0.0,0.0,0.0,0.008,0.0,0.0,78.7
2020-04-30,0.0,0.286,0.0,0.0,0.0,0.008,0.0,0.0,78.7
2020-05-01,3.0,0.714,0.0,0.0,0.084,0.02,0.0,0.0,78.7
2020-05-02,5.0,1.429,0.0,0.0,0.14,0.04,0.0,0.0,78.7
2020-05-03,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,78.7
2020-05-04,0.0,1.143,0.0,0.0,0.0,0.032,0.0,0.0,78.7
2020-05-05,1.0,1.286,0.0,0.0,0.028,0.036,0.0,0.0,78.7
2020-05-06,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,78.7
2020-05-07,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,78.7
2020-05-08,7.0,1.857,0.0,0.0,0.197,0.052,0.0,0.0,75.93
2020-05-09,0.0,1.143,0.0,0.0,0.0,0.032,0.0,0.0,75.93
2020-05-10,2.0,1.429,0.0,0.0,0.056,0.04,0.0,0.0,75.93
2020-05-11,0.0,1.429,0.0,0.0,0.0,0.04,0.0,0.0,75.93
2020-05-12,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,75.93
2020-05-13,0.0,1.286,0.0,0.0,0.0,0.036,0.0,0.0,75.93
2020-05-14,3.0,1.714,0.0,0.0,0.084,0.048,0.0,0.0,75.93
2020-05-15,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,75.93
2020-05-16,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,75.93
2020-05-17,0.0,0.429,0.0,0.0,0.0,0.012,0.0,0.0,81.48
2020-05-18,2.0,0.714,1.0,0.143,0.056,0.02,0.028,0.004,81.48
2020-05-19,2.0,1.0,0.0,0.143,0.056,0.028,0.0,0.004,81.48
2020-05-20,0.0,1.0,0.0,0.143,0.0,0.028,0.0,0.004,81.48
2020-05-21,6.0,1.429,0.0,0.143,0.169,0.04,0.0,0.004,81.48
2020-05-22,2.0,1.714,0.0,0.143,0.056,0.048,0.0,0.004,81.48
2020-05-23,1.0,1.857,1.0,0.286,0.028,0.052,0.028,0.008,81.48
2020-05-24,8.0,3.0,0.0,0.286,0.225,0.084,0.0,0.008,81.48
2020-05-25,1.0,2.857,0.0,0.143,0.028,0.08,0.0,0.004,81.48
2020-05-26,0.0,2.571,0.0,0.143,0.0,0.072,0.0,0.004,77.78
2020-05-27,1.0,2.714,0.0,0.143,0.028,0.076,0.0,0.004,77.78
2020-05-28,3.0,2.286,0.0,0.143,0.084,0.064,0.0,0.004,77.78
2020-05-29,7.0,3.0,0.0,0.143,0.197,0.084,0.0,0.004,77.78
2020-05-30,3.0,3.286,0.0,0.0,0.084,0.092,0.0,0.0,77.78
2020-05-31,2.0,2.429,0.0,0.0,0.056,0.068,0.0,0.0,77.78
2020-06-01,0.0,2.286,0.0,0.0,0.0,0.064,0.0,0.0,77.78
2020-06-02,0.0,2.286,0.0,0.0,0.0,0.064,0.0,0.0,77.78
2020-06-03,0.0,2.143,0.0,0.0,0.0,0.06,0.0,0.0,77.78
2020-06-04,0.0,1.714,0.0,0.0,0.0,0.048,0.0,0.0,77.78
2020-06-05,0.0,0.714,0.0,0.0,0.0,0.02,0.0,0.0,77.78
2020-06-06,2.0,0.571,0.0,0.0,0.056,0.016,0.0,0.0,77.78
2020-06-07,3.0,0.714,0.0,0.0,0.084,0.02,0.0,0.0,77.78
2020-06-08,1.0,0.857,0.0,0.0,0.028,0.024,0.0,0.0,75.93
2020-06-09,4.0,1.429,0.0,0.0,0.112,0.04,0.0,0.0,75.93
2020-06-10,17.0,3.857,0.0,0.0,0.478,0.108,0.0,0.0,75.93
2020-06-11,5.0,4.571,1.0,0.143,0.14,0.128,0.028,0.004,75.93
2020-06-12,12.0,6.286,0.0,0.143,0.337,0.177,0.0,0.004,75.93
2020-06-13,8.0,7.143,1.0,0.286,0.225,0.201,0.028,0.008,75.93
2020-06-14,2.0,7.0,0.0,0.286,0.056,0.197,0.0,0.008,75.93
2020-06-15,2.0,7.143,0.0,0.286,0.056,0.201,0.0,0.008,75.93
2020-06-16,6.0,7.429,0.0,0.286,0.169,0.209,0.0,0.008,75.93
2020-06-17,7.0,6.0,1.0,0.429,0.197,0.169,0.028,0.012,75.93
2020-06-18,11.0,6.857,1.0,0.429,0.309,0.193,0.028,0.012,75.93
2020-06-19,6.0,6.0,0.0,0.429,0.169,0.169,0.0,0.012,75.93
2020-06-20,4.0,5.429,1.0,0.429,0.112,0.153,0.028,0.012,75.93
2020-06-21,7.0,6.143,0.0,0.429,0.197,0.173,0.0,0.012,75.93
2020-06-22,3.0,6.286,1.0,0.571,0.084,0.177,0.028,0.016,75.93
2020-06-23,3.0,5.857,0.0,0.571,0.084,0.165,0.0,0.016,75.93
2020-06-24,8.0,6.0,0.0,0.429,0.225,0.169,0.0,0.012,75.93
2020-06-25,15.0,6.571,0.0,0.286,0.421,0.185,0.0,0.008,75.93
2020-06-26,0.0,5.714,0.0,0.286,0.0,0.161,0.0,0.008,75.93
2020-06-27,47.0,11.857,0.0,0.143,1.321,0.333,0.0,0.004,75.93
2020-06-28,8.0,12.0,1.0,0.286,0.225,0.337,0.028,0.008,75.93
2020-06-29,9.0,12.857,0.0,0.143,0.253,0.361,0.0,0.004,75.93
2020-06-30,8.0,13.571,2.0,0.429,0.225,0.381,0.056,0.012,75.93
2020-07-01,7.0,13.429,2.0,0.714,0.197,0.377,0.056,0.02,75.93
2020-07-02,24.0,14.714,2.0,1.0,0.674,0.413,0.056,0.028,75.93
2020-07-03,13.0,16.571,1.0,1.143,0.365,0.466,0.028,0.032,75.93
2020-07-04,18.0,12.429,1.0,1.286,0.506,0.349,0.028,0.036,75.93
2020-07-05,0.0,11.286,0.0,1.143,0.0,0.317,0.0,0.032,75.93
2020-07-06,0.0,10.0,0.0,1.143,0.0,0.281,0.0,0.032,75.93
2020-07-07,40.0,14.571,2.0,1.143,1.124,0.409,0.056,0.032,75.93
2020-07-08,0.0,13.571,0.0,0.857,0.0,0.381,0.0,0.024,75.93
2020-07-09,10.0,11.571,1.0,0.714,0.281,0.325,0.028,0.02,76.39
2020-07-10,62.0,18.571,1.0,0.714,1.742,0.522,0.028,0.02,76.39
2020-07-11,4.0,16.571,0.0,0.571,0.112,0.466,0.0,0.016,76.39
2020-07-12,44.0,22.857,3.0,1.0,1.236,0.642,0.084,0.028,76.39
2020-07-13,19.0,25.571,0.0,1.0,0.534,0.719,0.0,0.028,76.39
2020-07-14,16.0,22.143,0.0,0.714,0.45,0.622,0.0,0.02,76.39
2020-07-15,35.0,27.143,1.0,0.857,0.983,0.763,0.028,0.024,76.39
2020-07-16,31.0,30.143,1.0,0.857,0.871,0.847,0.028,0.024,76.39
2020-07-17,31.0,25.714,1.0,0.857,0.871,0.723,0.028,0.024,76.39
2020-07-18,49.0,32.143,0.0,0.857,1.377,0.903,0.0,0.024,76.39
2020-07-19,18.0,28.429,0.0,0.429,0.506,0.799,0.0,0.012,76.39
2020-07-20,44.0,32.0,0.0,0.429,1.236,0.899,0.0,0.012,76.39
2020-07-21,30.0,34.0,1.0,0.571,0.843,0.955,0.028,0.016,76.39
