time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-03,,,,,,,,,
2020-02-04,,,,,,,,,
2020-02-05,,,,,,,,,
2020-02-06,,,,,,,,,
2020-02-07,,,,,,,,,
2020-02-08,,,,,,,,,
2020-02-09,,,,,,,,,
2020-02-10,,,,,,,,,
2020-02-11,,,,,,,,,
2020-02-12,,,,,,,,,
2020-02-13,,,,,,,,,
2020-02-14,,,,,,,,,
2020-02-15,,,,,,,,,
2020-02-16,,,,,,,,,
2020-02-17,,,,,,,,,
2020-02-18,,,,,,,,,
2020-02-19,,,,,,,,,
2020-02-20,,,,,,,,,
2020-02-21,,,,,,,,,
2020-02-22,,,,,,,,,
2020-02-23,,,,,,,,,
2020-02-24,,,,,,,,,
2020-02-25,,,,,,,,,
2020-02-26,,,,,,,,,
2020-02-27,,,,,,,,,
2020-02-28,,,,,,,,,
2020-02-29,,,,,,,,,
2020-03-01,1.0,,,,0.36,,,,
2020-03-02,0.0,,,,0.0,,,,
2020-03-03,0.0,,,,0.0,,,,
2020-03-04,0.0,,,,0.0,,,,
2020-03-05,0.0,,,,0.0,,,,
2020-03-06,0.0,0.143,,,0.0,0.051,,,
2020-03-07,0.0,0.143,,,0.0,0.051,,,
2020-03-08,0.0,0.0,,,0.0,0.0,,,
2020-03-09,0.0,0.0,,,0.0,0.0,,,
2020-03-10,0.0,0.0,,,0.0,0.0,,,
2020-03-11,0.0,0.0,,,0.0,0.0,,,
2020-03-12,3.0,0.429,,,1.079,0.154,,,
2020-03-13,4.0,1.0,,,1.439,0.36,,,
2020-03-14,10.0,2.429,,,3.597,0.873,,,
2020-03-15,8.0,3.571,,,2.877,1.284,,,
2020-03-16,26.0,7.286,,,9.351,2.62,,,
2020-03-17,26.0,11.0,,,9.351,3.956,,,
2020-03-18,6.0,11.857,,,2.158,4.264,,,
2020-03-19,31.0,15.857,,,11.149,5.703,,,
2020-03-20,21.0,18.286,,,7.553,6.576,,,
2020-03-21,24.0,20.286,,,8.632,7.296,,,
2020-03-22,34.0,24.0,,,12.228,8.632,,,
2020-03-23,41.0,26.143,,,14.746,9.402,,,
2020-03-24,14.0,24.429,,,5.035,8.786,,,
2020-03-25,16.0,25.857,,,5.754,9.3,,,
2020-03-26,25.0,25.0,1.0,,8.991,8.991,0.36,,
2020-03-27,39.0,27.571,0.0,,14.026,9.916,0.0,,
2020-03-28,78.0,35.286,0.0,,28.053,12.691,0.0,,
2020-03-29,17.0,32.857,2.0,,6.114,11.817,0.719,,
2020-03-30,58.0,35.286,0.0,,20.86,12.691,0.0,,
2020-03-31,50.0,40.429,0.0,0.429,17.983,14.54,0.0,0.154,
2020-04-01,39.0,43.714,1.0,0.571,14.026,15.722,0.36,0.206,
2020-04-02,92.0,53.286,3.0,0.857,33.088,19.164,1.079,0.308,
2020-04-03,73.0,58.143,0.0,0.857,26.255,20.911,0.0,0.308,
