time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,2.0,,,,0.224,,,,11.11
2020-02-26,,,,,,,,,11.11
2020-02-27,0.0,,,,0.0,,,,11.11
2020-02-28,0.0,,,,0.0,,,,11.11
2020-02-29,2.0,,,,0.224,,,,11.11
2020-03-01,4.0,,,,0.447,,,,11.11
2020-03-02,1.0,1.286,,,0.112,0.144,,,11.11
2020-03-03,4.0,1.571,,,0.447,0.176,,,11.11
2020-03-04,5.0,2.286,,,0.559,0.256,,,11.11
2020-03-05,6.0,3.143,,,0.671,0.352,,,11.11
2020-03-06,14.0,5.143,,,1.566,0.575,,,11.11
2020-03-07,9.0,6.143,,,1.007,0.687,,,11.11
2020-03-08,29.0,9.714,,,3.244,1.087,,,11.11
2020-03-09,23.0,12.857,,,2.573,1.438,,,19.44
2020-03-10,28.0,16.286,,,3.132,1.822,,,19.44
2020-03-11,22.0,18.714,,,2.461,2.093,,,30.56
2020-03-12,55.0,25.714,,,6.152,2.876,,,34.26
2020-03-13,109.0,39.286,,,12.193,4.395,,,48.15
2020-03-14,97.0,51.857,1.0,,10.851,5.801,0.112,,48.15
2020-03-15,182.0,73.714,0.0,,20.359,8.246,0.0,,48.15
2020-03-16,210.0,100.429,1.0,,23.491,11.234,0.112,,81.48
2020-03-17,198.0,124.714,1.0,,22.149,13.951,0.112,,81.48
2020-03-18,226.0,153.857,2.0,,25.281,17.211,0.224,,81.48
2020-03-19,346.0,195.429,2.0,1.0,38.704,21.861,0.224,0.112,81.48
2020-03-20,372.0,233.0,5.0,1.714,41.613,26.064,0.559,0.192,81.48
2020-03-21,455.0,284.143,3.0,2.0,50.897,31.785,0.336,0.224,81.48
2020-03-22,511.0,331.143,5.0,2.714,57.161,37.042,0.559,0.304,81.48
2020-03-23,546.0,379.143,6.0,3.429,61.076,42.412,0.671,0.384,81.48
2020-03-24,618.0,439.143,8.0,4.429,69.13,49.123,0.895,0.495,81.48
2020-03-25,687.0,505.0,12.0,5.857,76.849,56.49,1.342,0.655,81.48
2020-03-26,723.0,558.857,10.0,7.0,80.876,62.515,1.119,0.783,81.48
2020-03-27,754.0,613.429,9.0,7.571,84.344,68.619,1.007,0.847,81.48
2020-03-28,1056.0,699.286,16.0,9.429,118.126,78.223,1.79,1.055,81.48
2020-03-29,807.0,741.571,20.0,11.571,90.272,82.953,2.237,1.294,81.48
2020-03-30,617.0,751.714,19.0,13.429,69.019,84.088,2.125,1.502,81.48
2020-03-31,547.0,741.571,14.0,14.286,61.188,82.953,1.566,1.598,81.48
2020-04-01,673.0,739.571,21.0,15.571,75.283,82.73,2.349,1.742,81.48
2020-04-02,549.0,714.714,19.0,16.857,61.412,79.949,2.125,1.886,81.48
2020-04-03,549.0,685.429,11.0,17.143,61.412,76.673,1.23,1.918,81.48
2020-04-04,438.0,597.143,20.0,17.714,48.995,66.797,2.237,1.982,81.48
2020-04-05,411.0,540.571,18.0,17.429,45.975,60.469,2.014,1.95,81.48
2020-04-06,253.0,488.571,20.0,17.571,28.301,54.652,2.237,1.966,81.48
2020-04-07,183.0,436.571,22.0,18.714,20.471,48.836,2.461,2.093,81.48
2020-04-08,306.0,384.143,31.0,20.143,34.23,42.971,3.468,2.253,81.48
2020-04-09,289.0,347.0,29.0,21.571,32.328,38.816,3.244,2.413,81.48
2020-04-10,290.0,310.0,17.0,22.429,32.44,34.677,1.902,2.509,81.48
2020-04-11,276.0,286.857,22.0,22.714,30.874,32.088,2.461,2.541,81.48
2020-04-12,357.0,279.143,23.0,23.429,39.935,31.225,2.573,2.621,81.48
2020-04-13,203.0,272.0,17.0,23.0,22.708,30.426,1.902,2.573,81.48
2020-04-14,111.0,261.714,12.0,21.571,12.417,29.276,1.342,2.413,77.78
2020-04-15,87.0,230.429,21.0,20.143,9.732,25.776,2.349,2.253,77.78
2020-04-16,150.0,210.571,13.0,17.857,16.779,23.555,1.454,1.998,77.78
2020-04-17,129.0,187.571,16.0,17.714,14.43,20.982,1.79,1.982,77.78
2020-04-18,111.0,164.0,23.0,17.857,12.417,18.345,2.573,1.998,77.78
2020-04-19,100.0,127.286,13.0,16.429,11.186,14.238,1.454,1.838,77.78
2020-04-20,60.0,106.857,18.0,16.571,6.712,11.953,2.014,1.854,77.78
2020-04-21,47.0,97.714,17.0,17.286,5.257,10.93,1.902,1.934,77.78
2020-04-22,68.0,95.0,9.0,15.571,7.607,10.627,1.007,1.742,77.78
2020-04-23,70.0,83.571,18.0,16.286,7.83,9.348,2.014,1.822,75.0
2020-04-24,73.0,75.571,12.0,15.714,8.166,8.454,1.342,1.758,75.0
2020-04-25,60.0,68.286,8.0,13.571,6.712,7.639,0.895,1.518,75.0
2020-04-26,79.0,65.286,8.0,12.857,8.837,7.303,0.895,1.438,75.0
2020-04-27,62.0,65.571,14.0,12.286,6.935,7.335,1.566,1.374,75.0
2020-04-28,35.0,63.857,9.0,11.143,3.915,7.143,1.007,1.246,75.0
2020-04-29,70.0,64.143,6.0,10.714,7.83,7.175,0.671,1.199,75.0
2020-04-30,49.0,61.143,14.0,10.143,5.481,6.84,1.566,1.135,75.0
