time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-01,3.0,,,,0.29,,,,19.44
2020-03-02,0.0,,,,0.0,,,,19.44
2020-03-03,0.0,,,,0.0,,,,30.56
2020-03-04,0.0,,,,0.0,,,,30.56
2020-03-05,3.0,,,,0.29,,,,30.56
2020-03-06,0.0,0.857,,,0.0,0.083,,,30.56
2020-03-07,3.0,1.286,,,0.29,0.124,,,30.56
2020-03-08,0.0,0.857,,,0.0,0.083,,,30.56
2020-03-09,0.0,0.857,,,0.0,0.083,,,30.56
2020-03-10,2.0,1.143,,,0.193,0.11,,,36.11
2020-03-11,0.0,1.143,,,0.0,0.11,,,36.11
2020-03-12,0.0,0.714,,,0.0,0.069,,,36.11
2020-03-13,4.0,1.286,1.0,,0.386,0.124,0.097,,36.11
2020-03-14,0.0,0.857,0.0,,0.0,0.083,0.0,,52.78
2020-03-15,8.0,2.0,0.0,,0.772,0.193,0.0,,52.78
2020-03-16,5.0,2.714,0.0,,0.483,0.262,0.0,,52.78
2020-03-17,0.0,2.429,0.0,,0.0,0.234,0.0,,52.78
2020-03-18,0.0,2.429,0.0,0.143,0.0,0.234,0.0,0.014,52.78
2020-03-19,16.0,4.714,0.0,0.143,1.545,0.455,0.0,0.014,61.11
2020-03-20,0.0,4.143,0.0,0.0,0.0,0.4,0.0,0.0,61.11
2020-03-21,9.0,5.429,0.0,0.0,0.869,0.524,0.0,0.0,61.11
2020-03-22,12.0,6.0,0.0,0.0,1.159,0.579,0.0,0.0,61.11
2020-03-23,7.0,6.286,0.0,0.0,0.676,0.607,0.0,0.0,68.52
2020-03-24,15.0,8.429,0.0,0.0,1.448,0.814,0.0,0.0,68.52
2020-03-25,6.0,9.286,1.0,0.143,0.579,0.896,0.097,0.014,68.52
2020-03-26,29.0,11.143,1.0,0.286,2.8,1.076,0.097,0.028,68.52
2020-03-27,43.0,17.286,0.0,0.286,4.151,1.669,0.0,0.028,68.52
2020-03-28,17.0,18.429,1.0,0.429,1.641,1.779,0.097,0.041,68.52
2020-03-29,27.0,20.571,0.0,0.429,2.607,1.986,0.0,0.041,68.52
2020-03-30,64.0,28.714,0.0,0.429,6.179,2.772,0.0,0.041,68.52
2020-03-31,25.0,30.143,1.0,0.571,2.414,2.91,0.097,0.055,88.89
2020-04-01,61.0,38.0,0.0,0.429,5.889,3.669,0.0,0.041,88.89
2020-04-02,41.0,39.714,0.0,0.286,3.958,3.834,0.0,0.028,88.89
2020-04-03,43.0,39.714,0.0,0.286,4.151,3.834,0.0,0.028,88.89
2020-04-04,78.0,48.429,0.0,0.143,7.53,4.675,0.0,0.014,88.89
2020-04-05,63.0,53.571,2.0,0.429,6.082,5.172,0.193,0.041,88.89
2020-04-06,57.0,52.571,0.0,0.429,5.503,5.075,0.0,0.041,88.89
2020-04-07,76.0,59.857,1.0,0.429,7.337,5.779,0.097,0.041,88.89
2020-04-08,105.0,66.143,0.0,0.429,10.137,6.386,0.0,0.041,88.89
2020-04-09,104.0,75.143,1.0,0.571,10.04,7.255,0.097,0.055,88.89
2020-04-10,65.0,78.286,1.0,0.714,6.275,7.558,0.097,0.069,88.89
2020-04-11,67.0,76.714,1.0,0.857,6.468,7.406,0.097,0.083,88.89
2020-04-12,40.0,73.429,0.0,0.571,3.862,7.089,0.0,0.055,88.89
2020-04-13,50.0,72.429,1.0,0.714,4.827,6.992,0.097,0.069,88.89
2020-04-14,49.0,68.571,1.0,0.714,4.731,6.62,0.097,0.069,88.89
2020-04-15,56.0,61.571,0.0,0.714,5.406,5.944,0.0,0.069,88.89
2020-04-16,30.0,51.0,2.0,0.857,2.896,4.924,0.193,0.083,91.67
2020-04-17,57.0,49.857,0.0,0.714,5.503,4.813,0.0,0.069,91.67
2020-04-18,33.0,45.0,3.0,1.0,3.186,4.344,0.29,0.097,91.67
2020-04-19,25.0,42.857,1.0,1.143,2.414,4.138,0.097,0.11,91.67
2020-04-20,38.0,41.143,0.0,1.0,3.669,3.972,0.0,0.097,91.67
