time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-24,1.0,,,,0.679,,,,25.0
2020-02-25,22.0,,,,14.943,,,,25.0
2020-02-26,10.0,,,,6.792,,,,30.56
2020-02-27,0.0,,,,0.0,,,,30.56
2020-02-28,3.0,,,,2.038,,,,30.56
2020-02-29,5.0,5.857,,,3.396,3.978,,,30.56
2020-03-01,6.0,6.714,,,4.075,4.561,,,30.56
2020-03-02,2.0,6.857,,,1.358,4.658,,,30.56
2020-03-03,0.0,3.714,,,0.0,2.523,,,30.56
2020-03-04,3.0,2.714,,,2.038,1.844,,,30.56
2020-03-05,3.0,3.143,,,2.038,2.135,,,30.56
2020-03-06,5.0,3.429,,,3.396,2.329,,,30.56
2020-03-07,25.0,6.286,,,16.981,4.269,,,30.56
2020-03-08,0.0,5.429,,,0.0,3.687,,,30.56
2020-03-09,10.0,6.571,,,6.792,4.464,,,30.56
2020-03-10,15.0,8.714,,,10.189,5.919,,,30.56
2020-03-11,85.0,20.429,,,57.735,13.876,,,30.56
2020-03-12,0.0,20.0,,,0.0,13.585,,,30.56
2020-03-13,0.0,19.286,,,0.0,13.1,,,30.56
2020-03-14,15.0,17.857,,,10.189,12.129,,,30.56
2020-03-15,4.0,18.429,,,2.717,12.517,,,30.56
2020-03-16,0.0,17.0,1.0,,0.0,11.547,0.679,,30.56
2020-03-17,14.0,16.857,0.0,,9.509,11.45,0.0,,30.56
2020-03-18,28.0,8.714,0.0,,19.019,5.919,0.0,,66.67
2020-03-19,22.0,11.857,0.0,,14.943,8.054,0.0,,66.67
2020-03-20,7.0,12.857,0.0,,4.755,8.733,0.0,,66.67
2020-03-21,20.0,13.571,0.0,0.143,13.585,9.218,0.0,0.097,66.67
2020-03-22,29.0,17.143,1.0,0.286,19.698,11.644,0.679,0.194,69.44
2020-03-23,43.0,23.286,0.0,0.143,29.207,15.817,0.0,0.097,69.44
2020-03-24,15.0,23.429,1.0,0.286,10.189,15.914,0.679,0.194,69.44
2020-03-25,27.0,23.286,1.0,0.429,18.339,15.817,0.679,0.291,69.44
2020-03-26,39.0,25.714,0.0,0.429,26.49,17.466,0.0,0.291,73.15
