time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-17,2.0,,,,7.101,,,,36.11
2020-03-18,0.0,,,,0.0,,,,36.11
2020-03-19,3.0,,,,10.652,,,,47.22
2020-03-20,0.0,,,,0.0,,,,47.22
2020-03-21,1.0,,,,3.551,,,,47.22
2020-03-22,8.0,2.0,,,28.404,7.101,,,47.22
2020-03-23,3.0,2.429,,,10.652,8.623,,,47.22
2020-03-24,1.0,2.286,,,3.551,8.116,,,47.22
2020-03-25,0.0,2.286,,,0.0,8.116,,,47.22
2020-03-26,0.0,1.857,,,0.0,6.594,,,47.22
2020-03-27,6.0,2.714,,,21.303,9.637,,,47.22
2020-03-28,2.0,2.857,,,7.101,10.144,,,62.04
2020-03-29,7.0,2.714,,,24.854,9.637,,,62.04
2020-03-30,0.0,2.286,,,0.0,8.116,,,62.04
2020-03-31,1.0,2.286,,,3.551,8.116,,,62.04
2020-04-01,0.0,2.286,,,0.0,8.116,,,62.04
2020-04-02,12.0,4.0,,,42.607,14.202,,,62.04
2020-04-03,5.0,3.857,,,17.753,13.695,,,83.33
2020-04-04,1.0,3.714,,,3.551,13.188,,,83.33
2020-04-05,4.0,3.286,1.0,,14.202,11.666,3.551,,83.33
2020-04-06,4.0,3.857,1.0,,14.202,13.695,3.551,,83.33
2020-04-07,3.0,4.143,1.0,,10.652,14.709,3.551,,83.33
2020-04-08,0.0,4.143,0.0,,0.0,14.709,0.0,,88.89
2020-04-09,3.0,2.857,0.0,,10.652,10.144,0.0,,88.89
2020-04-10,1.0,2.286,1.0,0.571,3.551,8.116,3.551,2.029,88.89
2020-04-11,1.0,2.286,0.0,0.571,3.551,8.116,0.0,2.029,88.89
2020-04-12,3.0,2.143,0.0,0.429,10.652,7.608,0.0,1.522,88.89
2020-04-13,1.0,1.714,0.0,0.286,3.551,6.087,0.0,1.014,88.89
2020-04-14,0.0,1.286,0.0,0.143,0.0,4.565,0.0,0.507,88.89
2020-04-15,1.0,1.429,1.0,0.286,3.551,5.072,3.551,1.014,88.89
2020-04-16,2.0,1.286,0.0,0.286,7.101,4.565,0.0,1.014,88.89
2020-04-17,0.0,1.143,0.0,0.143,0.0,4.058,0.0,0.507,88.89
2020-04-18,0.0,1.0,0.0,0.143,0.0,3.551,0.0,0.507,88.89
2020-04-19,0.0,0.571,0.0,0.143,0.0,2.029,0.0,0.507,88.89
2020-04-20,0.0,0.429,0.0,0.143,0.0,1.522,0.0,0.507,88.89
2020-04-21,0.0,0.429,0.0,0.143,0.0,1.522,0.0,0.507,88.89
2020-04-22,0.0,0.286,0.0,0.0,0.0,1.014,0.0,0.0,88.89
2020-04-23,1.0,0.143,1.0,0.143,3.551,0.507,3.551,0.507,88.89
2020-04-24,1.0,0.286,0.0,0.143,3.551,1.014,0.0,0.507,88.89
2020-04-25,2.0,0.571,0.0,0.143,7.101,2.029,0.0,0.507,88.89
2020-04-26,0.0,0.571,0.0,0.143,0.0,2.029,0.0,0.507,88.89
2020-04-27,1.0,0.714,0.0,0.143,3.551,2.536,0.0,0.507,88.89
2020-04-28,0.0,0.714,0.0,0.143,0.0,2.536,0.0,0.507,88.89
2020-04-29,0.0,0.714,1.0,0.286,0.0,2.536,3.551,1.014,88.89
2020-04-30,1.0,0.714,0.0,0.143,3.551,2.536,0.0,0.507,88.89
2020-05-01,0.0,0.571,0.0,0.143,0.0,2.029,0.0,0.507,88.89
2020-05-02,0.0,0.286,0.0,0.143,0.0,1.014,0.0,0.507,88.89
2020-05-03,1.0,0.429,0.0,0.143,3.551,1.522,0.0,0.507,88.89
2020-05-04,0.0,0.286,0.0,0.143,0.0,1.014,0.0,0.507,81.48
2020-05-05,0.0,0.286,0.0,0.143,0.0,1.014,0.0,0.507,81.48
2020-05-06,0.0,0.286,0.0,0.0,0.0,1.014,0.0,0.0,81.48
2020-05-07,0.0,0.143,0.0,0.0,0.0,0.507,0.0,0.0,81.48
