time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-28,1.0,,,,0.105,,,,0.0
2020-02-29,0.0,,,,0.0,,,,0.0
2020-03-01,0.0,,,,0.0,,,,0.0
2020-03-02,0.0,,,,0.0,,,,0.0
2020-03-03,0.0,,,,0.0,,,,0.0
2020-03-04,5.0,0.857,,,0.524,0.09,,,0.0
2020-03-05,0.0,0.857,,,0.0,0.09,,,0.0
2020-03-06,0.0,0.714,,,0.0,0.075,,,0.0
2020-03-07,0.0,0.714,,,0.0,0.075,,,0.0
2020-03-08,0.0,0.714,,,0.0,0.075,,,0.0
2020-03-09,0.0,0.714,,,0.0,0.075,,,0.0
2020-03-10,3.0,1.143,,,0.315,0.12,,,0.0
2020-03-11,0.0,0.429,,,0.0,0.045,,,0.0
2020-03-12,3.0,0.857,,,0.315,0.09,,,0.0
2020-03-13,15.0,3.0,,,1.573,0.315,,,0.0
2020-03-14,0.0,3.0,,,0.0,0.315,,,8.33
2020-03-15,0.0,3.0,,,0.0,0.315,,,8.33
2020-03-16,9.0,4.286,,,0.944,0.449,,,8.33
2020-03-17,0.0,3.857,,,0.0,0.405,,,8.33
2020-03-18,15.0,6.0,,,1.573,0.629,,,8.33
2020-03-19,0.0,5.571,,,0.0,0.584,,,8.33
2020-03-20,18.0,6.0,,,1.888,0.629,,,8.33
2020-03-21,7.0,7.0,,,0.734,0.734,,,8.33
2020-03-22,0.0,7.0,,,0.0,0.734,,,8.33
2020-03-23,5.0,6.429,,,0.524,0.674,,,8.33
2020-03-24,0.0,6.429,,,0.0,0.674,,,8.33
2020-03-25,5.0,5.0,,,0.524,0.524,,,8.33
2020-03-26,0.0,5.0,,,0.0,0.524,,,8.33
2020-03-27,8.0,3.571,,,0.839,0.375,,,8.33
2020-03-28,0.0,2.571,,,0.0,0.27,,,8.33
2020-03-29,0.0,2.571,,,0.0,0.27,,,8.33
2020-03-30,58.0,10.143,,,6.083,1.064,,,8.33
2020-03-31,0.0,10.143,1.0,,0.0,1.064,0.105,,8.33
2020-04-01,11.0,11.0,1.0,,1.154,1.154,0.105,,12.04
2020-04-02,141.0,31.143,2.0,,14.788,3.266,0.21,,12.04
2020-04-03,47.0,36.714,0.0,,4.929,3.85,0.0,,9.26
2020-04-04,89.0,49.429,1.0,,9.334,5.184,0.105,,16.67
2020-04-05,122.0,66.857,3.0,1.143,12.795,7.012,0.315,0.12,16.67
2020-04-06,138.0,78.286,5.0,1.857,14.473,8.21,0.524,0.195,22.22
2020-04-07,161.0,101.286,0.0,1.714,16.885,10.623,0.0,0.18,22.22
