male,female,total
326.341,307.312,633.653
345.558,323.492,669.05
345.591,325.878,671.469
329.234,311.548,640.782
337.762,319.94,657.702
372.158,356.225,728.383
375.267,370.928,746.195
378.626,379.176,757.802
381.481,370.085,751.566
392.495,374.378,766.873
405.226,390.266,795.492
406.323,396.926,803.249
365.223,370.684,735.907
306.534,327.435,633.969
260.16,295.438,555.598
171.437,212.378,383.815
132.264,188.56,320.824
78.407,138.297,216.704
28.401,66.633,95.034
5.548,18.116,23.664
0.299,1.586,1.885
