time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-23,1.0,,,,2.467,,,,54.63
2020-03-24,0.0,,,,0.0,,,,54.63
2020-03-25,1.0,,,,2.467,,,,54.63
2020-03-26,0.0,,,,0.0,,,,54.63
2020-03-27,0.0,,,,0.0,,,,54.63
2020-03-28,0.0,0.286,,,0.0,0.705,,,54.63
2020-03-29,0.0,0.286,,,0.0,0.705,,,54.63
2020-03-30,1.0,0.286,,,2.467,0.705,,,54.63
2020-03-31,0.0,0.286,,,0.0,0.705,,,54.63
2020-04-01,0.0,0.143,,,0.0,0.352,,,75.0
2020-04-02,0.0,0.143,,,0.0,0.352,,,75.0
2020-04-03,1.0,0.286,,,2.467,0.705,,,75.0
2020-04-04,0.0,0.286,,,0.0,0.705,,,75.0
2020-04-05,1.0,0.429,,,2.467,1.057,,,75.0
2020-04-06,2.0,0.571,1.0,,4.935,1.41,2.467,,75.0
2020-04-07,0.0,0.571,0.0,,0.0,1.41,0.0,,75.0
2020-04-08,1.0,0.714,0.0,,2.467,1.762,0.0,,75.0
2020-04-09,1.0,0.857,0.0,,2.467,2.115,0.0,,75.0
2020-04-10,1.0,0.857,1.0,,2.467,2.115,2.467,,75.0
2020-04-11,3.0,1.286,0.0,0.286,7.402,3.172,0.0,0.705,75.0
2020-04-12,1.0,1.286,0.0,0.286,2.467,3.172,0.0,0.705,75.0
2020-04-13,4.0,1.571,0.0,0.143,9.87,3.877,0.0,0.352,75.0
2020-04-14,0.0,1.571,0.0,0.143,0.0,3.877,0.0,0.352,75.0
2020-04-15,0.0,1.429,0.0,0.143,0.0,3.525,0.0,0.352,75.0
2020-04-16,0.0,1.286,0.0,0.143,0.0,3.172,0.0,0.352,75.0
2020-04-17,0.0,1.143,0.0,0.0,0.0,2.82,0.0,0.0,75.0
2020-04-18,0.0,0.714,0.0,0.0,0.0,1.762,0.0,0.0,75.0
2020-04-19,0.0,0.571,0.0,0.0,0.0,1.41,0.0,0.0,75.0
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.85
