time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-31,2.0,,,,0.155,,,,13.89
2020-04-01,0.0,,,,0.0,,,,13.89
2020-04-02,1.0,,,,0.078,,,,13.89
2020-04-03,0.0,,,,0.0,,,,13.89
2020-04-04,0.0,,,,0.0,,,,13.89
2020-04-05,0.0,0.429,,,0.0,0.033,,,13.89
2020-04-06,0.0,0.429,,,0.0,0.033,,,13.89
2020-04-07,0.0,0.143,,,0.0,0.011,,,13.89
2020-04-08,0.0,0.143,,,0.0,0.011,,,13.89
2020-04-09,0.0,0.0,,,0.0,0.0,,,13.89
2020-04-10,0.0,0.0,,,0.0,0.0,,,13.89
2020-04-11,2.0,0.286,,,0.155,0.022,,,13.89
2020-04-12,0.0,0.286,,,0.0,0.022,,,13.89
2020-04-13,0.0,0.286,1.0,,0.0,0.022,0.078,,13.89
2020-04-14,0.0,0.286,0.0,,0.0,0.022,0.0,,13.89
2020-04-15,0.0,0.286,0.0,,0.0,0.022,0.0,,13.89
2020-04-16,0.0,0.286,0.0,,0.0,0.022,0.0,,13.89
2020-04-17,0.0,0.286,0.0,,0.0,0.022,0.0,,13.89
2020-04-18,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.011,13.89
2020-04-19,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.011,13.89
2020-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-04-22,6.0,0.857,0.0,0.0,0.465,0.066,0.0,0.0,13.89
2020-04-23,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-24,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-25,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-26,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-27,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-28,0.0,0.857,0.0,0.0,0.0,0.066,0.0,0.0,13.89
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-02,4.0,0.571,0.0,0.0,0.31,0.044,0.0,0.0,13.89
2020-05-03,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-04,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-05,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-06,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-07,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-08,0.0,0.571,0.0,0.0,0.0,0.044,0.0,0.0,13.89
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-17,8.0,1.143,0.0,0.0,0.621,0.089,0.0,0.0,13.89
2020-05-18,19.0,3.857,0.0,0.0,1.474,0.299,0.0,0.0,13.89
2020-05-19,0.0,3.857,0.0,0.0,0.0,0.299,0.0,0.0,13.89
2020-05-20,0.0,3.857,0.0,0.0,0.0,0.299,0.0,0.0,13.89
2020-05-21,0.0,3.857,0.0,0.0,0.0,0.299,0.0,0.0,13.89
2020-05-22,0.0,3.857,0.0,0.0,0.0,0.299,0.0,0.0,13.89
2020-05-23,0.0,3.857,0.0,0.0,0.0,0.299,0.0,0.0,13.89
2020-05-24,0.0,2.714,0.0,0.0,0.0,0.211,0.0,0.0,13.89
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89
2020-05-30,21.0,3.0,0.0,0.0,1.629,0.233,0.0,0.0,13.89
2020-05-31,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-01,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-02,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-03,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-04,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-05,0.0,3.0,0.0,0.0,0.0,0.233,0.0,0.0,13.89
2020-06-06,20.0,2.857,0.0,0.0,1.552,0.222,0.0,0.0,13.89
2020-06-07,0.0,2.857,0.0,0.0,0.0,0.222,0.0,0.0,13.89
2020-06-08,0.0,2.857,0.0,0.0,0.0,0.222,0.0,0.0,13.89
2020-06-09,0.0,2.857,0.0,0.0,0.0,0.222,0.0,0.0,13.89
2020-06-10,0.0,2.857,0.0,0.0,0.0,0.222,0.0,0.0,13.89
2020-06-11,2.0,3.143,0.0,0.0,0.155,0.244,0.0,0.0,13.89
2020-06-12,0.0,3.143,0.0,0.0,0.0,0.244,0.0,0.0,13.89
