male,female,total
2077.822,2037.881,4115.703
1881.835,1848.488,3730.323
1672.667,1647.542,3320.209
1436.047,1420.203,2856.25
1213.879,1206.119,2419.998
1067.009,1064.78,2131.789
930.61,930.208,1860.818
770.292,768.732,1539.024
602.489,600.746,1203.235
468.356,470.252,938.608
360.872,368.259,729.131
272.697,286.649,559.346
200.605,219.795,420.4
145.366,167.533,312.899
93.962,115.95,209.912
52.653,70.169,122.822
22.958,33.831,56.789
6.152,10.149,16.301
0.767,1.426,2.193
0.036,0.074,0.11
0.001,0.003,0.004
