COUNTRY,CONFIRMED,DEATHS,CASE-FATALITY,DEATHS/100K POP.
Peru,3557869,212704,0.06,654.26
Bulgaria,1151620,36827,0.032,527.93
Bosnia and Herzegovina,376567,15753,0.042,477.22
Hungary,1885865,46000,0.024,470.83
Georgia,1653692,16794,0.01,451.41
North Macedonia,308878,9265,0.03,444.69
Montenegro,234405,2710,0.012,435.6
Moldova,516699,11487,0.022,432.23
Croatia,1114141,15757,0.014,387.39
Czechia,3890336,40038,0.01,375.25
Slovakia,2508400,19790,0.008,362.85
Romania,2885221,65384,0.023,337.79
San Marino,16076,114,0.007,336.68
Lithuania,1051249,9033,0.009,324.13
Slovenia,1000432,6567,0.007,314.52
Brazil,30311969,662659,0.022,313.98
Poland,5987341,115869,0.019,305.15
Chile,3535534,57283,0.016,302.25
United States,80801713,990208,0.012,301.67
Latvia,814400,5724,0.007,299.25
Armenia,422799,8622,0.02,291.51
Argentina,9060923,128344,0.014,285.6
Colombia,6090246,139755,0.023,277.63
Trinidad and Tobago,142919,3807,0.027,272.91
Belgium,3998722,31262,0.008,272.22
Italy,15858442,162098,0.01,268.83
Greece,3259613,28765,0.009,268.42
Paraguay,648682,18786,0.029,266.67
United Kingdom,22060704,173012,0.008,258.87
Mexico,5730560,324004,0.057,253.97
Russia,17838087,366654,0.021,253.96
Ukraine,5040518,112459,0.022,253.37
Tunisia,1039532,28533,0.027,243.98
Serbia,1998776,15940,0.008,229.52
Suriname,79302,1327,0.017,228.26
Liechtenstein,17027,84,0.005,220.94
Spain,11736893,103721,0.009,220.32
France,28162002,145651,0.005,217.2
Portugal,3757590,22106,0.006,215.26
Uruguay,895775,7197,0.008,207.9
Ecuador,866925,35528,0.041,204.49
Bahamas,33421,789,0.024,202.58
Saint Lucia,23161,367,0.016,200.78
Andorra,41013,153,0.004,198.34
Grenada,14287,219,0.015,195.53
Panama,769976,8180,0.011,192.63
Estonia,568543,2526,0.004,190.41
Bolivia,904126,21905,0.024,190.26
Austria,4072410,16470,0.004,185.53
Sweden,2495996,18605,0.007,180.89
Kosovo,227902,3138,0.014,174.89
Belize,57394,676,0.012,173.18
South Africa,3746424,100211,0.027,171.13
Luxembourg,231669,1056,0.005,170.35
Iran,7212395,140896,0.02,169.93
Seychelles,41660,164,0.004,167.99
Costa Rica,847784,8383,0.01,166.08
Namibia,158112,4022,0.025,161.23
Germany,23844536,133632,0.006,160.75
Switzerland,3596855,13669,0.004,159.41
Guyana,63389,1228,0.019,156.88
Lebanon,1095959,10368,0.009,151.23
Monaco,11520,56,0.005,143.72
Ireland,1506963,6981,0.005,141.27
Jordan,1695432,14059,0.008,139.17
Antigua and Barbuda,7567,135,0.018,139.01
Malta,89607,679,0.008,135.08
Barbados,65770,386,0.006,134.48
Netherlands,8209785,22861,0.003,131.89
Albania,274606,3496,0.013,122.49
Eswatini,70144,1395,0.02,121.5
West Bank and Gaza,656876,5657,0.009,120.74
Turkey,15007364,98628,0.007,118.22
Israel,4044987,10658,0.003,117.73
Botswana,305859,2688,0.009,116.68
Honduras,422275,10892,0.026,111.76
Malaysia,4409202,35465,0.008,111
Guatemala,839416,17457,0.021,105.14
Denmark,3150617,6079,0.002,104.48
