time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,,,0.019,,,,12.04
2020-03-07,0.0,,,,0.0,,,,12.04
2020-03-08,0.0,,,,0.0,,,,12.04
2020-03-09,0.0,,,,0.0,,,,14.81
2020-03-10,2.0,,,,0.039,,,,14.81
2020-03-11,6.0,1.286,,,0.116,0.025,,,14.81
2020-03-12,0.0,1.286,,,0.0,0.025,,,34.26
2020-03-13,4.0,1.714,,,0.077,0.033,,,34.26
2020-03-14,9.0,3.0,,,0.173,0.058,,,34.26
2020-03-15,12.0,4.714,,,0.231,0.091,,,34.26
2020-03-16,23.0,8.0,,,0.443,0.154,,,45.37
2020-03-17,18.0,10.286,,,0.347,0.198,,,50.93
2020-03-18,27.0,13.286,,,0.52,0.256,,,50.93
2020-03-19,6.0,14.143,,,0.116,0.273,,,50.93
2020-03-20,50.0,20.714,,,0.964,0.399,,,50.93
2020-03-21,38.0,24.857,,,0.733,0.479,,,50.93
2020-03-22,35.0,28.143,2.0,,0.675,0.543,0.039,,50.93
2020-03-23,46.0,31.429,1.0,,0.887,0.606,0.019,,53.7
2020-03-24,101.0,43.286,0.0,,1.947,0.834,0.0,,53.7
2020-03-25,92.0,52.571,1.0,,1.774,1.013,0.019,,87.96
2020-03-26,21.0,54.714,2.0,,0.405,1.055,0.039,,87.96
2020-03-27,48.0,54.429,0.0,0.857,0.925,1.049,0.0,0.017,87.96
2020-03-28,69.0,58.857,0.0,0.857,1.33,1.135,0.0,0.017,87.96
2020-03-29,94.0,67.286,4.0,1.143,1.812,1.297,0.077,0.022,87.96
2020-03-30,96.0,74.429,2.0,1.286,1.851,1.435,0.039,0.025,87.96
2020-03-31,108.0,75.429,4.0,1.857,2.082,1.454,0.077,0.036,87.96
2020-04-01,159.0,85.0,1.0,1.857,3.065,1.639,0.019,0.036,87.96
2020-04-02,96.0,95.714,2.0,1.857,1.851,1.845,0.039,0.036,87.96
2020-04-03,106.0,104.0,6.0,2.714,2.043,2.005,0.116,0.052,87.96
2020-04-04,139.0,114.0,7.0,3.714,2.68,2.198,0.135,0.072,87.96
2020-04-05,79.0,111.857,3.0,3.571,1.523,2.156,0.058,0.069,87.96
2020-04-06,94.0,111.571,11.0,4.857,1.812,2.151,0.212,0.094,87.96
2020-04-07,201.0,124.857,4.0,4.857,3.875,2.407,0.077,0.094,87.96
2020-04-08,274.0,141.286,4.0,5.286,5.282,2.724,0.077,0.102,87.96
2020-04-09,169.0,151.714,15.0,7.143,3.258,2.925,0.289,0.138,87.96
