time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,1.0,,,,0.193,,,,11.11
2020-03-07,0.0,,,,0.0,,,,11.11
2020-03-08,4.0,,,,0.772,,,,11.11
2020-03-09,4.0,,,,0.772,,,,11.11
2020-03-10,0.0,,,,0.0,,,,29.63
2020-03-11,4.0,1.857,,,0.772,0.358,,,29.63
2020-03-12,9.0,3.143,,,1.737,0.607,,,37.04
2020-03-13,1.0,3.143,,,0.193,0.607,,,37.04
2020-03-14,3.0,3.571,,,0.579,0.689,,,37.04
2020-03-15,1.0,3.143,,,0.193,0.607,,,37.04
2020-03-16,8.0,3.714,,,1.544,0.717,,,37.04
2020-03-17,6.0,4.571,,,1.158,0.882,,,62.96
2020-03-18,9.0,5.286,,,1.737,1.02,,,62.96
2020-03-19,19.0,6.714,1.0,,3.667,1.296,0.193,,62.96
2020-03-20,20.0,9.429,0.0,,3.86,1.82,0.0,,62.96
2020-03-21,28.0,13.0,1.0,,5.405,2.509,0.193,,71.3
2020-03-22,17.0,15.286,0.0,,3.281,2.95,0.0,,71.3
2020-03-23,24.0,17.571,0.0,,4.632,3.392,0.0,,71.3
2020-03-24,19.0,19.429,0.0,0.286,3.667,3.75,0.0,0.055,71.3
2020-03-25,24.0,21.571,0.0,0.286,4.632,4.164,0.0,0.055,71.3
2020-03-26,30.0,23.143,0.0,0.143,5.791,4.467,0.0,0.028,71.3
2020-03-27,32.0,24.857,0.0,0.143,6.177,4.798,0.0,0.028,71.3
2020-03-28,32.0,25.429,0.0,0.0,6.177,4.908,0.0,0.0,71.3
2020-03-29,19.0,25.714,0.0,0.0,3.667,4.963,0.0,0.0,71.3
2020-03-30,16.0,24.571,0.0,0.0,3.088,4.743,0.0,0.0,71.3
2020-03-31,17.0,24.286,0.0,0.0,3.281,4.688,0.0,0.0,71.3
2020-04-01,28.0,24.857,0.0,0.0,5.405,4.798,0.0,0.0,75.0
2020-04-02,21.0,23.571,0.0,0.0,4.053,4.55,0.0,0.0,75.0
2020-04-03,20.0,21.857,0.0,0.0,3.86,4.219,0.0,0.0,75.0
2020-04-04,19.0,20.0,0.0,0.0,3.667,3.86,0.0,0.0,75.0
2020-04-05,19.0,20.0,0.0,0.0,3.667,3.86,0.0,0.0,75.0
2020-04-06,13.0,19.571,0.0,0.0,2.509,3.778,0.0,0.0,75.0
2020-04-07,16.0,19.429,0.0,0.0,3.088,3.75,0.0,0.0,75.0
2020-04-08,19.0,18.143,1.0,0.143,3.667,3.502,0.193,0.028,77.78
2020-04-09,37.0,20.429,0.0,0.143,7.142,3.943,0.0,0.028,77.78
2020-04-10,19.0,20.286,0.0,0.143,3.667,3.916,0.0,0.028,77.78
2020-04-11,19.0,20.286,0.0,0.143,3.667,3.916,0.0,0.028,77.78
2020-04-12,18.0,20.143,0.0,0.143,3.474,3.888,0.0,0.028,77.78
2020-04-13,17.0,20.714,0.0,0.143,3.281,3.998,0.0,0.028,75.93
2020-04-14,6.0,19.286,0.0,0.143,1.158,3.723,0.0,0.028,75.93
2020-04-15,8.0,17.714,1.0,0.143,1.544,3.419,0.193,0.028,75.93
2020-04-16,16.0,14.714,0.0,0.143,3.088,2.84,0.0,0.028,75.93
2020-04-17,7.0,13.0,0.0,0.143,1.351,2.509,0.0,0.028,75.93
2020-04-18,6.0,11.143,0.0,0.143,1.158,2.151,0.0,0.028,75.93
2020-04-19,5.0,9.286,1.0,0.286,0.965,1.792,0.193,0.055,75.93
2020-04-20,2.0,7.143,1.0,0.429,0.386,1.379,0.193,0.083,75.93
2020-04-21,7.0,7.286,0.0,0.429,1.351,1.406,0.0,0.083,75.93
2020-04-22,12.0,7.857,0.0,0.286,2.316,1.517,0.0,0.055,75.93
2020-04-23,5.0,6.286,0.0,0.286,0.965,1.213,0.0,0.055,75.93
2020-04-24,1.0,5.429,0.0,0.286,0.193,1.048,0.0,0.055,75.93
2020-04-25,6.0,5.429,0.0,0.286,1.158,1.048,0.0,0.055,75.93
2020-04-26,2.0,5.0,0.0,0.143,0.386,0.965,0.0,0.028,75.93
2020-04-27,2.0,5.0,0.0,0.0,0.386,0.965,0.0,0.0,81.48
2020-04-28,8.0,5.143,0.0,0.0,1.544,0.993,0.0,0.0,81.48
2020-04-29,8.0,4.571,0.0,0.0,1.544,0.882,0.0,0.0,81.48
2020-04-30,6.0,4.714,0.0,0.0,1.158,0.91,0.0,0.0,81.48
2020-05-01,6.0,5.429,0.0,0.0,1.158,1.048,0.0,0.0,72.22
2020-05-02,8.0,5.714,0.0,0.0,1.544,1.103,0.0,0.0,72.22
2020-05-03,6.0,6.286,0.0,0.0,1.158,1.213,0.0,0.0,72.22
2020-05-04,3.0,6.429,0.0,0.0,0.579,1.241,0.0,0.0,72.22
2020-05-05,13.0,7.143,0.0,0.0,2.509,1.379,0.0,0.0,72.22
2020-05-06,6.0,6.857,0.0,0.0,1.158,1.324,0.0,0.0,72.22
2020-05-07,4.0,6.571,0.0,0.0,0.772,1.268,0.0,0.0,72.22
2020-05-08,8.0,6.857,0.0,0.0,1.544,1.324,0.0,0.0,72.22
2020-05-09,7.0,6.714,0.0,0.0,1.351,1.296,0.0,0.0,72.22
2020-05-10,12.0,7.571,1.0,0.143,2.316,1.461,0.193,0.028,72.22
2020-05-11,9.0,8.429,0.0,0.143,1.737,1.627,0.0,0.028,72.22
2020-05-12,3.0,7.0,0.0,0.143,0.579,1.351,0.0,0.028,72.22
2020-05-13,11.0,7.714,1.0,0.286,2.123,1.489,0.193,0.055,72.22
2020-05-14,15.0,9.286,0.0,0.286,2.895,1.792,0.0,0.055,72.22
2020-05-15,13.0,10.0,1.0,0.429,2.509,1.93,0.193,0.083,72.22
2020-05-16,10.0,10.429,1.0,0.571,1.93,2.013,0.193,0.11,72.22
2020-05-17,10.0,10.143,0.0,0.429,1.93,1.958,0.0,0.083,72.22
2020-05-18,3.0,9.286,0.0,0.429,0.579,1.792,0.0,0.083,72.22
2020-05-19,16.0,11.143,0.0,0.429,3.088,2.151,0.0,0.083,72.22
2020-05-20,15.0,11.714,0.0,0.286,2.895,2.261,0.0,0.055,72.22
2020-05-21,6.0,10.429,0.0,0.286,1.158,2.013,0.0,0.055,72.22
2020-05-22,8.0,9.714,0.0,0.143,1.544,1.875,0.0,0.028,72.22
2020-05-23,7.0,9.286,0.0,0.0,1.351,1.792,0.0,0.0,72.22
2020-05-24,12.0,9.571,0.0,0.0,2.316,1.847,0.0,0.0,72.22
2020-05-25,21.0,12.143,0.0,0.0,4.053,2.344,0.0,0.0,72.22
