country name,pyramid distance,median age,GDP per capita,population density,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people,,Entity,Total confirmed deaths due to COVID-19 per million people,Total confirmed cases of COVID-19 per million people
afghanistan,0.034096578,18.6,1803.987,54.422,192.567,4467.732,,afghanistan,192.567,4467.732
albania,0.113122931,38,11803.431,104.871,1215.482,95410.476,,africa,183.628,8432.936
algeria,0.07424309,29.1,13913.839,17.348,154.068,5955.336,,albania,1215.482,95410.476
angola,0.01606743,16.8,5819.495,23.89,55.992,2923.178,,algeria,154.068,5955.336
antigua and barbuda,0.098340796,32.1,21490.943,231.845,1367.393,76077.708,,andorra,1977.92,521343.434
argentina,0.088526036,31.9,18933.907,16.177,2810.124,198423.127,,angola,55.992,2923.178
armenia,0.100575916,35.7,8787.58,102.931,2903.851,142389.075,,anguilla,595.041,179636.364
australia,0.110193659,37.9,44648.71,3.202,253.061,192774.087,,antigua and barbuda,1367.393,76077.708
austria,0.128055905,44.4,45436.686,106.749,1784.902,436816.272,,argentina,2810.124,198423.127
azerbaijan,0.093919869,32.4,15847.419,119.309,949.102,77485.997,,armenia,2903.851,142389.075
bahamas,0.098904868,34.3,27717.847,39.497,1985.317,83972.851,,aruba,1977.704,318009.236
bahrain,0.179128787,32.4,43290.705,1935.907,841.963,319516.443,,asia,302.169,30615.041
bangladesh,0.082463411,27.5,3523.984,1265.036,175.12,11737.258,,australia,253.061,192774.087
barbados,0.117103356,39.8,16978.068,664.463,1310.356,212948.545,,austria,1784.902,436816.272
belarus,0.11907591,40.3,17167.967,46.858,727.11,102482.752,,azerbaijan,949.102,77485.997
belgium,0.119843634,41.8,42658.576,375.564,2664.727,336624.791,,bahamas,1985.317,83972.851
belize,0.072040108,25,7824.362,16.426,1620.093,141555.635,,bahrain,841.963,319516.443
benin,0.028950299,18.8,2064.236,99.11,13.091,2164.64,,bangladesh,175.12,11737.258
bhutan,0.094198699,28.6,8708.597,21.188,15.387,47504.808,,barbados,1310.356,212948.545
bolivia,0.068454294,25.4,6885.829,10.202,1850.682,76317.661,,belarus,727.11,102482.752
bosnia and herzegovina,0.129592825,42.5,11713.895,68.496,4819.426,115223.755,,belgium,2664.727,336624.791
botswana,0.059354422,25.8,15807.374,4.044,1120.455,127449.066,,belize,1620.093,141555.635
brazil,0.10196776,33.5,14103.452,25.04,3089.945,140636.684,,benin,13.091,2164.64
brunei,0.103000392,32.4,71809.251,81.347,484.676,311608.219,,bermuda,2077.562,204712.362
bulgaria,0.130958549,44.7,18563.307,65.18,5317.36,165893.031,,bhutan,15.387,47504.808
burkina faso,0.022206764,17.6,1703.102,70.151,17.77,970.271,,bolivia,1850.682,76317.661
burundi,0.022694263,17.5,702.225,423.062,3.101,3150.359,,bonaire sint eustatius and saba,1247.873,335904.708
cambodia,0.070187978,25.6,3645.07,90.672,180.274,8017.079,,bosnia and herzegovina,4819.426,115223.755
cameroon,0.031419558,18.8,3364.926,50.885,70.782,4391.083,,botswana,1120.455,127449.066
canada,0.123281199,41.4,44017.591,4.037,994.696,92831.488,,brazil,3089.945,140636.684
chad,0.015592126,16.7,1768.153,11.833,11.351,434.467,,british virgin islands,2037.932,202544.128
chile,0.108877443,35.4,22767.037,24.282,2962.259,182209.246,,brunei,484.676,311608.219
china,0.118562071,38.7,15308.712,147.674,3.211,235.63,,bulgaria,5317.36,165893.031
colombia,0.094934707,32.2,13254.949,44.223,2724.875,118736.431,,burkina faso,17.77,970.271
comoros,0.040717586,20.4,1413.89,437.352,180.088,9111.312,,burundi,3.101,3150.359
