iso_code,continent,location,LOC,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,afghanistan,Afghanistan,11/3/2022,203395,130,112.429,7825,2,0.714,4945.321,3.161,2.734,190.256,0.049,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,41128772,,,,
OWID_AFR,,africa,Africa,11/3/2022,12388153,894,908.286,256982,1,8.143,8682.859,0.627,0.637,180.119,0.001,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426736614,,,,
ALB,Europe,albania,Albania,11/3/2022,332996,0,15.286,3593,0,0,117156.49,0,5.378,1264.109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,2842318,,,,
DZA,Africa,algeria,Algeria,11/3/2022,270847,7,4.286,6881,0,0,6031.794,0.156,0.095,153.241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228,,,,
AND,Europe,andorra,Andorra,11/3/2022,46588,0,7.571,155,0,0,583495.109,0,94.829,1941.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843,,,,
AGO,Africa,angola,Angola,11/3/2022,103131,0,0,1917,0,0,2897.834,0,0,53.865,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,35588996,,,,
AIA,North America,anguilla,Anguilla,11/3/2022,3866,0,0,12,0,0,243496.882,0,0,755.81,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.88,,15877,,,,
ATG,North America,antigua and barbuda,Antigua and Barbuda,11/3/2022,9106,0,0,146,0,0,97107.879,0,0,1556.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,
ARG,South America,argentina,Argentina,11/3/2022,9718875,,,129991,,,213553.193,,,2856.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,45510324,,,,
ARM,Asia,armenia,Armenia,11/3/2022,445242,,,8709,0,0.429,160131.805,,,3132.202,0,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472,,,,
ABW,North America,aruba,Aruba,11/3/2022,43379,0,6.429,233,0,0.143,407471.421,0,60.385,2188.636,0,1.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,
OWID_ASI,,asia,Asia,11/3/2022,189895620,170183,149087.714,1494733,303,458.857,40220.335,36.045,31.577,316.588,0.064,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4721383370,,,,
AUS,Oceania,australia,Australia,11/3/2022,10402713,19708,5439.714,15721,43,12.143,397392.752,752.863,207.802,600.556,1.643,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,26177410,,,,
