male,female,total
293.5,277.783,571.283
322.66,305.433,628.093
310.481,293.422,603.903
330.604,312.225,642.829
360.184,341.084,701.268
372.479,347.272,719.751
423.331,407.71,831.041
351.949,340.043,691.992
312.681,304.963,617.644
473.885,470.453,944.338
489.484,508.99,998.474
470.453,498.368,968.821
292.245,314.749,606.994
266.286,300.742,567.028
210.228,238.901,449.129
162.323,192.755,355.078
99.845,129.719,229.564
50.687,70.939,121.626
22.061,34.117,56.178
6.911,11.528,18.439
1.191,1.952,3.143
