time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-09,,,,,,,,,11.11
2020-03-10,2.0,,,,2.232,,,,22.22
2020-03-11,0.0,,,,0.0,,,,22.22
2020-03-12,4.0,,,,4.464,,,,22.22
2020-03-13,0.0,,,,0.0,,,,38.89
2020-03-14,8.0,,,,8.929,,,,38.89
2020-03-15,7.0,3.0,,,7.812,3.348,,,44.44
2020-03-16,9.0,4.286,,,10.045,4.783,,,51.85
2020-03-17,10.0,5.429,,,11.161,6.059,,,51.85
2020-03-18,0.0,5.429,,,0.0,6.059,,,51.85
2020-03-19,18.0,7.429,,,20.089,8.291,,,51.85
2020-03-20,0.0,7.429,,,0.0,8.291,,,51.85
2020-03-21,9.0,7.571,,,10.045,8.45,,,51.85
2020-03-22,17.0,9.0,,,18.973,10.045,,,51.85
2020-03-23,11.0,9.286,,,12.277,10.363,,,62.96
2020-03-24,21.0,10.857,,,23.437,12.117,,,92.59
2020-03-25,8.0,12.0,3.0,,8.929,13.393,3.348,,92.59
2020-03-26,8.0,10.571,0.0,,8.929,11.798,0.0,,92.59
2020-03-27,14.0,12.571,0.0,,15.625,14.031,0.0,,92.59
2020-03-28,16.0,13.571,2.0,,17.857,15.147,2.232,,92.59
2020-03-29,17.0,13.571,0.0,,18.973,15.147,0.0,,92.59
2020-03-30,35.0,17.0,1.0,0.857,39.062,18.973,1.116,0.957,92.59
2020-03-31,16.0,16.286,1.0,1.0,17.857,18.176,1.116,1.116,92.59
2020-04-01,32.0,19.714,1.0,0.714,35.714,22.002,1.116,0.797,92.59
2020-04-02,58.0,26.857,1.0,0.857,64.732,29.974,1.116,0.957,92.59
2020-04-03,36.0,30.0,0.0,0.857,40.178,33.482,0.0,0.957,92.59
2020-04-04,40.0,33.429,0.0,0.571,44.643,37.308,0.0,0.638,92.59
2020-04-05,30.0,35.286,0.0,0.571,33.482,39.381,0.0,0.638,92.59
2020-04-06,20.0,33.143,0.0,0.429,22.321,36.99,0.0,0.478,92.59
2020-04-07,19.0,33.571,0.0,0.286,21.205,37.468,0.0,0.319,92.59
2020-04-08,29.0,33.143,0.0,0.143,32.366,36.99,0.0,0.159,92.59
2020-04-09,32.0,29.429,0.0,0.0,35.714,32.844,0.0,0.0,92.59
2020-04-10,38.0,29.714,1.0,0.143,42.41,33.163,1.116,0.159,92.59
