time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-14,1.0,,,,0.009,,,,0.0
2020-02-15,0.0,,,,0.0,,,,0.0
2020-02-16,0.0,,,,0.0,,,,0.0
2020-02-17,0.0,,,,0.0,,,,0.0
2020-02-18,0.0,,,,0.0,,,,0.0
2020-02-19,0.0,0.143,,,0.0,0.001,,,0.0
2020-02-20,0.0,0.143,,,0.0,0.001,,,0.0
2020-02-21,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-22,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-23,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-24,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-25,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-26,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-27,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-28,0.0,0.0,,,0.0,0.0,,,0.0
2020-02-29,0.0,0.0,,,0.0,0.0,,,0.0
2020-03-01,1.0,0.143,,,0.009,0.001,,,0.0
2020-03-02,0.0,0.143,,,0.0,0.001,,,0.0
2020-03-03,0.0,0.143,,,0.0,0.001,,,0.0
2020-03-04,0.0,0.143,,,0.0,0.001,,,0.0
2020-03-05,1.0,0.286,,,0.009,0.003,,,0.0
2020-03-06,12.0,2.0,,,0.108,0.018,,,0.0
2020-03-07,0.0,2.0,,,0.0,0.018,,,0.0
2020-03-08,34.0,6.714,1.0,,0.306,0.06,0.009,,0.0
2020-03-09,6.0,7.571,0.0,,0.054,0.068,0.0,,0.0
2020-03-10,4.0,8.143,0.0,,0.036,0.073,0.0,,0.0
2020-03-11,1.0,8.286,0.0,,0.009,0.075,0.0,,0.0
2020-03-12,7.0,9.143,0.0,,0.063,0.082,0.0,,0.0
2020-03-13,13.0,9.286,1.0,0.286,0.117,0.084,0.009,0.003,0.0
2020-03-14,29.0,13.429,0.0,0.286,0.261,0.121,0.0,0.003,0.0
2020-03-15,1.0,8.714,0.0,0.143,0.009,0.079,0.0,0.001,11.11
2020-03-16,40.0,13.571,0.0,0.143,0.36,0.122,0.0,0.001,18.52
2020-03-17,46.0,19.571,2.0,0.429,0.414,0.176,0.018,0.004,18.52
2020-03-18,0.0,19.429,2.0,0.714,0.0,0.175,0.018,0.006,18.52
2020-03-19,60.0,27.0,0.0,0.714,0.541,0.243,0.0,0.006,29.63
2020-03-20,29.0,29.286,2.0,0.857,0.261,0.264,0.018,0.008,29.63
2020-03-21,9.0,26.429,2.0,1.143,0.081,0.238,0.018,0.01,40.74
2020-03-22,33.0,31.0,4.0,1.714,0.297,0.279,0.036,0.015,40.74
2020-03-23,39.0,30.857,5.0,2.429,0.351,0.278,0.045,0.022,40.74
2020-03-24,36.0,29.429,1.0,2.286,0.324,0.265,0.009,0.021,51.85
2020-03-25,54.0,37.143,1.0,2.143,0.487,0.335,0.009,0.019,84.26
2020-03-26,39.0,34.143,3.0,2.571,0.351,0.308,0.027,0.023,84.26
2020-03-27,41.0,35.857,6.0,3.143,0.369,0.323,0.054,0.028,84.26
2020-03-28,40.0,40.286,6.0,3.714,0.36,0.363,0.054,0.033,84.26
2020-03-29,33.0,40.286,4.0,3.714,0.297,0.363,0.036,0.033,84.26
