male,female,total
6528.609,6168.603,12697.212
6354.802,5976.526,12331.328
4985.998,4698.341,9684.339
4475.741,4225.351,8701.092
4311.277,4105.318,8416.595
4096.307,3998.228,8094.535
4065.995,3999.18,8065.175
3621.128,3512.046,7133.174
3061.179,2979.326,6040.505
2426.734,2481.363,4908.097
2069.528,2143.707,4213.235
1803.211,1828.446,3631.657
1451.809,1509.506,2961.315
1040.463,1120.879,2161.342
757.873,907.746,1665.619
365.017,500.344,865.361
192.66,291.316,483.976
74.666,134.929,209.595
17.328,41.672,59.0
2.358,7.926,10.284
0.179,0.788,0.967
