time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-21,1.0,,,,0.271,,,,
2020-03-22,0.0,,,,0.0,,,,
2020-03-23,0.0,,,,0.0,,,,
2020-03-24,0.0,,,,0.0,,,,
2020-03-25,3.0,,,,0.814,,,,
2020-03-26,2.0,0.857,,,0.543,0.233,,,
2020-03-27,0.0,0.857,,,0.0,0.233,,,
2020-03-28,0.0,0.714,,,0.0,0.194,,,
2020-03-29,6.0,1.571,,,1.629,0.427,,,
2020-03-30,0.0,1.571,,,0.0,0.427,,,
2020-03-31,3.0,2.0,,,0.814,0.543,,,
2020-04-01,0.0,1.571,,,0.0,0.427,,,
2020-04-02,7.0,2.286,,,1.9,0.62,,,
2020-04-03,0.0,2.286,,,0.0,0.62,,,
2020-04-04,7.0,3.286,,,1.9,0.892,,,
2020-04-05,0.0,2.429,,,0.0,0.659,,,
2020-04-06,2.0,2.714,,,0.543,0.737,,,
2020-04-07,0.0,2.286,,,0.0,0.62,,,
2020-04-08,2.0,2.571,,,0.543,0.698,,,
2020-04-09,0.0,1.571,,,0.0,0.427,,,
2020-04-10,1.0,1.714,,,0.271,0.465,,,
2020-04-11,0.0,0.714,,,0.0,0.194,,,
2020-04-12,0.0,0.714,,,0.0,0.194,,,
2020-04-13,0.0,0.429,,,0.0,0.116,,,
2020-04-14,0.0,0.429,,,0.0,0.116,,,
2020-04-15,1.0,0.286,,,0.271,0.078,,,
2020-04-16,0.0,0.286,,,0.0,0.078,,,
2020-04-17,0.0,0.143,,,0.0,0.039,,,
2020-04-18,4.0,0.714,,,1.086,0.194,,,
2020-04-19,0.0,0.714,,,0.0,0.194,,,
2020-04-20,0.0,0.714,,,0.0,0.194,,,
2020-04-21,0.0,0.714,,,0.0,0.194,,,
2020-04-22,0.0,0.571,,,0.0,0.155,,,
2020-04-23,0.0,0.571,,,0.0,0.155,,,
2020-04-24,0.0,0.571,,,0.0,0.155,,,
2020-04-25,0.0,0.0,,,0.0,0.0,,,
2020-04-26,0.0,0.0,,,0.0,0.0,,,
2020-04-27,0.0,0.0,,,0.0,0.0,,,
2020-04-28,0.0,0.0,,,0.0,0.0,,,
2020-04-29,0.0,0.0,,,0.0,0.0,,,
2020-04-30,0.0,0.0,,,0.0,0.0,,,
2020-05-01,0.0,0.0,,,0.0,0.0,,,
2020-05-02,0.0,0.0,,,0.0,0.0,,,
2020-05-03,0.0,0.0,,,0.0,0.0,,,
2020-05-04,0.0,0.0,,,0.0,0.0,,,
2020-05-05,0.0,0.0,,,0.0,0.0,,,
2020-05-06,0.0,0.0,,,0.0,0.0,,,
2020-05-07,0.0,0.0,,,0.0,0.0,,,
2020-05-08,0.0,0.0,,,0.0,0.0,,,
2020-05-09,0.0,0.0,,,0.0,0.0,,,
2020-05-10,0.0,0.0,,,0.0,0.0,,,
2020-05-11,0.0,0.0,,,0.0,0.0,,,
2020-05-12,0.0,0.0,,,0.0,0.0,,,
2020-05-13,0.0,0.0,,,0.0,0.0,,,
2020-05-14,0.0,0.0,,,0.0,0.0,,,
2020-05-15,0.0,0.0,,,0.0,0.0,,,
2020-05-16,0.0,0.0,,,0.0,0.0,,,
2020-05-17,0.0,0.0,,,0.0,0.0,,,
2020-05-18,0.0,0.0,,,0.0,0.0,,,
2020-05-19,0.0,0.0,,,0.0,0.0,,,
2020-05-20,0.0,0.0,,,0.0,0.0,,,
2020-05-21,0.0,0.0,,,0.0,0.0,,,
2020-05-22,0.0,0.0,,,0.0,0.0,,,
2020-05-23,0.0,0.0,,,0.0,0.0,,,
2020-05-24,0.0,0.0,,,0.0,0.0,,,
2020-05-25,0.0,0.0,,,0.0,0.0,,,
2020-05-26,0.0,0.0,,,0.0,0.0,,,
2020-05-27,0.0,0.0,,,0.0,0.0,,,
2020-05-28,0.0,0.0,,,0.0,0.0,,,
2020-05-29,0.0,0.0,,,0.0,0.0,,,
2020-05-30,0.0,0.0,,,0.0,0.0,,,
2020-05-31,0.0,0.0,,,0.0,0.0,,,
2020-06-01,0.0,0.0,,,0.0,0.0,,,
2020-06-02,0.0,0.0,,,0.0,0.0,,,
2020-06-03,0.0,0.0,,,0.0,0.0,,,
2020-06-04,0.0,0.0,,,0.0,0.0,,,
2020-06-05,0.0,0.0,,,0.0,0.0,,,
2020-06-06,0.0,0.0,,,0.0,0.0,,,
2020-06-07,0.0,0.0,,,0.0,0.0,,,
2020-06-08,0.0,0.0,,,0.0,0.0,,,
2020-06-09,0.0,0.0,,,0.0,0.0,,,
2020-06-10,2.0,0.286,,,0.543,0.078,,,
2020-06-11,0.0,0.286,,,0.0,0.078,,,
2020-06-12,0.0,0.286,,,0.0,0.078,,,
2020-06-13,24.0,3.714,,,6.515,1.008,,,
2020-06-14,31.0,8.143,,,8.415,2.21,,,
2020-06-15,13.0,10.0,,,3.529,2.714,,,
2020-06-16,12.0,11.714,,,3.257,3.18,,,
2020-06-17,10.0,12.857,,,2.714,3.49,,,
2020-06-18,11.0,14.429,,,2.986,3.917,,,
2020-06-19,0.0,14.429,,,0.0,3.917,,,
2020-06-20,1.0,11.143,,,0.271,3.025,,,
2020-06-21,0.0,6.714,,,0.0,1.823,,,
2020-06-22,0.0,4.857,,,0.0,1.318,,,
2020-06-23,0.0,3.143,,,0.0,0.853,,,
2020-06-24,1.0,1.857,,,0.271,0.504,,,
2020-06-25,0.0,0.286,,,0.0,0.078,,,
2020-06-26,23.0,3.571,,,6.243,0.969,,,
2020-06-27,24.0,6.857,,,6.515,1.861,,,
2020-06-28,0.0,6.857,,,0.0,1.861,,,
2020-06-29,0.0,6.857,,,0.0,1.861,,,
2020-06-30,12.0,8.571,,,3.257,2.327,,,
2020-07-01,0.0,8.429,,,0.0,2.288,,,
2020-07-02,12.0,10.143,,,3.257,2.753,,,
2020-07-03,0.0,6.857,,,0.0,1.861,,,
2020-07-04,0.0,3.429,,,0.0,0.931,,,
