time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-06,,,,,,,,,
2020-01-18,,,,,,,,,
2020-02-05,,,,,,,,,0.0
2020-02-06,,,,,,,,,0.0
2020-02-07,,,,,,,,,0.0
2020-02-08,,,,,,,,,0.0
2020-02-09,,,,,,,,,0.0
2020-02-10,,,,,,,,,0.0
2020-02-11,,,,,,,,,0.0
2020-02-12,,,,,,,,,0.0
2020-02-13,,,,,,,,,0.0
2020-02-14,,,,,,,,,0.0
2020-02-15,,,,,,,,,0.0
2020-02-16,,,,,,,,,0.0
2020-02-17,,,,,,,,,0.0
2020-02-18,,,,,,,,,0.0
2020-02-19,,,,,,,,,0.0
2020-02-20,,,,,,,,,0.0
2020-02-21,,,,,,,,,0.0
2020-02-22,,,,,,,,,0.0
2020-02-23,,,,,,,,,0.0
2020-02-24,,,,,,,,,0.0
2020-02-25,,,,,,,,,0.0
2020-02-26,,,,,,,,,0.0
2020-02-27,1.0,,,,0.754,,,,0.0
2020-02-28,0.0,,,,0.0,,,,0.0
2020-02-29,0.0,,,,0.0,,,,0.0
2020-03-01,0.0,,,,0.0,,,,0.0
2020-03-02,0.0,,,,0.0,,,,0.0
2020-03-03,1.0,0.286,,,0.754,0.215,,,0.0
2020-03-04,0.0,0.286,,,0.0,0.215,,,0.0
2020-03-05,1.0,0.286,,,0.754,0.215,,,0.0
2020-03-06,7.0,1.286,,,5.279,0.97,,,0.0
2020-03-07,0.0,1.286,,,0.0,0.97,,,0.0
2020-03-08,0.0,1.286,,,0.0,0.97,,,0.0
2020-03-09,0.0,1.286,,,0.0,0.97,,,0.0
2020-03-10,2.0,1.429,,,1.508,1.077,,,0.0
2020-03-11,4.0,2.0,,,3.016,1.508,,,0.0
2020-03-12,0.0,1.857,,,0.0,1.4,,,25.0
2020-03-13,63.0,9.857,,,47.509,7.433,,,25.0
2020-03-14,36.0,15.0,,,27.148,11.312,,,33.33
2020-03-15,56.0,23.0,,,42.23,17.345,,,33.33
2020-03-16,34.0,27.857,,,25.64,21.007,,,44.44
2020-03-17,20.0,30.429,,,15.082,22.947,,,50.0
2020-03-18,33.0,34.571,,,24.886,26.071,,,50.0
2020-03-19,9.0,35.857,,,6.787,27.04,,,50.0
2020-03-20,16.0,29.143,,,12.066,21.977,,,50.0
2020-03-21,23.0,27.286,,,17.345,20.576,,,50.0
2020-03-22,20.0,22.143,,,15.082,16.698,,,50.0
2020-03-23,26.0,21.0,,,19.607,15.836,,,50.0
2020-03-24,17.0,20.571,,,12.82,15.513,,,50.0
2020-03-25,35.0,20.857,1.0,,26.394,15.729,0.754,,61.11
2020-03-26,134.0,38.714,0.0,,101.051,29.195,0.0,,61.11
2020-03-27,37.0,41.714,0.0,,27.902,31.457,0.0,,72.22
2020-03-28,70.0,48.429,0.0,,52.788,36.521,0.0,,72.22
2020-03-29,34.0,50.429,2.0,,25.64,38.029,1.508,,77.78
2020-03-30,36.0,51.857,0.0,0.429,27.148,39.106,0.0,0.323,77.78
2020-03-31,30.0,53.714,1.0,0.571,22.623,40.507,0.754,0.431,77.78
2020-04-01,34.0,53.571,1.0,0.571,25.64,40.399,0.754,0.431,77.78
2020-04-02,79.0,45.714,6.0,1.429,59.575,34.474,4.525,1.077,77.78
2020-04-03,103.0,55.143,1.0,1.571,77.673,41.584,0.754,1.185,77.78
2020-04-04,78.0,56.286,1.0,1.714,58.821,42.446,0.754,1.293,77.78
2020-04-05,58.0,59.714,2.0,1.714,43.738,45.031,1.508,1.293,77.78
2020-04-06,11.0,56.143,4.0,2.286,8.295,42.338,3.016,1.724,77.78
2020-04-07,41.0,57.714,2.0,2.429,30.919,43.523,1.508,1.831,77.78
2020-04-08,36.0,58.0,3.0,2.714,27.148,43.738,2.262,2.047,77.78
2020-04-09,22.0,49.857,0.0,1.857,16.59,37.598,0.0,1.4,77.78
2020-04-10,51.0,42.429,0.0,1.714,38.46,31.996,0.0,1.293,77.78
2020-04-11,46.0,37.857,0.0,1.571,34.689,28.549,0.0,1.185,77.78
2020-04-12,5.0,30.286,1.0,1.429,3.771,22.839,0.754,1.077,77.78
2020-04-13,23.0,32.0,3.0,1.286,17.345,24.132,2.262,0.97,77.78
2020-04-14,41.0,32.0,3.0,1.429,30.919,24.132,2.262,1.077,77.78
2020-04-15,27.0,30.714,4.0,1.571,20.361,23.162,3.016,1.185,77.78
2020-04-16,34.0,32.429,1.0,1.714,25.64,24.455,0.754,1.293,77.78
2020-04-17,25.0,28.714,2.0,2.0,18.853,21.654,1.508,1.508,77.78
2020-04-18,53.0,29.714,0.0,2.0,39.968,22.408,0.0,1.508,77.78
2020-04-19,16.0,31.286,2.0,2.143,12.066,23.593,1.508,1.616,77.78
2020-04-20,7.0,29.0,0.0,1.714,5.279,21.869,0.0,1.293,77.78
2020-04-21,17.0,25.571,3.0,1.714,12.82,19.284,2.262,1.293,77.78
2020-04-22,7.0,22.714,1.0,1.286,5.279,17.129,0.754,0.97,77.78
2020-04-23,33.0,22.571,1.0,1.286,24.886,17.021,0.754,0.97,77.78
2020-04-24,13.0,20.857,1.0,1.143,9.803,15.729,0.754,0.862,77.78
2020-04-25,30.0,17.571,0.0,1.143,22.623,13.251,0.0,0.862,77.78
2020-04-26,8.0,16.429,3.0,1.286,6.033,12.389,2.262,0.97,77.78
