male,female,total
20060.59,19009.129,39069.719
20060.59,19009.129,39069.719
20936.156,19814.776,40750.932
20936.156,19814.776,40750.932
20678.624,19570.838,40249.462
20678.624,19570.838,40249.462
19460.321,18434.936,37895.257
19460.321,18434.936,37895.257
19978.933,18999.21,38978.143
19978.933,18999.21,38978.143
23017.82,22021.518,45039.338
23017.82,22021.518,45039.338
26558.59,25823.486,52382.076
26558.59,25823.486,52382.076
26598.101,26332.5,52930.601
26598.101,26332.5,52930.601
26008.336,26251.264,52259.6
26008.336,26251.264,52259.6
25752.077,26254.025,52006.102
25752.077,26254.025,52006.102
25218.067,26299.716,51517.783
25218.067,26299.716,51517.783
25299.997,27451.322,52751.319
25299.997,27451.322,52751.319
22739.495,26160.696,48900.191
22739.495,26160.696,48900.191
19254.389,23788.032,43042.421
19254.389,23788.032,43042.421
15338.38,19710.3,35048.68
15338.38,19710.3,35048.68
10423.079,14777.41,25200.489
10423.079,14777.41,25200.489
7879.923,13228.222,21108.145
7879.923,13228.222,21108.145
4034.151,7768.207,11802.358
4034.151,7768.207,11802.358
1513.242,3789.762,5303.004
1513.242,3789.762,5303.004
288.123,987.667,1275.79
288.123,987.667,1275.79
22.579,102.056,124.635
22.579,102.056,124.635
