time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,1.0,,,,0.096,,,,11.11
2020-02-27,2.0,,,,0.193,,,,11.11
2020-02-28,1.0,,,,0.096,,,,11.11
2020-02-29,0.0,,,,0.0,,,,19.44
2020-03-01,3.0,,,,0.289,,,,19.44
2020-03-02,0.0,1.0,,,0.0,0.096,,,19.44
2020-03-03,0.0,1.0,,,0.0,0.096,,,19.44
2020-03-04,2.0,1.143,,,0.193,0.11,,,19.44
2020-03-05,22.0,4.0,,,2.118,0.385,,,28.7
2020-03-06,14.0,5.857,,,1.348,0.564,,,28.7
2020-03-07,1.0,6.0,,,0.096,0.578,,,28.7
2020-03-08,27.0,9.429,,,2.6,0.908,,,28.7
2020-03-09,0.0,9.429,,,0.0,0.908,,,31.48
2020-03-10,16.0,11.714,,,1.541,1.128,,,33.33
2020-03-11,10.0,12.857,1.0,,0.963,1.238,0.096,,33.33
2020-03-12,0.0,9.714,0.0,,0.0,0.935,0.0,,40.74
2020-03-13,91.0,20.714,0.0,,8.763,1.995,0.0,,40.74
2020-03-14,38.0,26.0,2.0,,3.659,2.504,0.193,,54.63
2020-03-15,103.0,36.857,1.0,,9.918,3.549,0.096,,54.63
2020-03-16,0.0,36.857,0.0,0.571,0.0,3.549,0.0,0.055,54.63
2020-03-17,56.0,42.571,1.0,0.714,5.392,4.099,0.096,0.069,54.63
2020-03-18,31.0,45.571,0.0,0.571,2.985,4.388,0.0,0.055,65.74
2020-03-19,0.0,45.571,1.0,0.714,0.0,4.388,0.096,0.069,65.74
2020-03-20,77.0,43.571,2.0,1.0,7.415,4.196,0.193,0.096,65.74
2020-03-21,35.0,43.143,5.0,1.429,3.37,4.154,0.481,0.138,74.07
2020-03-22,94.0,41.857,2.0,1.571,9.052,4.031,0.193,0.151,74.07
2020-03-23,71.0,52.0,2.0,1.857,6.837,5.007,0.193,0.179,84.26
2020-03-24,48.0,50.857,3.0,2.143,4.622,4.897,0.289,0.206,84.26
2020-03-25,92.0,59.571,2.0,2.429,8.859,5.736,0.193,0.234,84.26
2020-03-26,0.0,59.571,0.0,2.286,0.0,5.736,0.0,0.22,84.26
2020-03-27,0.0,48.571,0.0,2.0,0.0,4.677,0.0,0.193,84.26
2020-03-28,0.0,43.571,0.0,1.286,0.0,4.196,0.0,0.124,84.26
2020-03-29,321.0,76.0,16.0,3.286,30.91,7.318,1.541,0.316,84.26
2020-03-30,0.0,65.857,0.0,3.0,0.0,6.342,0.0,0.289,84.26
2020-03-31,0.0,59.0,0.0,2.571,0.0,5.681,0.0,0.248,84.26
2020-04-01,0.0,45.857,0.0,2.286,0.0,4.416,0.0,0.22,84.26
