time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-13,1.0,,,,0.072,,,,13.89
2020-03-14,0.0,,,,0.0,,,,13.89
2020-03-15,0.0,,,,0.0,,,,13.89
2020-03-16,0.0,,,,0.0,,,,13.89
2020-03-17,0.0,,,,0.0,,,,13.89
2020-03-18,0.0,0.143,,,0.0,0.01,,,13.89
2020-03-19,0.0,0.143,,,0.0,0.01,,,13.89
2020-03-20,0.0,0.0,,,0.0,0.0,,,13.89
2020-03-21,1.0,0.143,,,0.072,0.01,,,25.0
2020-03-22,0.0,0.143,,,0.0,0.01,,,25.0
2020-03-23,2.0,0.429,,,0.144,0.031,,,25.0
2020-03-24,0.0,0.429,,,0.0,0.031,,,25.0
2020-03-25,0.0,0.429,,,0.0,0.031,,,25.0
2020-03-26,0.0,0.429,,,0.0,0.031,,,25.0
2020-03-27,4.0,1.0,,,0.289,0.072,,,71.3
2020-03-28,0.0,0.857,,,0.0,0.062,,,71.3
2020-03-29,8.0,2.0,,,0.577,0.144,,,71.3
2020-03-30,6.0,2.571,,,0.433,0.186,,,78.7
2020-03-31,0.0,2.571,,,0.0,0.186,,,78.7
2020-04-01,8.0,3.714,,,0.577,0.268,,,78.7
2020-04-02,22.0,6.857,,,1.587,0.495,,,78.7
2020-04-03,21.0,9.286,,,1.515,0.67,,,78.7
2020-04-04,38.0,14.714,,,2.742,1.062,,,78.7
2020-04-05,10.0,15.0,,,0.722,1.082,,,78.7
2020-04-06,7.0,15.143,,,0.505,1.093,,,78.7
2020-04-07,16.0,17.429,,,1.154,1.258,,,78.7
2020-04-08,20.0,19.143,,,1.443,1.381,,,78.7
2020-04-09,30.0,20.286,,,2.165,1.464,,,78.7
2020-04-10,18.0,19.857,,,1.299,1.433,,,78.7
2020-04-11,38.0,19.857,,,2.742,1.433,,,78.7
2020-04-12,0.0,18.429,,,0.0,1.33,,,78.7
2020-04-13,69.0,27.286,,,4.979,1.969,,,78.7
2020-04-14,44.0,31.286,,,3.175,2.257,,,78.7
2020-04-15,41.0,34.286,1.0,,2.958,2.474,0.072,,78.7
2020-04-16,34.0,34.857,0.0,,2.453,2.515,0.0,,78.7
2020-04-17,39.0,37.857,2.0,,2.814,2.732,0.144,,78.7
2020-04-18,41.0,38.286,0.0,,2.958,2.762,0.0,,78.7
2020-04-19,61.0,47.0,2.0,,4.401,3.391,0.144,,78.7
2020-04-20,43.0,43.286,0.0,0.714,3.103,3.123,0.0,0.052,78.7
2020-04-21,66.0,46.429,1.0,0.857,4.762,3.35,0.072,0.062,78.7
2020-04-22,73.0,51.0,0.0,0.714,5.267,3.68,0.0,0.052,78.7
2020-04-23,101.0,60.571,0.0,0.714,7.287,4.37,0.0,0.052,78.7
2020-04-24,92.0,68.143,0.0,0.429,6.638,4.917,0.0,0.031,78.7
2020-04-25,42.0,68.286,1.0,0.571,3.03,4.927,0.072,0.041,78.7
2020-04-26,0.0,59.571,0.0,0.286,0.0,4.298,0.0,0.021,78.7
2020-04-27,167.0,77.286,0.0,0.286,12.05,5.576,0.0,0.021,78.7
2020-04-28,77.0,78.857,0.0,0.143,5.556,5.69,0.0,0.01,78.7
2020-04-29,111.0,84.286,0.0,0.143,8.009,6.082,0.0,0.01,78.7
2020-04-30,144.0,90.429,0.0,0.143,10.39,6.525,0.0,0.01,78.7
2020-05-01,42.0,83.286,0.0,0.143,3.03,6.009,0.0,0.01,78.7
2020-05-02,49.0,84.286,0.0,0.0,3.536,6.082,0.0,0.0,78.7
2020-05-03,0.0,84.286,0.0,0.0,0.0,6.082,0.0,0.0,78.7
2020-05-04,124.0,78.143,2.0,0.286,8.947,5.638,0.144,0.021,78.7
2020-05-05,101.0,81.571,1.0,0.429,7.287,5.886,0.072,0.031,78.7
2020-05-06,45.0,72.143,1.0,0.571,3.247,5.205,0.072,0.041,78.7
2020-05-07,71.0,61.714,0.0,0.571,5.123,4.453,0.0,0.041,78.7
2020-05-08,82.0,67.429,0.0,0.571,5.917,4.865,0.0,0.041,78.7
2020-05-09,33.0,65.143,0.0,0.571,2.381,4.7,0.0,0.041,78.7
2020-05-10,104.0,80.0,0.0,0.571,7.504,5.772,0.0,0.041,78.7
2020-05-11,0.0,62.286,0.0,0.286,0.0,4.494,0.0,0.021,78.7
2020-05-12,152.0,69.571,0.0,0.143,10.967,5.02,0.0,0.01,78.7
2020-05-13,76.0,74.0,3.0,0.429,5.484,5.339,0.216,0.031,78.7
2020-05-14,99.0,78.0,1.0,0.571,7.143,5.628,0.072,0.041,78.7
2020-05-15,0.0,66.286,0.0,0.571,0.0,4.783,0.0,0.041,78.7
2020-05-16,185.0,88.0,1.0,0.714,13.348,6.35,0.072,0.052,78.7
2020-05-17,0.0,73.143,0.0,0.714,0.0,5.278,0.0,0.052,78.7
2020-05-18,138.0,92.857,0.0,0.714,9.957,6.7,0.0,0.052,78.7
2020-05-19,67.0,80.714,2.0,1.0,4.834,5.824,0.144,0.072,78.7
2020-05-20,0.0,69.857,0.0,0.571,0.0,5.04,0.0,0.041,78.7
2020-05-21,204.0,84.857,0.0,0.429,14.719,6.123,0.0,0.031,78.7
2020-05-22,0.0,84.857,1.0,0.571,0.0,6.123,0.072,0.041,78.7
2020-05-23,109.0,74.0,1.0,0.571,7.865,5.339,0.072,0.041,78.7
2020-05-24,99.0,88.143,0.0,0.571,7.143,6.36,0.0,0.041,78.7
2020-05-25,0.0,68.429,0.0,0.571,0.0,4.937,0.0,0.041,78.7
2020-05-26,0.0,58.857,0.0,0.286,0.0,4.247,0.0,0.021,78.7
2020-05-27,0.0,58.857,0.0,0.286,0.0,4.247,0.0,0.021,78.7
2020-05-28,278.0,69.429,2.0,0.571,20.059,5.01,0.144,0.041,78.7
2020-05-29,103.0,84.143,0.0,0.429,7.432,6.071,0.0,0.031,78.7
2020-05-30,50.0,75.714,1.0,0.429,3.608,5.463,0.072,0.031,78.7
2020-05-31,0.0,61.571,0.0,0.429,0.0,4.443,0.0,0.031,78.7
2020-06-01,138.0,81.286,0.0,0.429,9.957,5.865,0.0,0.031,78.7
2020-06-02,42.0,87.286,0.0,0.429,3.03,6.298,0.0,0.031,78.7
2020-06-03,47.0,94.0,0.0,0.429,3.391,6.782,0.0,0.031,78.7
2020-06-04,58.0,62.571,0.0,0.143,4.185,4.515,0.0,0.01,78.7
2020-06-05,69.0,57.714,0.0,0.143,4.979,4.164,0.0,0.01,78.7
2020-06-06,57.0,58.714,0.0,0.0,4.113,4.236,0.0,0.0,78.7
2020-06-07,0.0,58.714,0.0,0.0,0.0,4.236,0.0,0.0,78.7
2020-06-08,99.0,53.143,0.0,0.0,7.143,3.834,0.0,0.0,78.7
2020-06-09,42.0,53.143,0.0,0.0,3.03,3.834,0.0,0.0,78.7
2020-06-10,0.0,46.429,0.0,0.0,0.0,3.35,0.0,0.0,76.85
2020-06-11,114.0,54.429,0.0,0.0,8.225,3.927,0.0,0.0,76.85
2020-06-12,54.0,52.286,1.0,0.143,3.896,3.773,0.072,0.01,76.85
2020-06-13,58.0,52.429,1.0,0.286,4.185,3.783,0.072,0.021,76.85
2020-06-14,48.0,59.286,0.0,0.286,3.463,4.278,0.0,0.021,76.85
2020-06-15,40.0,50.857,1.0,0.429,2.886,3.67,0.072,0.031,75.0
2020-06-16,67.0,54.429,0.0,0.429,4.834,3.927,0.0,0.031,75.0
2020-06-17,29.0,58.571,0.0,0.429,2.092,4.226,0.0,0.031,75.0
2020-06-18,173.0,67.0,0.0,0.429,12.483,4.834,0.0,0.031,75.0
2020-06-19,63.0,68.286,1.0,0.429,4.546,4.927,0.072,0.031,75.0
2020-06-20,56.0,68.0,0.0,0.286,4.041,4.906,0.0,0.021,75.0
2020-06-21,28.0,65.143,0.0,0.286,2.02,4.7,0.0,0.021,75.0
2020-06-22,0.0,59.429,0.0,0.143,0.0,4.288,0.0,0.01,75.0
2020-06-23,52.0,57.286,1.0,0.286,3.752,4.133,0.072,0.021,75.0
2020-06-24,134.0,72.286,1.0,0.429,9.669,5.216,0.072,0.031,75.0
2020-06-25,0.0,47.571,0.0,0.429,0.0,3.432,0.0,0.031,75.0
2020-06-26,86.0,50.857,0.0,0.286,6.205,3.67,0.0,0.021,75.0
2020-06-27,31.0,47.286,1.0,0.429,2.237,3.412,0.072,0.031,75.0
2020-06-28,51.0,50.571,1.0,0.571,3.68,3.649,0.072,0.041,75.0
2020-06-29,9.0,51.857,0.0,0.571,0.649,3.742,0.0,0.041,73.15
2020-06-30,40.0,50.143,2.0,0.714,2.886,3.618,0.144,0.052,73.15
2020-07-01,13.0,32.857,0.0,0.571,0.938,2.371,0.0,0.041,73.15
2020-07-02,46.0,39.429,0.0,0.571,3.319,2.845,0.0,0.041,73.15
2020-07-03,71.0,37.286,0.0,0.571,5.123,2.69,0.0,0.041,73.15
2020-07-04,49.0,39.857,1.0,0.571,3.536,2.876,0.072,0.041,73.15
2020-07-05,40.0,38.286,0.0,0.429,2.886,2.762,0.0,0.031,73.15
2020-07-06,0.0,37.0,0.0,0.429,0.0,2.67,0.0,0.031,73.15
2020-07-07,26.0,35.0,0.0,0.143,1.876,2.525,0.0,0.01,73.15
2020-07-08,61.0,41.857,0.0,0.143,4.401,3.02,0.0,0.01,73.15
2020-07-09,184.0,61.571,2.0,0.429,13.276,4.443,0.144,0.031,73.15
2020-07-10,88.0,64.0,1.0,0.571,6.35,4.618,0.072,0.041,73.15
2020-07-11,75.0,67.714,0.0,0.429,5.412,4.886,0.0,0.031,73.15
2020-07-12,97.0,75.857,0.0,0.429,6.999,5.473,0.0,0.031,73.15
2020-07-13,0.0,75.857,0.0,0.429,0.0,5.473,0.0,0.031,73.15
2020-07-14,59.0,80.571,1.0,0.571,4.257,5.814,0.072,0.041,73.15
2020-07-15,76.0,82.714,0.0,0.571,5.484,5.968,0.0,0.041,80.56
2020-07-16,83.0,68.286,1.0,0.429,5.989,4.927,0.072,0.031,80.56
2020-07-17,71.0,65.857,0.0,0.286,5.123,4.752,0.0,0.021,77.78
2020-07-18,61.0,63.857,0.0,0.286,4.401,4.608,0.0,0.021,77.78
2020-07-19,53.0,57.571,0.0,0.286,3.824,4.154,0.0,0.021,77.78
2020-07-20,46.0,64.143,1.0,0.429,3.319,4.628,0.072,0.031,77.78
2020-07-21,62.0,64.571,1.0,0.429,4.474,4.659,0.072,0.031,77.78
2020-07-22,95.0,67.286,0.0,0.429,6.855,4.855,0.0,0.031,77.78
2020-07-23,59.0,63.857,1.0,0.429,4.257,4.608,0.072,0.031,77.78
2020-07-24,61.0,62.429,0.0,0.429,4.401,4.504,0.0,0.031,77.78
2020-07-25,60.0,62.286,0.0,0.429,4.329,4.494,0.0,0.031,77.78
2020-07-26,81.0,66.286,1.0,0.571,5.844,4.783,0.072,0.041,77.78
2020-07-27,47.0,66.429,2.0,0.714,3.391,4.793,0.144,0.052,77.78
2020-07-28,71.0,67.714,1.0,0.714,5.123,4.886,0.072,0.052,77.78
2020-07-29,57.0,62.286,0.0,0.714,4.113,4.494,0.0,0.052,77.78
2020-07-30,59.0,62.286,0.0,0.571,4.257,4.494,0.0,0.041,77.78
2020-07-31,66.0,63.0,0.0,0.571,4.762,4.546,0.0,0.041,77.78
2020-08-01,0.0,54.429,0.0,0.571,0.0,3.927,0.0,0.041,77.78
2020-08-02,9.0,44.143,0.0,0.429,0.649,3.185,0.0,0.031,77.78
2020-08-03,47.0,44.143,0.0,0.143,3.391,3.185,0.0,0.01,70.83
2020-08-04,125.0,51.857,2.0,0.286,9.019,3.742,0.144,0.021,70.83
2020-08-05,86.0,56.0,1.0,0.429,6.205,4.041,0.072,0.031,70.83
2020-08-06,89.0,60.286,0.0,0.429,6.422,4.35,0.0,0.031,70.83
2020-08-07,113.0,67.0,1.0,0.571,8.153,4.834,0.072,0.041,70.83
2020-08-08,98.0,81.0,0.0,0.571,7.071,5.844,0.0,0.041,70.83
2020-08-09,55.0,87.571,0.0,0.571,3.968,6.319,0.0,0.041,70.83
2020-08-10,0.0,80.857,0.0,0.571,0.0,5.834,0.0,0.041,70.83
2020-08-11,88.0,75.571,0.0,0.286,6.35,5.453,0.0,0.021,70.83
2020-08-12,98.0,77.286,0.0,0.143,7.071,5.576,0.0,0.01,70.83
2020-08-13,82.0,76.286,0.0,0.143,5.917,5.504,0.0,0.01,70.83
2020-08-14,62.0,69.0,0.0,0.0,4.474,4.979,0.0,0.0,70.83
2020-08-15,83.0,66.857,0.0,0.0,5.989,4.824,0.0,0.0,70.83
2020-08-16,139.0,78.857,1.0,0.143,10.029,5.69,0.072,0.01,70.83
2020-08-17,138.0,98.571,0.0,0.143,9.957,7.112,0.0,0.01,70.83
2020-08-18,95.0,99.571,1.0,0.286,6.855,7.184,0.072,0.021,70.83
2020-08-19,77.0,96.571,1.0,0.429,5.556,6.968,0.072,0.031,70.83
2020-08-20,84.0,96.857,0.0,0.429,6.061,6.989,0.0,0.031,70.83
2020-08-21,56.0,96.0,0.0,0.429,4.041,6.927,0.0,0.031,70.83
2020-08-22,0.0,84.143,0.0,0.429,0.0,6.071,0.0,0.031,70.83
2020-08-23,35.0,69.286,0.0,0.286,2.525,4.999,0.0,0.021,70.83
2020-08-24,109.0,65.143,2.0,0.571,7.865,4.7,0.144,0.041,70.83
2020-08-25,52.0,59.0,2.0,0.714,3.752,4.257,0.144,0.052,70.83
2020-08-26,39.0,53.571,0.0,0.571,2.814,3.865,0.0,0.041,70.83
2020-08-27,46.0,48.143,1.0,0.714,3.319,3.474,0.072,0.052,70.83
2020-08-28,38.0,45.571,1.0,0.857,2.742,3.288,0.072,0.062,70.83
2020-08-29,0.0,45.571,0.0,0.857,0.0,3.288,0.0,0.062,70.83
2020-08-30,120.0,57.714,0.0,0.857,8.658,4.164,0.0,0.062,70.83
2020-08-31,38.0,47.571,0.0,0.571,2.742,3.432,0.0,0.041,70.83
2020-09-01,70.0,50.143,0.0,0.286,5.051,3.618,0.0,0.021,68.98
2020-09-02,0.0,44.571,0.0,0.286,0.0,3.216,0.0,0.021,68.98
2020-09-03,100.0,52.286,2.0,0.429,7.215,3.773,0.144,0.031,68.98
2020-09-04,70.0,56.857,0.0,0.286,5.051,4.102,0.0,0.021,68.98
2020-09-05,0.0,56.857,0.0,0.286,0.0,4.102,0.0,0.021,68.98
2020-09-06,149.0,61.0,0.0,0.286,10.751,4.401,0.0,0.021,68.98
2020-09-07,18.0,58.143,1.0,0.429,1.299,4.195,0.072,0.031,68.98
2020-09-08,32.0,52.714,1.0,0.571,2.309,3.804,0.072,0.041,68.98
2020-09-09,37.0,58.0,0.0,0.571,2.67,4.185,0.0,0.041,68.98
2020-09-10,61.0,52.429,0.0,0.286,4.401,3.783,0.0,0.021,68.98
2020-09-11,33.0,47.143,0.0,0.286,2.381,3.402,0.0,0.021,68.98
2020-09-12,41.0,53.0,0.0,0.286,2.958,3.824,0.0,0.021,68.98
2020-09-13,25.0,35.286,0.0,0.286,1.804,2.546,0.0,0.021,68.98
2020-09-14,16.0,35.0,0.0,0.143,1.154,2.525,0.0,0.01,68.98
2020-09-15,50.0,37.571,0.0,0.0,3.608,2.711,0.0,0.0,68.98
2020-09-16,43.0,38.429,0.0,0.0,3.103,2.773,0.0,0.0,68.98
2020-09-17,0.0,29.714,0.0,0.0,0.0,2.144,0.0,0.0,68.98
2020-09-18,77.0,36.0,0.0,0.0,5.556,2.598,0.0,0.0,68.98
2020-09-19,55.0,38.0,0.0,0.0,3.968,2.742,0.0,0.0,68.98
2020-09-20,39.0,40.0,1.0,0.143,2.814,2.886,0.072,0.01,68.98
2020-09-21,19.0,40.429,1.0,0.286,1.371,2.917,0.072,0.021,68.98
2020-09-22,43.0,39.429,0.0,0.286,3.103,2.845,0.0,0.021,62.5
2020-09-23,47.0,40.0,0.0,0.286,3.391,2.886,0.0,0.021,62.5
2020-09-24,0.0,40.0,0.0,0.286,0.0,2.886,0.0,0.021,62.5
2020-09-25,44.0,35.286,0.0,0.286,3.175,2.546,0.0,0.021,62.5
2020-09-26,34.0,32.286,0.0,0.286,2.453,2.33,0.0,0.021,62.5
2020-09-27,68.0,36.429,1.0,0.286,4.906,2.628,0.072,0.021,62.5
2020-09-28,18.0,36.286,0.0,0.143,1.299,2.618,0.0,0.01,62.5
2020-09-29,36.0,35.286,0.0,0.143,2.598,2.546,0.0,0.01,62.5
2020-09-30,18.0,31.143,0.0,0.143,1.299,2.247,0.0,0.01,62.5
2020-10-01,0.0,31.143,0.0,0.143,0.0,2.247,0.0,0.01,55.56
2020-10-02,83.0,36.714,0.0,0.143,5.989,2.649,0.0,0.01,55.56
2020-10-03,0.0,31.857,0.0,0.143,0.0,2.299,0.0,0.01,55.56
2020-10-04,19.0,24.857,0.0,0.0,1.371,1.794,0.0,0.0,55.56
2020-10-05,46.0,28.857,1.0,0.143,3.319,2.082,0.072,0.01,55.56
2020-10-06,63.0,32.714,1.0,0.286,4.546,2.36,0.072,0.021,55.56
2020-10-07,0.0,30.143,0.0,0.286,0.0,2.175,0.0,0.021,55.56
2020-10-08,38.0,35.571,0.0,0.286,2.742,2.567,0.0,0.021,55.56
2020-10-09,53.0,31.286,0.0,0.286,3.824,2.257,0.0,0.021,55.56
2020-10-10,42.0,37.286,1.0,0.429,3.03,2.69,0.072,0.031,55.56
2020-10-11,26.0,38.286,0.0,0.429,1.876,2.762,0.0,0.031,55.56
2020-10-12,40.0,37.429,1.0,0.429,2.886,2.701,0.072,0.031,55.56
2020-10-13,72.0,38.714,0.0,0.286,5.195,2.793,0.0,0.021,55.56
2020-10-14,54.0,46.429,0.0,0.286,3.896,3.35,0.0,0.021,55.56
2020-10-15,67.0,50.571,0.0,0.286,4.834,3.649,0.0,0.021,43.06
2020-10-16,107.0,58.286,0.0,0.286,7.72,4.206,0.0,0.021,43.06
2020-10-17,116.0,68.857,0.0,0.143,8.37,4.968,0.0,0.01,43.06
2020-10-18,40.0,70.857,0.0,0.143,2.886,5.113,0.0,0.01,43.06
2020-10-19,0.0,65.143,0.0,0.0,0.0,4.7,0.0,0.0,43.06
2020-10-20,20.0,57.714,0.0,0.0,1.443,4.164,0.0,0.0,43.06
2020-10-21,61.0,58.714,0.0,0.0,4.401,4.236,0.0,0.0,43.06
2020-10-22,36.0,54.286,1.0,0.143,2.598,3.917,0.072,0.01,43.06
2020-10-23,0.0,39.0,0.0,0.143,0.0,2.814,0.0,0.01,43.06
2020-10-24,0.0,22.429,0.0,0.143,0.0,1.618,0.0,0.01,43.06
2020-10-25,0.0,16.714,0.0,0.143,0.0,1.206,0.0,0.01,43.06
2020-10-26,0.0,16.714,0.0,0.143,0.0,1.206,0.0,0.01,43.06
2020-10-27,184.0,40.143,0.0,0.143,13.276,2.896,0.0,0.01,43.06
2020-10-28,0.0,31.429,0.0,0.143,0.0,2.268,0.0,0.01,43.06
2020-10-29,201.0,55.0,0.0,0.0,14.503,3.968,0.0,0.0,43.06
2020-10-30,52.0,62.429,1.0,0.143,3.752,4.504,0.072,0.01,43.06
2020-10-31,0.0,62.429,0.0,0.143,0.0,4.504,0.0,0.01,43.06
2020-11-01,123.0,80.0,1.0,0.286,8.875,5.772,0.072,0.021,43.06
2020-11-02,18.0,82.571,0.0,0.286,1.299,5.958,0.0,0.021,43.06
2020-11-03,0.0,56.286,0.0,0.286,0.0,4.061,0.0,0.021,43.06
2020-11-04,118.0,73.143,0.0,0.286,8.514,5.278,0.0,0.021,43.06
2020-11-05,32.0,49.0,0.0,0.286,2.309,3.536,0.0,0.021,43.06
2020-11-06,0.0,41.571,0.0,0.143,0.0,3.0,0.0,0.01,43.06
2020-11-07,37.0,46.857,0.0,0.143,2.67,3.381,0.0,0.01,43.06
2020-11-08,14.0,31.286,1.0,0.143,1.01,2.257,0.072,0.01,43.06
2020-11-09,45.0,35.143,0.0,0.143,3.247,2.536,0.0,0.01,43.06
2020-11-10,25.0,38.714,0.0,0.143,1.804,2.793,0.0,0.01,44.44
2020-11-11,32.0,26.429,0.0,0.143,2.309,1.907,0.0,0.01,44.44
2020-11-12,21.0,24.857,0.0,0.143,1.515,1.794,0.0,0.01,44.44
2020-11-13,0.0,24.857,0.0,0.143,0.0,1.794,0.0,0.01,44.44
2020-11-14,48.0,26.429,0.0,0.143,3.463,1.907,0.0,0.01,44.44
2020-11-15,26.0,28.143,1.0,0.143,1.876,2.031,0.072,0.01,44.44
2020-11-16,13.0,23.571,0.0,0.143,0.938,1.701,0.0,0.01,44.44
2020-11-17,30.0,24.286,0.0,0.143,2.165,1.752,0.0,0.01,44.44
2020-11-18,59.0,28.143,0.0,0.143,4.257,2.031,0.0,0.01,44.44
2020-11-19,0.0,25.143,0.0,0.143,0.0,1.814,0.0,0.01,44.44
2020-11-20,30.0,29.429,0.0,0.143,2.165,2.123,0.0,0.01,44.44
2020-11-21,55.0,30.429,0.0,0.143,3.968,2.196,0.0,0.01,44.44
2020-11-22,28.0,30.714,0.0,0.0,2.02,2.216,0.0,0.0,44.44
2020-11-23,15.0,31.0,0.0,0.0,1.082,2.237,0.0,0.0,44.44
2020-11-24,22.0,29.857,0.0,0.0,1.587,2.154,0.0,0.0,52.78
2020-11-25,66.0,30.857,1.0,0.143,4.762,2.226,0.072,0.01,52.78
2020-11-26,20.0,33.714,0.0,0.143,1.443,2.433,0.0,0.01,52.78
