time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-20,2.0,,,,0.173,,,,82.41
2020-03-21,0.0,,,,0.0,,,,82.41
2020-03-22,0.0,,,,0.0,,,,82.41
2020-03-23,0.0,,,,0.0,,,,82.41
2020-03-24,3.0,,,,0.259,,,,82.41
2020-03-25,2.0,1.0,,,0.173,0.086,,,82.41
2020-03-26,0.0,1.0,,,0.0,0.086,,,82.41
2020-03-27,1.0,0.857,,,0.086,0.074,,,82.41
2020-03-28,0.0,0.857,,,0.0,0.074,,,82.41
2020-03-29,0.0,0.857,,,0.0,0.074,,,82.41
2020-03-30,7.0,1.857,,,0.604,0.16,,,82.41
2020-03-31,0.0,1.429,,,0.0,0.123,,,82.41
2020-04-01,0.0,1.143,,,0.0,0.099,,,82.41
2020-04-02,1.0,1.286,,,0.086,0.111,,,82.41
2020-04-03,0.0,1.143,,,0.0,0.099,,,82.41
2020-04-04,2.0,1.429,,,0.173,0.123,,,82.41
2020-04-05,0.0,1.429,,,0.0,0.123,,,82.41
2020-04-06,3.0,0.857,,,0.259,0.074,,,90.74
2020-04-07,3.0,1.286,1.0,,0.259,0.111,0.086,,90.74
2020-04-08,1.0,1.429,0.0,,0.086,0.123,0.0,,90.74
2020-04-09,2.0,1.571,0.0,,0.173,0.136,0.0,,90.74
2020-04-10,3.0,2.0,1.0,,0.259,0.173,0.086,,90.74
2020-04-11,0.0,1.714,0.0,,0.0,0.148,0.0,,90.74
2020-04-12,1.0,1.857,0.0,0.286,0.086,0.16,0.0,0.025,90.74
2020-04-13,0.0,1.429,0.0,0.286,0.0,0.123,0.0,0.025,90.74
2020-04-14,9.0,2.286,1.0,0.286,0.777,0.197,0.086,0.025,90.74
2020-04-15,0.0,2.143,0.0,0.286,0.0,0.185,0.0,0.025,90.74
2020-04-16,1.0,2.0,0.0,0.286,0.086,0.173,0.0,0.025,90.74
2020-04-17,0.0,1.571,0.0,0.143,0.0,0.136,0.0,0.012,90.74
2020-04-18,2.0,1.857,0.0,0.143,0.173,0.16,0.0,0.012,90.74
2020-04-19,1.0,1.857,0.0,0.143,0.086,0.16,0.0,0.012,93.52
2020-04-20,0.0,1.857,0.0,0.143,0.0,0.16,0.0,0.012,89.81
2020-04-21,3.0,1.0,0.0,0.0,0.259,0.086,0.0,0.0,89.81
2020-04-22,10.0,2.429,0.0,0.0,0.863,0.21,0.0,0.0,89.81
2020-04-23,1.0,2.429,1.0,0.143,0.086,0.21,0.086,0.012,89.81
2020-04-24,4.0,3.0,,,0.345,0.259,,,89.81
2020-04-25,10.0,4.143,2.0,0.429,0.863,0.358,0.173,0.037,89.81
2020-04-26,0.0,4.0,1.0,0.571,0.0,0.345,0.086,0.049,89.81
2020-04-27,0.0,4.0,0.0,0.571,0.0,0.345,0.0,0.049,89.81
2020-04-28,2.0,3.857,0.0,0.571,0.173,0.333,0.0,0.049,89.81
2020-04-29,2.0,2.714,0.0,0.571,0.173,0.234,0.0,0.049,89.81
2020-04-30,0.0,2.571,0.0,0.429,0.0,0.222,0.0,0.037,89.81
2020-05-01,0.0,2.0,1.0,0.571,0.0,0.173,0.086,0.049,89.81
2020-05-02,5.0,1.286,1.0,0.429,0.432,0.111,0.086,0.037,89.81
2020-05-03,4.0,1.857,0.0,0.286,0.345,0.16,0.0,0.025,89.81
2020-05-04,0.0,1.857,0.0,0.286,0.0,0.16,0.0,0.025,89.81
2020-05-05,3.0,2.0,1.0,0.429,0.259,0.173,0.086,0.037,89.81
2020-05-06,12.0,3.429,2.0,0.714,1.036,0.296,0.173,0.062,89.81
2020-05-07,1.0,3.571,1.0,0.857,0.086,0.308,0.086,0.074,89.81
2020-05-08,7.0,4.571,0.0,0.714,0.604,0.395,0.0,0.062,89.81
2020-05-09,21.0,6.857,0.0,0.571,1.813,0.592,0.0,0.049,89.81
2020-05-10,17.0,8.714,0.0,0.571,1.467,0.752,0.0,0.049,89.81
2020-05-11,5.0,9.429,0.0,0.571,0.432,0.814,0.0,0.049,89.81
2020-05-12,21.0,12.0,1.0,0.571,1.813,1.036,0.086,0.049,89.81
2020-05-13,37.0,15.571,3.0,0.714,3.194,1.344,0.259,0.062,89.81
2020-05-14,10.0,16.857,2.0,0.857,0.863,1.455,0.173,0.074,89.81
