male,female,total
44456.332,39476.105,83932.437
46320.144,40415.039,86735.183
45349.923,38912.828,84262.751
44103.122,38238.737,82341.859
46273.865,40884.302,87158.167
51522.843,46466.16,97989.003
66443.228,62295.742,128738.97
51345.507,48745.948,100091.455
49289.359,46984.787,96274.146
61173.349,58664.268,119837.617
62348.02,61097.362,123445.382
49958.045,48782.446,98740.491
38917.285,38596.854,77514.139
36526.788,37622.978,74149.766
21425.163,23524.526,44949.689
12207.276,14337.34,26544.616
6883.629,9297.788,16181.417
2843.084,4738.693,7581.777
731.228,1573.796,2305.024
116.377,358.816,475.193
12.773,61.919,74.692
