time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-03,,,,,,,,,11.11
2020-03-04,2.0,,,,0.201,,,,11.11
2020-03-05,0.0,,,,0.0,,,,11.11
2020-03-06,0.0,,,,0.0,,,,11.11
2020-03-07,2.0,,,,0.201,,,,11.11
2020-03-08,3.0,,,,0.301,,,,11.11
2020-03-09,2.0,1.286,,,0.201,0.129,,,19.44
2020-03-10,0.0,1.286,,,0.0,0.129,,,19.44
2020-03-11,4.0,1.571,,,0.401,0.158,,,46.3
2020-03-12,0.0,1.571,,,0.0,0.158,,,50.0
2020-03-13,6.0,2.429,,,0.602,0.244,,,50.0
2020-03-14,11.0,3.714,,,1.104,0.373,,,50.0
2020-03-15,2.0,3.571,1.0,,0.201,0.358,0.1,,50.0
2020-03-16,7.0,4.286,0.0,,0.702,0.43,0.0,,67.59
2020-03-17,11.0,5.857,0.0,,1.104,0.588,0.0,,67.59
2020-03-18,8.0,6.429,0.0,,0.803,0.645,0.0,,67.59
2020-03-19,15.0,8.571,0.0,,1.505,0.86,0.0,,67.59
2020-03-20,12.0,9.429,2.0,0.429,1.204,0.946,0.201,0.043,67.59
2020-03-21,18.0,10.429,1.0,0.571,1.806,1.046,0.1,0.057,67.59
2020-03-22,28.0,14.143,2.0,0.714,2.809,1.419,0.201,0.072,67.59
2020-03-23,36.0,18.286,1.0,0.857,3.612,1.835,0.1,0.086,67.59
2020-03-24,20.0,19.571,2.0,1.143,2.007,1.964,0.201,0.115,67.59
2020-03-25,39.0,24.0,1.0,1.286,3.913,2.408,0.1,0.129,67.59
2020-03-26,35.0,26.857,0.0,1.286,3.511,2.695,0.0,0.129,67.59
2020-03-27,39.0,30.714,0.0,1.0,3.913,3.082,0.0,0.1,71.3
2020-03-28,43.0,34.286,1.0,1.0,4.314,3.44,0.1,0.1,76.85
2020-03-29,65.0,39.571,2.0,1.0,6.521,3.97,0.201,0.1,76.85
2020-03-30,39.0,40.0,2.0,1.143,3.913,4.013,0.201,0.115,76.85
2020-03-31,45.0,43.571,1.0,1.0,4.515,4.371,0.1,0.1,76.85
2020-04-01,33.0,42.714,4.0,1.429,3.311,4.285,0.401,0.143,76.85
2020-04-02,60.0,46.286,1.0,1.571,6.02,4.644,0.1,0.158,76.85
2020-04-03,38.0,46.143,5.0,2.286,3.812,4.629,0.502,0.229,76.85
2020-04-04,55.0,47.857,6.0,3.0,5.518,4.801,0.602,0.301,76.85
2020-04-05,55.0,46.429,2.0,3.0,5.518,4.658,0.201,0.301,76.85
2020-04-06,11.0,42.429,4.0,3.286,1.104,4.257,0.401,0.33,76.85
2020-04-07,73.0,46.429,9.0,4.429,7.324,4.658,0.903,0.444,76.85
2020-04-08,78.0,52.857,11.0,5.429,7.826,5.303,1.104,0.545,76.85
2020-04-09,85.0,56.429,8.0,6.429,8.528,5.661,0.803,0.645,76.85
2020-04-10,210.0,81.0,11.0,7.286,21.069,8.127,1.104,0.731,76.85
