time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-29,1.0,,,,0.199,,,,11.11
2020-03-01,0.0,,,,0.0,,,,11.11
2020-03-02,0.0,,,,0.0,,,,11.11
2020-03-03,1.0,,,,0.199,,,,11.11
2020-03-04,4.0,,,,0.796,,,,11.11
2020-03-05,0.0,0.857,,,0.0,0.171,,,11.11
2020-03-06,12.0,2.571,,,2.389,0.512,,,11.11
2020-03-07,0.0,2.429,,,0.0,0.483,,,11.11
2020-03-08,1.0,2.571,,,0.199,0.512,,,11.11
2020-03-09,2.0,2.857,,,0.398,0.569,,,11.11
2020-03-10,13.0,4.571,,,2.588,0.91,,,11.11
2020-03-11,9.0,5.286,1.0,,1.792,1.052,0.199,,11.11
2020-03-12,0.0,5.286,0.0,,0.0,1.052,0.0,,31.48
2020-03-13,47.0,10.286,0.0,,9.357,2.048,0.0,,42.59
2020-03-14,39.0,15.857,1.0,,7.764,3.157,0.199,,42.59
2020-03-15,0.0,15.714,0.0,,0.0,3.128,0.0,,48.15
2020-03-16,40.0,21.143,0.0,0.286,7.963,4.209,0.0,0.057,48.15
2020-03-17,54.0,27.0,0.0,0.286,10.75,5.375,0.0,0.057,48.15
2020-03-18,69.0,35.571,0.0,0.143,13.737,7.082,0.0,0.028,48.15
2020-03-19,265.0,73.429,1.0,0.286,52.756,14.618,0.199,0.057,48.15
2020-03-20,126.0,84.714,0.0,0.286,25.084,16.865,0.0,0.057,48.15
2020-03-21,102.0,93.714,0.0,0.143,20.306,18.657,0.0,0.028,48.15
2020-03-22,121.0,111.0,1.0,0.286,24.089,22.098,0.199,0.057,48.15
2020-03-23,219.0,136.571,2.0,0.571,43.599,27.189,0.398,0.114,48.15
2020-03-24,204.0,158.0,1.0,0.714,40.612,31.455,0.199,0.142,48.15
2020-03-25,235.0,181.714,2.0,1.0,46.784,36.176,0.398,0.199,48.15
2020-03-26,255.0,180.286,10.0,2.286,50.765,35.891,1.991,0.455,57.41
2020-03-27,302.0,205.429,3.0,2.714,60.122,40.897,0.597,0.54,75.93
2020-03-28,294.0,232.857,14.0,4.714,58.53,46.357,2.787,0.939,85.19
2020-03-29,200.0,244.143,10.0,6.0,39.816,48.604,1.991,1.194,85.19
2020-03-30,295.0,255.0,8.0,6.857,58.729,50.765,1.593,1.365,85.19
2020-03-31,325.0,272.286,17.0,9.143,64.701,54.207,3.384,1.82,85.19
2020-04-01,212.0,269.0,14.0,10.857,42.205,53.553,2.787,2.161,85.19
2020-04-02,402.0,290.0,13.0,11.286,80.03,57.733,2.588,2.247,85.19
2020-04-03,424.0,307.429,22.0,14.0,84.41,61.203,4.38,2.787,85.19
2020-04-04,331.0,312.714,17.0,14.429,65.895,62.255,3.384,2.872,85.19
2020-04-05,390.0,339.857,21.0,16.0,77.641,67.659,4.181,3.185,85.19
2020-04-06,370.0,350.571,16.0,17.143,73.66,69.792,3.185,3.413,90.74
2020-04-07,345.0,353.429,36.0,19.857,68.683,70.361,7.167,3.953,90.74
2020-04-08,365.0,375.286,25.0,21.429,72.664,74.712,4.977,4.266,90.74
2020-04-09,500.0,389.286,28.0,23.571,99.54,77.499,5.574,4.693,90.74
2020-04-10,1515.0,545.143,24.0,23.857,301.606,108.527,4.778,4.749,90.74
2020-04-11,839.0,617.714,33.0,26.143,167.028,122.975,6.57,5.205,90.74
2020-04-12,727.0,665.857,14.0,25.143,144.731,132.559,2.787,5.005,90.74
2020-04-13,992.0,754.714,31.0,27.286,197.487,150.248,6.171,5.432,90.74
2020-04-14,832.0,824.286,41.0,28.0,165.635,164.099,8.162,5.574,90.74
2020-04-15,1068.0,924.714,38.0,29.857,212.617,184.092,7.565,5.944,90.74
2020-04-16,724.0,956.714,42.0,31.857,144.134,190.463,8.361,6.342,90.74
2020-04-17,709.0,841.571,44.0,34.714,141.148,167.54,8.76,6.911,90.74
2020-04-18,778.0,832.857,41.0,35.857,154.884,165.805,8.162,7.138,90.74
