time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-20,,,,,,,,,19.44
2020-02-21,1.0,,,,0.106,,,,19.44
2020-02-22,0.0,,,,0.0,,,,19.44
2020-02-23,0.0,,,,0.0,,,,19.44
2020-02-24,0.0,,,,0.0,,,,19.44
2020-02-25,0.0,,,,0.0,,,,19.44
2020-02-26,1.0,0.286,,,0.106,0.03,,,19.44
2020-02-27,1.0,0.429,,,0.106,0.045,,,19.44
2020-02-28,3.0,0.714,,,0.317,0.076,,,19.44
2020-02-29,0.0,0.714,,,0.0,0.076,,,19.44
2020-03-01,1.0,0.857,,,0.106,0.091,,,19.44
2020-03-02,5.0,1.571,,,0.529,0.166,,,19.44
2020-03-03,3.0,2.0,,,0.317,0.212,,,19.44
2020-03-04,0.0,1.857,,,0.0,0.197,,,33.33
2020-03-05,6.0,2.571,,,0.635,0.272,,,33.33
2020-03-06,16.0,4.429,,,1.693,0.469,,,33.33
2020-03-07,10.0,5.857,,,1.058,0.62,,,33.33
2020-03-08,9.0,7.0,,,0.952,0.741,,,33.33
2020-03-09,4.0,6.857,,,0.423,0.726,,,33.33
2020-03-10,28.0,10.429,,,2.963,1.104,,,33.33
2020-03-11,,,,,,,,,33.33
2020-03-12,21.0,12.571,,,2.222,1.33,,,41.67
2020-03-13,31.0,14.714,,,3.281,1.557,,,52.78
2020-03-14,26.0,17.0,,,2.752,1.799,,,52.78
2020-03-15,39.0,21.286,,,4.127,2.253,,,62.96
2020-03-16,74.0,31.286,,,7.832,3.311,,,68.52
2020-03-17,44.0,33.571,,,4.657,3.553,,,77.78
2020-03-18,76.0,44.429,,,8.043,4.702,,,77.78
2020-03-19,15.0,43.571,,,1.587,4.611,,,77.78
2020-03-20,242.0,73.714,1.0,,25.611,7.801,0.106,,81.48
2020-03-21,215.0,100.714,0.0,,22.754,10.659,0.0,,81.48
2020-03-22,237.0,129.0,0.0,,25.082,13.652,0.0,,81.48
2020-03-23,169.0,142.571,0.0,,17.885,15.089,0.0,,81.48
2020-03-24,102.0,150.857,3.0,,10.795,15.965,0.317,,81.48
2020-03-25,1117.0,299.571,1.0,0.714,118.214,31.704,0.106,0.076,81.48
2020-03-26,520.0,371.714,5.0,1.429,55.032,39.339,0.529,0.151,81.48
2020-03-27,433.0,399.0,2.0,1.571,45.825,42.227,0.212,0.166,81.48
2020-03-28,480.0,436.857,1.0,1.714,50.799,46.233,0.106,0.181,81.48
2020-03-29,532.0,479.0,3.0,2.143,56.302,50.693,0.317,0.227,81.48
2020-03-30,546.0,532.857,1.0,2.286,57.784,56.393,0.106,0.242,81.48
2020-03-31,738.0,623.714,4.0,2.429,78.104,66.008,0.423,0.257,81.48
2020-04-01,696.0,563.571,8.0,3.429,73.659,59.643,0.847,0.363,85.19
2020-04-02,719.0,592.0,9.0,4.0,76.093,62.652,0.952,0.423,85.19
2020-04-03,597.0,615.429,5.0,4.429,63.181,65.132,0.529,0.469,87.96
2020-04-04,428.0,608.0,6.0,5.143,45.296,64.345,0.635,0.544,87.96
2020-04-05,583.0,615.286,7.0,5.714,61.7,65.116,0.741,0.605,87.96
2020-04-06,451.0,601.714,8.0,6.714,47.73,63.68,0.847,0.711,87.96
2020-04-07,377.0,550.143,8.0,7.286,39.898,58.222,0.847,0.771,90.74
2020-04-08,338.0,499.0,8.0,7.286,35.771,52.81,0.847,0.771,94.44
2020-04-09,343.0,445.286,9.0,7.286,36.3,47.125,0.952,0.771,94.44
2020-04-10,358.0,411.143,8.0,7.714,37.888,43.512,0.847,0.816,94.44
2020-04-11,345.0,399.286,6.0,7.714,36.512,42.257,0.635,0.816,91.67
2020-04-12,552.0,394.857,6.0,7.571,58.419,41.788,0.635,0.801,91.67
2020-04-13,438.0,393.0,9.0,7.714,46.354,41.592,0.952,0.816,91.67
2020-04-14,399.0,396.143,8.0,7.714,42.227,41.924,0.847,0.816,94.44
2020-04-15,311.0,392.286,13.0,8.429,32.914,41.516,1.376,0.892,94.44
2020-04-16,296.0,385.571,7.0,8.143,31.326,40.806,0.741,0.862,94.44
2020-04-17,298.0,377.0,9.0,8.286,31.538,39.898,0.952,0.877,91.67
2020-04-18,291.0,369.286,11.0,9.0,30.797,39.082,1.164,0.952,91.67
2020-04-19,276.0,329.857,8.0,9.286,29.209,34.909,0.847,0.983,87.96
2020-04-20,299.0,310.0,6.0,8.857,31.644,32.808,0.635,0.937,87.96
2020-04-21,282.0,293.286,9.0,9.0,29.844,31.039,0.952,0.952,87.96
2020-04-22,225.0,281.0,3.0,7.571,23.812,29.739,0.317,0.801,87.96
2020-04-23,276.0,278.143,4.0,7.143,29.209,29.436,0.423,0.756,87.96
2020-04-24,248.0,271.0,3.0,6.286,26.246,28.68,0.317,0.665,87.96
2020-04-25,159.0,252.143,3.0,5.143,16.827,26.685,0.317,0.544,87.96
2020-04-26,83.0,224.571,2.0,4.286,8.784,23.767,0.212,0.454,84.26
2020-04-27,128.0,200.143,4.0,4.0,13.546,21.181,0.423,0.423,84.26
2020-04-28,159.0,182.571,5.0,3.429,16.827,19.322,0.529,0.363,87.04
2020-04-29,82.0,162.143,6.0,3.857,8.678,17.16,0.635,0.408,87.04
2020-04-30,142.0,143.0,6.0,4.143,15.028,15.134,0.635,0.438,84.26
2020-05-01,116.0,124.143,4.0,4.286,12.276,13.138,0.423,0.454,84.26
2020-05-02,57.0,109.571,3.0,4.286,6.032,11.596,0.317,0.454,84.26
2020-05-03,27.0,101.571,3.0,4.429,2.857,10.749,0.317,0.469,80.56
2020-05-04,53.0,90.857,3.0,4.286,5.609,9.616,0.317,0.454,80.56
2020-05-05,32.0,72.714,2.0,3.857,3.387,7.695,0.212,0.408,77.78
2020-05-06,65.0,70.286,1.0,3.143,6.879,7.438,0.106,0.333,77.78
2020-05-07,61.0,58.714,1.0,2.429,6.456,6.214,0.106,0.257,77.78
2020-05-08,33.0,46.857,6.0,2.714,3.492,4.959,0.635,0.287,77.78
2020-05-09,19.0,41.429,3.0,2.714,2.011,4.384,0.317,0.287,77.78
2020-05-10,29.0,41.714,4.0,2.857,3.069,4.415,0.423,0.302,77.78
2020-05-11,39.0,39.714,5.0,3.143,4.127,4.203,0.529,0.333,77.78
2020-05-12,23.0,38.429,3.0,3.286,2.434,4.067,0.317,0.348,77.78
2020-05-13,39.0,34.714,3.0,3.571,4.127,3.674,0.317,0.378,77.78
2020-05-14,22.0,29.143,2.0,3.714,2.328,3.084,0.212,0.393,77.78
2020-05-15,12.0,26.143,0.0,2.857,1.27,2.767,0.0,0.302,77.78
2020-05-16,5.0,24.143,3.0,2.857,0.529,2.555,0.317,0.302,77.78
2020-05-17,15.0,22.143,4.0,2.857,1.587,2.343,0.423,0.302,77.78
2020-05-18,27.0,20.429,3.0,2.571,2.857,2.162,0.317,0.272,77.78
