time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-06,,,,,,,,,13.89
2020-03-07,,,,,,,,,13.89
2020-03-08,,,,,,,,,13.89
2020-03-09,,,,,,,,,13.89
2020-03-10,,,,,,,,,13.89
2020-03-11,,,,,,,,,13.89
2020-03-12,,,,,,,,,13.89
2020-03-13,1.0,,,,0.019,,,,36.11
2020-03-14,0.0,,,,0.0,,,,36.11
2020-03-15,2.0,,,,0.037,,,,50.93
2020-03-16,0.0,,,,0.0,,,,50.93
2020-03-17,0.0,,,,0.0,,,,59.26
2020-03-18,0.0,0.429,,,0.0,0.008,,,59.26
2020-03-19,4.0,1.0,,,0.074,0.019,,,59.26
2020-03-20,0.0,0.857,,,0.0,0.016,,,68.52
2020-03-21,0.0,0.857,,,0.0,0.016,,,68.52
2020-03-22,8.0,1.714,,,0.148,0.032,,,68.52
2020-03-23,1.0,1.857,,,0.019,0.034,,,68.52
2020-03-24,9.0,3.143,,,0.167,0.058,,,72.22
2020-03-25,3.0,3.571,,,0.056,0.066,,,72.22
2020-03-26,3.0,3.429,1.0,,0.056,0.063,0.019,,72.22
2020-03-27,0.0,3.429,0.0,,0.0,0.063,0.0,,87.04
2020-03-28,7.0,4.429,0.0,,0.13,0.082,0.0,,87.04
2020-03-29,4.0,3.857,0.0,,0.074,0.071,0.0,,87.04
2020-03-30,8.0,4.857,0.0,,0.148,0.09,0.0,,87.04
2020-03-31,9.0,4.857,0.0,0.143,0.167,0.09,0.0,0.003,87.04
2020-04-01,22.0,7.571,0.0,0.143,0.407,0.14,0.0,0.003,87.04
2020-04-02,29.0,11.286,2.0,0.286,0.537,0.209,0.037,0.005,87.04
2020-04-03,12.0,13.0,1.0,0.429,0.222,0.241,0.019,0.008,87.04
2020-04-04,4.0,12.571,0.0,0.429,0.074,0.233,0.0,0.008,87.04
2020-04-05,16.0,14.286,0.0,0.429,0.296,0.264,0.0,0.008,87.04
2020-04-06,16.0,15.429,2.0,0.714,0.296,0.286,0.037,0.013,88.89
2020-04-07,14.0,16.143,0.0,0.714,0.259,0.299,0.0,0.013,88.89
2020-04-08,7.0,14.0,0.0,0.714,0.13,0.259,0.0,0.013,88.89
2020-04-09,5.0,10.571,1.0,0.571,0.093,0.196,0.019,0.011,88.89
2020-04-10,5.0,9.571,0.0,0.429,0.093,0.177,0.0,0.008,88.89
2020-04-11,2.0,9.286,0.0,0.429,0.037,0.172,0.0,0.008,88.89
2020-04-12,6.0,7.857,1.0,0.571,0.111,0.145,0.019,0.011,88.89
2020-04-13,11.0,7.143,1.0,0.429,0.204,0.132,0.019,0.008,88.89
2020-04-14,8.0,6.286,0.0,0.429,0.148,0.116,0.0,0.008,88.89
2020-04-15,9.0,6.571,1.0,0.571,0.167,0.122,0.019,0.011,88.89
2020-04-16,9.0,7.143,1.0,0.571,0.167,0.132,0.019,0.011,88.89
2020-04-17,12.0,8.143,0.0,0.571,0.222,0.151,0.0,0.011,88.89
2020-04-18,16.0,10.143,1.0,0.714,0.296,0.188,0.019,0.013,88.89
