time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-04,,,,,,,,,5.56
2020-03-05,,,,,,,,,5.56
2020-03-06,,,,,,,,,5.56
2020-03-07,,,,,,,,,5.56
2020-03-08,,,,,,,,,5.56
2020-03-09,,,,,,,,,5.56
2020-03-10,,,,,,,,,5.56
2020-03-11,,,,,,,,,5.56
2020-03-12,,,,,,,,,5.56
2020-03-13,,,,,,,,,5.56
2020-03-14,,,,,,,,,23.15
2020-03-15,,,,,,,,,34.26
2020-03-16,,,,,,,,,39.81
2020-03-17,,,,,,,,,39.81
2020-03-18,,,,,,,,,39.81
2020-03-19,,,,,,,,,39.81
2020-03-20,,,,,,,,,39.81
2020-03-21,,,,,,,,,39.81
2020-03-22,,,,,,,,,77.78
2020-03-23,,,,,,,,,77.78
2020-03-24,1.0,,,,0.147,,,,90.74
2020-03-25,0.0,,,,0.0,,,,90.74
2020-03-26,0.0,,,,0.0,,,,90.74
2020-03-27,0.0,,,,0.0,,,,90.74
2020-03-28,2.0,,,,0.294,,,,90.74
2020-03-29,5.0,1.143,,,0.734,0.168,,,90.74
2020-03-30,0.0,1.143,,,0.0,0.168,,,90.74
2020-03-31,2.0,1.286,,,0.294,0.189,,,90.74
2020-04-01,0.0,1.286,,,0.0,0.189,,,90.74
2020-04-02,1.0,1.429,1.0,,0.147,0.21,0.147,,90.74
2020-04-03,0.0,1.429,0.0,,0.0,0.21,0.0,,90.74
2020-04-04,7.0,2.143,0.0,,1.028,0.315,0.0,,90.74
2020-04-05,0.0,1.429,0.0,,0.0,0.21,0.0,,90.74
2020-04-06,1.0,1.571,0.0,,0.147,0.231,0.0,,90.74
2020-04-07,1.0,1.429,0.0,0.143,0.147,0.21,0.0,0.021,90.74
2020-04-08,1.0,1.571,0.0,0.143,0.147,0.231,0.0,0.021,88.89
2020-04-09,3.0,1.857,0.0,0.0,0.44,0.273,0.0,0.0,88.89
2020-04-10,0.0,1.857,0.0,0.0,0.0,0.273,0.0,0.0,88.89
2020-04-11,0.0,0.857,0.0,0.0,0.0,0.126,0.0,0.0,88.89
2020-04-12,1.0,1.0,0.0,0.0,0.147,0.147,0.0,0.0,88.89
2020-04-13,1.0,1.0,0.0,0.0,0.147,0.147,0.0,0.0,88.89
2020-04-14,9.0,2.143,0.0,0.0,1.321,0.315,0.0,0.0,88.89
2020-04-15,13.0,3.857,0.0,0.0,1.908,0.566,0.0,0.0,88.89
2020-04-16,1.0,3.571,0.0,0.0,0.147,0.524,0.0,0.0,96.3
2020-04-17,0.0,3.571,0.0,0.0,0.0,0.524,0.0,0.0,100.0
2020-04-18,0.0,3.571,0.0,0.0,0.0,0.524,0.0,0.0,100.0
2020-04-19,2.0,3.714,0.0,0.0,0.294,0.545,0.0,0.0,100.0
2020-04-20,0.0,3.571,0.0,0.0,0.0,0.524,0.0,0.0,100.0
2020-04-21,0.0,2.286,0.0,0.0,0.0,0.336,0.0,0.0,100.0
2020-04-22,8.0,1.571,0.0,0.0,1.174,0.231,0.0,0.0,100.0
2020-04-23,1.0,1.571,1.0,0.143,0.147,0.231,0.147,0.021,100.0
2020-04-24,1.0,1.714,0.0,0.143,0.147,0.252,0.0,0.021,100.0
2020-04-25,0.0,1.714,0.0,0.143,0.0,0.252,0.0,0.021,100.0
2020-04-26,0.0,1.429,0.0,0.143,0.0,0.21,0.0,0.021,100.0
2020-04-27,0.0,1.429,0.0,0.143,0.0,0.21,0.0,0.021,100.0
2020-04-28,0.0,1.429,0.0,0.143,0.0,0.21,0.0,0.021,100.0
2020-04-29,0.0,0.286,0.0,0.143,0.0,0.042,0.0,0.021,100.0
2020-04-30,0.0,0.143,1.0,0.143,0.0,0.021,0.147,0.021,100.0
2020-05-01,2.0,0.286,0.0,0.143,0.294,0.042,0.0,0.021,100.0
2020-05-02,0.0,0.286,0.0,0.143,0.0,0.042,0.0,0.021,100.0
2020-05-03,0.0,0.286,0.0,0.143,0.0,0.042,0.0,0.021,100.0
2020-05-04,0.0,0.286,0.0,0.143,0.0,0.042,0.0,0.021,100.0
2020-05-05,0.0,0.286,0.0,0.143,0.0,0.042,0.0,0.021,100.0
2020-05-06,1.0,0.429,0.0,0.143,0.147,0.063,0.0,0.021,100.0
2020-05-07,0.0,0.429,0.0,0.0,0.0,0.063,0.0,0.0,100.0
2020-05-08,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-09,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-10,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-11,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-12,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-05-16,1.0,0.143,0.0,0.0,0.147,0.021,0.0,0.0,100.0
2020-05-17,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-18,0.0,0.143,0.0,0.0,0.0,0.021,0.0,0.0,100.0
2020-05-19,3.0,0.571,0.0,0.0,0.44,0.084,0.0,0.0,100.0
2020-05-20,1.0,0.714,0.0,0.0,0.147,0.105,0.0,0.0,100.0
2020-05-21,2.0,1.0,0.0,0.0,0.294,0.147,0.0,0.0,100.0
2020-05-22,1.0,1.143,0.0,0.0,0.147,0.168,0.0,0.0,100.0
2020-05-23,3.0,1.429,0.0,0.0,0.44,0.21,0.0,0.0,100.0
2020-05-24,0.0,1.429,0.0,0.0,0.0,0.21,0.0,0.0,100.0
2020-05-25,0.0,1.429,0.0,0.0,0.0,0.21,0.0,0.0,100.0
2020-05-26,2.0,1.286,0.0,0.0,0.294,0.189,0.0,0.0,100.0
2020-05-27,22.0,4.286,1.0,0.143,3.229,0.629,0.147,0.021,100.0
2020-05-28,6.0,4.857,1.0,0.286,0.881,0.713,0.147,0.042,96.3
2020-05-29,13.0,6.571,0.0,0.286,1.908,0.965,0.0,0.042,96.3
2020-05-30,12.0,7.857,0.0,0.286,1.762,1.153,0.0,0.042,96.3
2020-05-31,26.0,11.571,0.0,0.286,3.817,1.699,0.0,0.042,96.3
2020-06-01,12.0,13.286,0.0,0.286,1.762,1.95,0.0,0.042,96.3
2020-06-02,14.0,15.0,0.0,0.286,2.055,2.202,0.0,0.042,96.3
2020-06-03,14.0,13.857,0.0,0.143,2.055,2.034,0.0,0.021,96.3
2020-06-04,13.0,14.857,0.0,0.0,1.908,2.181,0.0,0.0,96.3
2020-06-05,30.0,17.286,0.0,0.0,4.404,2.537,0.0,0.0,96.3
2020-06-06,17.0,18.0,0.0,0.0,2.495,2.642,0.0,0.0,96.3
2020-06-07,0.0,14.286,0.0,0.0,0.0,2.097,0.0,0.0,96.3
