time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-20,3.0,,,,0.101,,,,22.22
2020-03-21,0.0,,,,0.0,,,,82.41
2020-03-22,0.0,,,,0.0,,,,82.41
2020-03-23,9.0,,,,0.304,,,,91.67
2020-03-24,5.0,,,,0.169,,,,91.67
2020-03-25,2.0,2.714,,,0.068,0.092,,,91.67
2020-03-26,4.0,3.286,,,0.135,0.111,,,91.67
2020-03-27,3.0,3.286,,,0.101,0.111,,,91.67
2020-03-28,0.0,3.286,,,0.0,0.111,,,91.67
2020-03-29,13.0,5.143,,,0.439,0.174,,,91.67
2020-03-30,4.0,4.429,,,0.135,0.15,,,91.67
2020-03-31,14.0,5.714,,,0.473,0.193,,,91.67
2020-04-01,0.0,5.429,,,0.0,0.183,,,91.67
2020-04-02,2.0,5.143,,,0.068,0.174,,,91.67
2020-04-03,11.0,6.286,,,0.371,0.212,,,91.67
2020-04-04,0.0,6.286,,,0.0,0.212,,,91.67
2020-04-05,2.0,4.714,,,0.068,0.159,,,95.37
2020-04-06,10.0,5.571,,,0.338,0.188,,,95.37
2020-04-07,6.0,4.429,,,0.203,0.15,,,95.37
2020-04-08,5.0,5.143,,,0.169,0.174,,,95.37
2020-04-09,0.0,4.857,,,0.0,0.164,,,95.37
2020-04-10,0.0,3.286,,,0.0,0.111,,,95.37
2020-04-11,9.0,4.571,,,0.304,0.154,,,95.37
2020-04-12,4.0,4.857,,,0.135,0.164,,,95.37
2020-04-13,0.0,3.429,,,0.0,0.116,,,95.37
2020-04-14,2.0,2.857,,,0.068,0.096,,,95.37
2020-04-15,2.0,2.429,,,0.068,0.082,,,95.37
2020-04-16,1.0,2.571,,,0.034,0.087,,,95.37
2020-04-17,6.0,3.429,,,0.203,0.116,,,95.37
2020-04-18,3.0,2.571,,,0.101,0.087,,,95.37
2020-04-19,1.0,2.143,,,0.034,0.072,,,95.37
2020-04-20,0.0,2.143,,,0.0,0.072,,,72.22
2020-04-21,0.0,1.857,,,0.0,0.063,,,72.22
2020-04-22,0.0,1.571,,,0.0,0.053,,,70.37
2020-04-23,0.0,1.429,,,0.0,0.048,,,70.37
2020-04-24,1.0,0.714,,,0.034,0.024,,,70.37
2020-04-25,1.0,0.429,,,0.034,0.014,,,70.37
2020-04-26,1.0,0.429,,,0.034,0.014,,,70.37
2020-04-27,4.0,1.0,,,0.135,0.034,,,67.59
2020-04-28,0.0,1.0,,,0.0,0.034,,,67.59
2020-04-29,0.0,1.0,,,0.0,0.034,,,67.59
2020-04-30,0.0,1.0,,,0.0,0.034,,,67.59
2020-05-01,4.0,1.429,,,0.135,0.048,,,67.59
2020-05-02,3.0,1.714,,,0.101,0.058,,,67.59
2020-05-03,14.0,3.571,,,0.473,0.121,,,67.59
2020-05-04,0.0,3.0,,,0.0,0.101,,,67.59
2020-05-05,2.0,3.286,,,0.068,0.111,,,67.59
2020-05-06,7.0,4.286,,,0.236,0.145,,,67.59
2020-05-07,35.0,9.286,,,1.182,0.314,,,67.59
2020-05-08,0.0,8.714,,,0.0,0.294,,,67.59
2020-05-09,0.0,8.286,,,0.0,0.28,,,67.59
2020-05-10,0.0,6.286,,,0.0,0.212,,,67.59
2020-05-11,,,,,,,,,67.59
2020-05-12,0.0,6.0,,,0.0,0.203,,,70.37
2020-05-13,26.0,8.714,,,0.878,0.294,,,70.37
2020-05-14,18.0,6.286,,,0.608,0.212,,,70.37
2020-05-15,8.0,7.429,,,0.27,0.251,,,70.37
2020-05-16,45.0,13.857,,,1.52,0.468,,,70.37
2020-05-17,21.0,16.857,1.0,,0.709,0.569,0.034,,70.37
2020-05-18,18.0,19.429,0.0,,0.608,0.656,0.0,,70.37
2020-05-19,4.0,20.0,1.0,,0.135,0.675,0.034,,70.37
2020-05-20,45.0,22.714,0.0,,1.52,0.767,0.0,,70.37
2020-05-21,34.0,25.0,0.0,,1.148,0.844,0.0,,70.37
2020-05-22,43.0,30.0,0.0,0.286,1.452,1.013,0.0,0.01,70.37
2020-05-23,40.0,29.286,0.0,0.286,1.351,0.989,0.0,0.01,70.37
2020-05-24,39.0,31.857,0.0,0.143,1.317,1.076,0.0,0.005,70.37
2020-05-25,15.0,31.429,0.0,0.143,0.507,1.061,0.0,0.005,70.37
2020-05-26,44.0,37.143,0.0,0.0,1.486,1.254,0.0,0.0,70.37
2020-05-27,26.0,34.429,0.0,0.0,0.878,1.163,0.0,0.0,70.37
2020-05-28,44.0,35.857,0.0,0.0,1.486,1.211,0.0,0.0,70.37
2020-05-29,42.0,35.714,3.0,0.429,1.418,1.206,0.101,0.014,70.37
2020-05-30,60.0,38.571,1.0,0.571,2.026,1.303,0.034,0.019,70.37
