time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-29,,,,,,,,,52.78
2020-03-30,,,,,,,,,52.78
2020-03-31,,,,,,,,,52.78
2020-04-01,,,,,,,,,52.78
2020-04-02,3.0,,,,0.147,,,,52.78
2020-04-03,0.0,,,,0.0,,,,52.78
2020-04-04,1.0,,,,0.049,,,,56.48
2020-04-05,0.0,,,,0.0,,,,56.48
2020-04-06,1.0,,,,0.049,,,,56.48
2020-04-07,3.0,1.143,1.0,,0.147,0.056,0.049,,56.48
2020-04-08,0.0,1.143,0.0,,0.0,0.056,0.0,,56.48
2020-04-09,0.0,0.714,0.0,,0.0,0.035,0.0,,56.48
2020-04-10,1.0,0.857,0.0,,0.049,0.042,0.0,,56.48
2020-04-11,3.0,1.143,1.0,,0.147,0.056,0.049,,56.48
2020-04-12,1.0,1.286,0.0,0.286,0.049,0.063,0.0,0.014,56.48
2020-04-13,3.0,1.571,0.0,0.286,0.147,0.077,0.0,0.014,56.48
2020-04-14,0.0,1.143,0.0,0.143,0.0,0.056,0.0,0.007,56.48
2020-04-15,0.0,1.143,0.0,0.143,0.0,0.056,0.0,0.007,56.48
2020-04-16,0.0,1.143,0.0,0.143,0.0,0.056,0.0,0.007,56.48
2020-04-17,1.0,1.143,0.0,0.143,0.049,0.056,0.0,0.007,56.48
2020-04-18,0.0,0.714,0.0,0.0,0.0,0.035,0.0,0.0,60.19
2020-04-19,0.0,0.571,0.0,0.0,0.0,0.028,0.0,0.0,60.19
2020-04-20,0.0,0.143,0.0,0.0,0.0,0.007,0.0,0.0,60.19
2020-04-21,1.0,0.286,0.0,0.0,0.049,0.014,0.0,0.0,60.19
2020-04-22,5.0,1.0,1.0,0.143,0.245,0.049,0.049,0.007,60.19
2020-04-23,10.0,2.429,0.0,0.143,0.49,0.119,0.0,0.007,60.19
2020-04-24,0.0,2.286,0.0,0.143,0.0,0.112,0.0,0.007,60.19
2020-04-25,0.0,2.286,0.0,0.143,0.0,0.112,0.0,0.007,60.19
2020-04-26,1.0,2.429,0.0,0.143,0.049,0.119,0.0,0.007,60.19
2020-04-27,2.0,2.714,0.0,0.143,0.098,0.133,0.0,0.007,60.19
2020-04-28,0.0,2.571,0.0,0.143,0.0,0.126,0.0,0.007,60.19
2020-04-29,0.0,1.857,0.0,0.0,0.0,0.091,0.0,0.0,60.19
2020-04-30,1.0,0.571,0.0,0.0,0.049,0.028,0.0,0.0,60.19
2020-05-01,0.0,0.571,0.0,0.0,0.0,0.028,0.0,0.0,60.19
2020-05-02,1.0,0.714,0.0,0.0,0.049,0.035,0.0,0.0,60.19
2020-05-03,1.0,0.714,0.0,0.0,0.049,0.035,0.0,0.0,60.19
2020-05-04,2.0,0.714,0.0,0.0,0.098,0.035,0.0,0.0,60.19
2020-05-05,0.0,0.714,0.0,0.0,0.0,0.035,0.0,0.0,60.19
2020-05-06,2.0,1.0,0.0,0.0,0.098,0.049,0.0,0.0,60.19
2020-05-07,0.0,0.857,0.0,0.0,0.0,0.042,0.0,0.0,60.19
2020-05-08,0.0,0.857,0.0,0.0,0.0,0.042,0.0,0.0,60.19
2020-05-09,13.0,2.571,0.0,0.0,0.637,0.126,0.0,0.0,60.19
2020-05-10,0.0,2.429,0.0,0.0,0.0,0.119,0.0,0.0,60.19
2020-05-11,1.0,2.286,0.0,0.0,0.049,0.112,0.0,0.0,60.19
2020-05-12,0.0,2.286,0.0,0.0,0.0,0.112,0.0,0.0,60.19
2020-05-13,6.0,2.857,0.0,0.0,0.294,0.14,0.0,0.0,60.19
2020-05-14,0.0,2.857,0.0,0.0,0.0,0.14,0.0,0.0,60.19
2020-05-15,0.0,2.857,0.0,0.0,0.0,0.14,0.0,0.0,60.19
2020-05-16,2.0,1.286,0.0,0.0,0.098,0.063,0.0,0.0,60.19
2020-05-17,5.0,2.0,0.0,0.0,0.245,0.098,0.0,0.0,60.19
2020-05-18,0.0,1.857,0.0,0.0,0.0,0.091,0.0,0.0,60.19
2020-05-19,0.0,1.857,0.0,0.0,0.0,0.091,0.0,0.0,60.19
2020-05-20,1.0,1.143,0.0,0.0,0.049,0.056,0.0,0.0,60.19
2020-05-21,1.0,1.286,0.0,0.0,0.049,0.063,0.0,0.0,60.19
2020-05-22,10.0,2.714,0.0,0.0,0.49,0.133,0.0,0.0,60.19
2020-05-23,0.0,2.429,0.0,0.0,0.0,0.119,0.0,0.0,60.19
2020-05-24,1.0,1.857,1.0,0.143,0.049,0.091,0.049,0.007,60.19
2020-05-25,18.0,4.429,0.0,0.143,0.882,0.217,0.0,0.007,60.19
2020-05-26,0.0,4.429,0.0,0.143,0.0,0.217,0.0,0.007,60.19
