male,female,total
1706.33,1618.708,3325.038
1757.751,1669.826,3427.577
1605.973,1521.63,3127.603
1518.513,1451.08,2969.593
1465.622,1408.722,2874.344
1521.676,1487.258,3008.934
1418.44,1444.119,2862.559
1321.046,1422.751,2743.797
1111.753,1248.72,2360.473
975.16,1116.799,2091.959
916.0,1008.565,1924.565
903.13,916.089,1819.219
776.036,791.202,1567.238
580.692,587.089,1167.781
340.255,341.85,682.105
230.945,284.028,514.973
124.233,186.224,310.457
37.082,73.835,110.917
5.86,14.033,19.893
0.377,1.095,1.472
0.013,0.048,0.061
