time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-22,1.0,,,,0.03,,,,22.22
2020-03-23,0.0,,,,0.0,,,,47.22
2020-03-24,2.0,,,,0.061,,,,47.22
2020-03-25,2.0,,,,0.061,,,,47.22
2020-03-26,2.0,,,,0.061,,,,47.22
2020-03-27,0.0,1.0,,,0.0,0.03,,,47.22
2020-03-28,1.0,1.143,,,0.03,0.035,,,47.22
2020-03-29,0.0,1.0,,,0.0,0.03,,,47.22
2020-03-30,0.0,1.0,,,0.0,0.03,,,47.22
2020-03-31,0.0,0.714,,,0.0,0.022,,,47.22
2020-04-01,2.0,0.714,,,0.061,0.022,,,56.48
2020-04-02,0.0,0.429,,,0.0,0.013,,,56.48
2020-04-03,0.0,0.429,,,0.0,0.013,,,56.48
2020-04-04,0.0,0.286,,,0.0,0.009,,,56.48
2020-04-05,0.0,0.286,,,0.0,0.009,,,56.48
2020-04-06,0.0,0.286,,,0.0,0.009,,,56.48
2020-04-07,0.0,0.286,,,0.0,0.009,,,56.48
2020-04-08,7.0,1.0,,,0.212,0.03,,,56.48
2020-04-09,0.0,1.0,,,0.0,0.03,,,56.48
2020-04-10,3.0,1.429,,,0.091,0.043,,,56.48
2020-04-11,0.0,1.429,,,0.0,0.043,,,56.48
2020-04-12,1.0,1.571,,,0.03,0.048,,,56.48
2020-04-13,0.0,1.571,,,0.0,0.048,,,56.48
2020-04-14,7.0,2.571,,,0.212,0.078,,,56.48
2020-04-15,1.0,1.714,,,0.03,0.052,,,56.48
2020-04-16,2.0,2.0,,,0.061,0.061,,,56.48
2020-04-17,3.0,2.0,,,0.091,0.061,,,56.48
2020-04-18,1.0,2.143,,,0.03,0.065,,,56.48
2020-04-19,4.0,2.571,,,0.121,0.078,,,56.48
2020-04-20,0.0,2.571,,,0.0,0.078,,,56.48
2020-04-21,0.0,1.571,,,0.0,0.048,,,56.48
2020-04-22,2.0,1.714,,,0.061,0.052,,,56.48
2020-04-23,5.0,2.143,,,0.152,0.065,,,56.48
2020-04-24,19.0,4.429,,,0.576,0.134,,,56.48
2020-04-25,5.0,5.0,,,0.152,0.152,,,56.48
2020-04-26,6.0,5.286,,,0.182,0.16,,,56.48
2020-04-27,0.0,5.286,,,0.0,0.16,,,56.48
2020-04-28,0.0,5.286,,,0.0,0.16,,,56.48
2020-04-29,0.0,5.0,,,0.0,0.152,,,56.48
2020-04-30,0.0,4.286,,,0.0,0.13,,,56.48
2020-05-01,3.0,2.0,,,0.091,0.061,,,56.48
2020-05-02,0.0,1.286,,,0.0,0.039,,,56.48
2020-05-03,1.0,0.571,,,0.03,0.017,,,56.48
2020-05-04,0.0,0.571,,,0.0,0.017,,,56.48
2020-05-05,1.0,0.714,,,0.03,0.022,,,56.48
2020-05-06,0.0,0.714,,,0.0,0.022,,,56.48
2020-05-07,0.0,0.714,,,0.0,0.022,,,56.48
2020-05-08,1.0,0.429,,,0.03,0.013,,,56.48
2020-05-09,5.0,1.143,,,0.152,0.035,,,56.48
2020-05-10,4.0,1.571,,,0.121,0.048,,,56.48
2020-05-11,12.0,3.286,,,0.364,0.1,,,56.48
2020-05-12,1.0,3.286,,,0.03,0.1,,,56.48
