male,female,total
2590.85,2565.778,5156.628
2287.928,2273.226,4561.154
2026.294,2027.942,4054.236
1760.244,1780.978,3541.222
1439.343,1473.214,2912.557
1171.134,1210.804,2381.938
959.782,1001.847,1961.629
778.716,848.394,1627.11
601.645,686.053,1287.698
443.976,557.614,1001.59
329.461,453.159,782.62
262.86,354.687,617.547
199.764,275.266,475.03
149.652,218.98,368.632
99.486,162.734,262.22
55.335,103.29,158.625
24.032,52.682,76.714
6.737,17.563,24.3
0.935,2.803,3.738
0.058,0.179,0.237
0.003,0.007,0.01
