time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,2.0,,,,0.779,,,,8.33
2020-03-15,0.0,,,,0.0,,,,8.33
2020-03-16,0.0,,,,0.0,,,,8.33
2020-03-17,0.0,,,,0.0,,,,50.0
2020-03-18,0.0,,,,0.0,,,,50.0
2020-03-19,1.0,0.429,,,0.39,0.167,,,50.0
2020-03-20,0.0,0.429,,,0.0,0.167,,,50.0
2020-03-21,0.0,0.143,,,0.0,0.056,,,50.0
2020-03-22,0.0,0.143,,,0.0,0.056,,,50.0
2020-03-23,1.0,0.286,,,0.39,0.111,,,50.0
2020-03-24,3.0,0.714,,,1.169,0.278,,,52.78
2020-03-25,0.0,0.714,,,0.0,0.278,,,52.78
2020-03-26,1.0,0.714,,,0.39,0.278,,,52.78
2020-03-27,0.0,0.714,,,0.0,0.278,,,66.67
2020-03-28,0.0,0.714,,,0.0,0.278,,,66.67
2020-03-29,3.0,1.143,,,1.169,0.445,,,66.67
2020-03-30,0.0,1.0,,,0.0,0.39,,,66.67
2020-03-31,0.0,0.571,,,0.0,0.223,,,66.67
2020-04-01,3.0,1.0,,,1.169,0.39,,,66.67
2020-04-02,0.0,0.857,,,0.0,0.334,,,66.67
2020-04-03,0.0,0.857,,,0.0,0.334,,,66.67
2020-04-04,0.0,0.857,,,0.0,0.334,,,66.67
2020-04-05,2.0,0.714,,,0.779,0.278,,,66.67
2020-04-06,0.0,0.714,,,0.0,0.278,,,66.67
2020-04-07,0.0,0.714,,,0.0,0.278,,,66.67
2020-04-08,0.0,0.286,,,0.0,0.111,,,66.67
2020-04-09,0.0,0.286,,,0.0,0.111,,,66.67
2020-04-10,0.0,0.286,,,0.0,0.111,,,66.67
2020-04-11,0.0,0.286,,,0.0,0.111,,,66.67
2020-04-12,0.0,0.0,,,0.0,0.0,,,66.67
2020-04-13,0.0,0.0,,,0.0,0.0,,,66.67
2020-04-14,0.0,0.0,,,0.0,0.0,,,66.67
2020-04-15,0.0,0.0,,,0.0,0.0,,,66.67
2020-04-16,0.0,0.0,,,0.0,0.0,,,66.67
2020-04-17,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-18,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-19,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-20,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-21,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-22,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-23,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-24,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-25,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-26,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-27,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-28,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-29,0.0,0.0,,,0.0,0.0,,,73.15
2020-04-30,0.0,0.0,,,0.0,0.0,,,73.15
2020-05-01,0.0,0.0,,,0.0,0.0,,,73.15
2020-05-02,0.0,0.0,,,0.0,0.0,,,73.15
2020-05-03,0.0,0.0,,,0.0,0.0,,,73.15
2020-05-04,0.0,0.0,,,0.0,0.0,,,73.15
2020-05-05,0.0,0.0,,,0.0,0.0,,,68.52
2020-05-06,0.0,0.0,,,0.0,0.0,,,68.52
2020-05-07,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-08,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-09,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-10,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-11,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-12,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-13,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-14,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-15,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-16,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-17,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-18,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-19,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-20,0.0,0.0,,,0.0,0.0,,,66.67
2020-05-21,2.0,0.286,,,0.779,0.111,,,66.67
2020-05-22,1.0,0.429,,,0.39,0.167,,,66.67
2020-05-23,1.0,0.571,,,0.39,0.223,,,66.67
2020-05-24,1.0,0.714,,,0.39,0.278,,,66.67
2020-05-25,0.0,0.714,,,0.0,0.278,,,66.67
2020-05-26,0.0,0.714,,,0.0,0.278,,,66.67
2020-05-27,1.0,0.857,,,0.39,0.334,,,66.67
2020-05-28,0.0,0.571,,,0.0,0.223,,,66.67
2020-05-29,1.0,0.571,,,0.39,0.223,,,66.67
2020-05-30,0.0,0.429,,,0.0,0.167,,,66.67
2020-05-31,1.0,0.429,,,0.39,0.167,,,66.67
2020-06-01,1.0,0.571,,,0.39,0.223,,,58.33
2020-06-02,0.0,0.571,,,0.0,0.223,,,66.67
2020-06-03,0.0,0.429,,,0.0,0.167,,,62.96
2020-06-04,0.0,0.429,,,0.0,0.167,,,62.96
2020-06-05,0.0,0.286,,,0.0,0.111,,,62.96
2020-06-06,4.0,0.857,,,1.558,0.334,,,62.96
2020-06-07,0.0,0.714,,,0.0,0.278,,,62.96
2020-06-08,2.0,0.857,,,0.779,0.334,,,62.96
2020-06-09,0.0,0.857,,,0.0,0.334,,,62.96
2020-06-10,0.0,0.857,,,0.0,0.334,,,62.96
2020-06-11,0.0,0.857,,,0.0,0.334,,,62.96
2020-06-12,0.0,0.857,,,0.0,0.334,,,62.96
2020-06-13,1.0,0.429,,,0.39,0.167,,,62.96
2020-06-14,0.0,0.429,,,0.0,0.167,,,62.96
2020-06-15,0.0,0.143,,,0.0,0.056,,,62.96
2020-06-16,2.0,0.429,,,0.779,0.167,,,62.96
2020-06-17,2.0,0.714,,,0.779,0.278,,,62.96
2020-06-18,3.0,1.143,,,1.169,0.445,,,62.96
2020-06-19,6.0,2.0,,,2.337,0.779,,,62.96
2020-06-20,1.0,2.0,,,0.39,0.779,,,62.96
2020-06-21,9.0,3.286,,,3.506,1.28,,,62.96
2020-06-22,8.0,4.429,,,3.116,1.725,,,62.96
2020-06-23,9.0,5.429,,,3.506,2.115,,,54.63
