male,female,total
1385.708,1321.065,2706.773
1385.863,1370.347,2756.21
1474.13,1457.119,2931.249
1604.814,1584.067,3188.881
1536.298,1685.226,3221.524
1135.023,1529.827,2664.85
776.203,1293.059,2069.262
603.766,1119.714,1723.48
605.69,991.336,1597.026
622.553,826.074,1448.627
579.427,683.964,1263.391
485.413,558.896,1044.309
382.303,440.788,823.091
312.559,352.428,664.987
209.634,264.099,473.733
150.684,187.118,337.802
69.868,82.646,152.514
22.86,31.29,54.15
5.124,8.139,13.263
0.491,1.097,1.588
0.024,0.074,0.098
