time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-27,1.0,,,,0.057,,,,5.56
2020-02-28,5.0,,,,0.285,,,,5.56
2020-02-29,4.0,,,,0.228,,,,5.56
2020-03-01,8.0,,,,0.455,,,,5.56
2020-03-02,6.0,,,,0.342,,,,5.56
2020-03-03,14.0,5.429,,,0.797,0.309,,,5.56
2020-03-04,44.0,11.714,,,2.505,0.667,,,5.56
2020-03-05,46.0,18.143,,,2.619,1.033,,,5.56
2020-03-06,60.0,26.0,1.0,,3.416,1.48,0.057,,11.11
2020-03-07,77.0,36.429,0.0,,4.384,2.074,0.0,,11.11
2020-03-08,56.0,43.286,2.0,,3.188,2.464,0.114,,11.11
2020-03-09,61.0,51.143,0.0,,3.473,2.912,0.0,,11.11
2020-03-10,121.0,66.429,1.0,,6.889,3.782,0.057,,20.83
2020-03-11,100.0,74.429,1.0,0.714,5.693,4.238,0.057,0.041,20.83
2020-03-12,201.0,96.571,0.0,0.714,11.444,5.498,0.0,0.041,45.37
2020-03-13,155.0,110.143,5.0,1.286,8.825,6.271,0.285,0.073,53.7
2020-03-14,176.0,124.286,2.0,1.571,10.02,7.076,0.114,0.089,53.7
2020-03-15,278.0,156.0,8.0,2.429,15.828,8.882,0.455,0.138,53.7
2020-03-16,292.0,189.0,4.0,3.0,16.625,10.761,0.228,0.171,61.11
2020-03-17,346.0,221.143,19.0,5.571,19.699,12.591,1.082,0.317,61.11
2020-03-18,409.0,265.286,15.0,7.571,23.286,15.104,0.854,0.431,61.11
2020-03-19,534.0,312.857,18.0,10.143,30.403,17.812,1.025,0.577,61.11
2020-03-20,638.0,381.857,30.0,13.714,36.324,21.741,1.708,0.781,61.11
2020-03-21,573.0,438.571,30.0,17.714,32.624,24.97,1.708,1.009,61.11
2020-03-22,545.0,476.714,43.0,22.714,31.029,27.142,2.448,1.293,61.11
2020-03-23,812.0,551.0,34.0,27.0,46.231,31.371,1.936,1.537,78.7
2020-03-24,852.0,623.286,63.0,33.286,48.508,35.487,3.587,1.895,78.7
2020-03-25,1020.0,710.571,80.0,42.571,58.073,40.456,4.555,2.424,78.7
2020-03-26,1172.0,801.714,78.0,51.143,66.727,45.645,4.441,2.912,78.7
2020-03-27,1159.0,876.143,112.0,62.857,65.987,49.883,6.377,3.579,78.7
2020-03-28,1104.0,952.0,93.0,71.857,62.856,54.202,5.295,4.091,78.7
2020-03-29,887.0,1000.857,132.0,84.571,50.501,56.983,7.515,4.815,78.7
2020-03-30,845.0,1005.571,93.0,93.0,48.11,57.252,5.295,5.295,78.7
2020-03-31,1019.0,1029.429,175.0,109.0,58.016,58.61,9.964,6.206,78.7
2020-04-01,1093.0,1039.857,135.0,116.857,62.229,59.204,7.686,6.653,78.7
2020-04-02,1028.0,1019.286,166.0,129.429,58.529,58.033,9.451,7.369,78.7
2020-04-03,909.0,983.571,149.0,134.714,51.754,55.999,8.483,7.67,78.7
2020-04-04,1224.0,1000.714,166.0,145.143,69.688,56.975,9.451,8.264,78.7
2020-04-05,954.0,1010.286,115.0,142.714,54.316,57.52,6.547,8.125,78.7
2020-04-06,789.0,1002.286,103.0,144.143,44.921,57.065,5.864,8.207,78.7
2020-04-07,972.0,995.571,234.0,152.571,55.34,56.682,13.323,8.687,78.7
2020-04-08,1213.0,1012.714,147.0,154.286,69.062,57.658,8.369,8.784,78.7
2020-04-09,1338.0,1057.0,148.0,151.714,76.178,60.18,8.426,8.638,78.7
2020-04-10,1323.0,1116.143,117.0,147.143,75.324,63.547,6.661,8.378,78.7
2020-04-11,1174.0,1109.0,133.0,142.429,66.841,63.14,7.572,8.109,78.7
2020-04-12,964.0,1110.429,94.0,139.429,54.885,63.222,5.352,7.938,78.7
2020-04-13,868.0,1121.714,86.0,137.0,49.419,63.864,4.896,7.8,78.7
2020-04-14,736.0,1088.0,122.0,121.0,41.904,61.945,6.946,6.889,78.7
2020-04-15,1062.0,1066.429,189.0,127.0,60.465,60.717,10.761,7.231,78.7
2020-04-16,1239.0,1052.286,181.0,131.714,70.542,59.911,10.305,7.499,78.7
2020-04-17,1140.0,1026.143,144.0,135.571,64.905,58.423,8.199,7.719,78.7
2020-04-18,1073.0,1011.714,142.0,136.857,61.091,57.602,8.085,7.792,78.7
2020-04-19,753.0,981.571,84.0,135.429,42.872,55.885,4.783,7.711,78.7
2020-04-20,729.0,961.714,67.0,132.714,41.505,54.755,3.815,7.556,78.7
2020-04-21,708.0,957.714,165.0,138.857,40.31,54.527,9.394,7.906,78.7
2020-04-22,891.0,933.286,139.0,131.714,50.729,53.136,7.914,7.499,78.7
2020-04-23,808.0,871.714,124.0,123.571,46.003,49.631,7.06,7.035,78.7
2020-04-24,655.0,802.429,112.0,119.0,37.292,45.686,6.377,6.775,78.7
2020-04-25,655.0,742.714,120.0,115.857,37.292,42.286,6.832,6.596,78.7
2020-04-26,401.0,692.429,67.0,113.429,22.831,39.423,3.815,6.458,78.7
2020-04-27,171.0,612.714,43.0,110.0,9.736,34.885,2.448,6.263,78.7
2020-04-28,387.0,566.857,48.0,93.286,22.034,32.274,2.733,5.311,78.7
2020-04-29,514.0,513.0,145.0,94.143,29.264,29.207,8.256,5.36,78.7
2020-04-30,475.0,465.429,84.0,88.429,27.044,26.499,4.783,5.035,78.7
2020-05-01,446.0,435.571,98.0,86.429,25.393,24.799,5.58,4.921,78.7
2020-05-02,335.0,389.857,94.0,82.714,19.073,22.196,5.352,4.709,78.7
2020-05-03,199.0,361.0,69.0,83.0,11.33,20.553,3.928,4.726,78.7
2020-05-04,317.0,381.857,26.0,80.571,18.048,21.741,1.48,4.587,78.7
2020-05-05,232.0,359.714,87.0,86.143,13.209,20.48,4.953,4.905,78.7
2020-05-06,455.0,351.286,36.0,70.571,25.905,20.0,2.05,4.018,78.7
2020-05-07,319.0,329.0,84.0,70.571,18.162,18.731,4.783,4.018,78.7
2020-05-08,289.0,306.571,71.0,66.714,16.454,17.455,4.042,3.798,78.7
2020-05-09,245.0,293.714,64.0,62.429,13.949,16.722,3.644,3.554,78.7
2020-05-10,161.0,288.286,18.0,55.143,9.166,16.413,1.025,3.14,78.7
2020-05-11,196.0,271.0,16.0,53.714,11.159,15.429,0.911,3.058,71.3
2020-05-12,227.0,270.286,54.0,49.0,12.924,15.389,3.074,2.79,71.3
2020-05-13,270.0,243.857,52.0,51.286,15.372,13.884,2.961,2.92,71.3
2020-05-14,200.0,226.857,28.0,43.286,11.387,12.916,1.594,2.464,71.3
2020-05-15,189.0,212.571,53.0,40.714,10.761,12.103,3.018,2.318,71.3
2020-05-16,126.0,195.571,27.0,35.429,7.174,11.135,1.537,2.017,71.3
2020-05-17,146.0,193.429,10.0,34.286,8.312,11.013,0.569,1.952,71.3
2020-05-18,108.0,180.857,14.0,34.0,6.149,10.297,0.797,1.936,71.3
2020-05-19,198.0,176.714,21.0,29.286,11.273,10.061,1.196,1.667,71.3
2020-05-20,253.0,174.286,33.0,26.571,14.404,9.923,1.879,1.513,71.3
2020-05-21,188.0,172.571,27.0,26.429,10.704,9.825,1.537,1.505,71.3
