time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-19,2.0,,,,6.898,,,,
2020-03-20,0.0,,,,0.0,,,,
2020-03-21,2.0,,,,6.898,,,,
2020-03-22,0.0,,,,0.0,,,,
2020-03-23,4.0,,,,13.795,,,,
2020-03-24,2.0,1.429,,,6.898,4.927,,,
2020-03-25,4.0,2.0,,,13.795,6.898,,,
2020-03-26,0.0,1.714,,,0.0,5.912,,,
2020-03-27,1.0,1.857,,,3.449,6.405,,,
2020-03-28,0.0,1.571,,,0.0,5.419,,,
2020-03-29,0.0,1.571,,,0.0,5.419,,,
2020-03-30,0.0,1.0,,,0.0,3.449,,,
2020-03-31,1.0,0.857,,,3.449,2.956,,,
2020-04-01,0.0,0.286,,,0.0,0.985,,,
2020-04-02,2.0,0.571,,,6.898,1.971,,,
2020-04-03,0.0,0.429,,,0.0,1.478,,,
2020-04-04,,,,,,,,,
2020-04-05,1.0,0.571,,,3.449,1.971,,,
2020-04-06,0.0,0.571,,,0.0,1.971,,,
2020-04-07,0.0,0.429,,,0.0,1.478,,,
2020-04-08,0.0,0.429,,,0.0,1.478,,,
2020-04-09,0.0,0.143,,,0.0,0.493,,,
2020-04-10,0.0,0.143,,,0.0,0.493,,,
2020-04-11,0.0,0.143,,,0.0,0.493,,,
2020-04-12,0.0,0.0,,,0.0,0.0,,,
2020-04-13,0.0,0.0,,,0.0,0.0,,,
2020-04-14,0.0,0.0,,,0.0,0.0,,,
2020-04-15,0.0,0.0,,,0.0,0.0,,,
2020-04-16,0.0,0.0,,,0.0,0.0,,,
2020-04-17,0.0,0.0,,,0.0,0.0,,,
2020-04-18,0.0,0.0,,,0.0,0.0,,,
2020-04-19,0.0,0.0,,,0.0,0.0,,,
2020-04-20,0.0,0.0,,,0.0,0.0,,,
2020-04-21,0.0,0.0,,,0.0,0.0,,,
2020-04-22,0.0,0.0,,,0.0,0.0,,,
2020-04-23,0.0,0.0,,,0.0,0.0,,,
2020-04-24,0.0,0.0,,,0.0,0.0,,,
2020-04-25,0.0,0.0,,,0.0,0.0,,,
2020-04-26,0.0,0.0,,,0.0,0.0,,,
2020-04-27,0.0,0.0,,,0.0,0.0,,,
2020-04-28,0.0,0.0,,,0.0,0.0,,,
2020-04-29,0.0,0.0,,,0.0,0.0,,,
2020-04-30,0.0,0.0,,,0.0,0.0,,,
