time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-20,1.0,,,,0.038,,,,52.78
2020-03-21,0.0,,,,0.0,,,,52.78
2020-03-22,1.0,,,,0.038,,,,52.78
2020-03-23,1.0,,,,0.038,,,,52.78
2020-03-24,0.0,,,,0.0,,,,52.78
2020-03-25,4.0,1.0,1.0,,0.153,0.038,0.038,,52.78
2020-03-26,3.0,1.429,0.0,,0.114,0.055,0.0,,52.78
2020-03-27,0.0,1.286,0.0,,0.0,0.049,0.0,,52.78
2020-03-28,0.0,1.286,0.0,,0.0,0.049,0.0,,61.11
2020-03-29,8.0,2.286,0.0,,0.305,0.087,0.0,,61.11
2020-03-30,9.0,3.429,2.0,0.429,0.343,0.131,0.076,0.016,61.11
2020-03-31,0.0,3.429,0.0,0.429,0.0,0.131,0.0,0.016,61.11
2020-04-01,47.0,9.571,2.0,0.571,1.793,0.365,0.076,0.022,61.11
2020-04-02,24.0,12.571,0.0,0.571,0.916,0.48,0.0,0.022,61.11
2020-04-03,22.0,15.714,0.0,0.571,0.839,0.6,0.0,0.022,61.11
2020-04-04,24.0,19.143,3.0,1.0,0.916,0.73,0.114,0.038,61.11
2020-04-05,40.0,23.714,2.0,1.286,1.526,0.905,0.076,0.049,61.11
2020-04-06,69.0,32.286,0.0,1.0,2.633,1.232,0.0,0.038,61.11
2020-04-07,25.0,35.857,1.0,1.143,0.954,1.368,0.038,0.044,61.11
2020-04-08,64.0,38.286,0.0,0.857,2.442,1.461,0.0,0.033,61.11
2020-04-09,68.0,44.571,0.0,0.857,2.595,1.701,0.0,0.033,61.11
2020-04-10,28.0,45.429,0.0,0.857,1.068,1.733,0.0,0.033,61.11
2020-04-11,53.0,49.571,0.0,0.429,2.022,1.891,0.0,0.016,61.11
2020-04-12,38.0,49.286,1.0,0.286,1.45,1.881,0.038,0.011,61.11
2020-04-13,0.0,39.429,0.0,0.286,0.0,1.504,0.0,0.011,61.11
2020-04-14,41.0,41.714,2.0,0.429,1.564,1.592,0.076,0.016,61.11
2020-04-15,14.0,34.571,0.0,0.429,0.534,1.319,0.0,0.016,61.11
2020-04-16,0.0,24.857,0.0,0.429,0.0,0.948,0.0,0.016,61.11
2020-04-17,43.0,27.0,4.0,1.0,1.641,1.03,0.153,0.038,61.11
2020-04-18,12.0,21.143,1.0,1.143,0.458,0.807,0.038,0.044,61.11
2020-04-19,9.0,17.0,1.0,1.143,0.343,0.649,0.038,0.044,61.11
2020-04-20,0.0,17.0,0.0,1.143,0.0,0.649,0.0,0.044,61.11
2020-04-21,9.0,12.429,0.0,0.857,0.343,0.474,0.0,0.033,61.11
2020-04-22,5.0,11.143,2.0,1.143,0.191,0.425,0.076,0.044,61.11
2020-04-23,9.0,12.429,2.0,1.429,0.343,0.474,0.076,0.055,61.11
2020-04-24,10.0,7.714,0.0,0.857,0.382,0.294,0.0,0.033,61.11
2020-04-25,3.0,6.429,3.0,1.143,0.114,0.245,0.114,0.044,61.11
2020-04-26,12.0,6.857,2.0,1.286,0.458,0.262,0.076,0.049,61.11
2020-04-27,5.0,7.571,0.0,1.286,0.191,0.289,0.0,0.049,61.11
2020-04-28,8.0,7.429,2.0,1.571,0.305,0.283,0.076,0.06,61.11
2020-04-29,4.0,7.286,1.0,1.429,0.153,0.278,0.038,0.055,61.11
2020-04-30,6.0,6.857,0.0,1.143,0.229,0.262,0.0,0.044,61.11
2020-05-01,9.0,6.714,1.0,1.286,0.343,0.256,0.038,0.049,61.11
2020-05-02,8.0,7.429,2.0,1.143,0.305,0.283,0.076,0.044,61.11
2020-05-03,14.0,7.714,1.0,1.0,0.534,0.294,0.038,0.038,61.11
2020-05-04,5.0,7.714,1.0,1.143,0.191,0.294,0.038,0.044,61.11
2020-05-05,8.0,7.714,1.0,1.0,0.305,0.294,0.038,0.038,61.11
2020-05-06,7.0,8.143,0.0,0.857,0.267,0.311,0.0,0.033,61.11
2020-05-07,11.0,8.857,4.0,1.429,0.42,0.338,0.153,0.055,61.11
2020-05-08,14.0,9.571,2.0,1.571,0.534,0.365,0.076,0.06,61.11
2020-05-09,20.0,11.286,1.0,1.429,0.763,0.431,0.038,0.055,61.11
2020-05-10,6.0,10.143,1.0,1.429,0.229,0.387,0.038,0.055,61.11
2020-05-11,11.0,11.0,0.0,1.286,0.42,0.42,0.0,0.049,61.11
2020-05-12,22.0,13.0,1.0,1.286,0.839,0.496,0.038,0.049,61.11
2020-05-13,6.0,12.857,2.0,1.571,0.229,0.491,0.076,0.06,33.33
2020-05-14,16.0,13.571,1.0,1.143,0.611,0.518,0.038,0.044,33.33
2020-05-15,9.0,12.857,1.0,1.0,0.343,0.491,0.038,0.038,33.33
2020-05-16,4.0,10.571,0.0,0.857,0.153,0.403,0.0,0.033,33.33
2020-05-17,15.0,11.857,3.0,1.143,0.572,0.452,0.114,0.044,33.33
2020-05-18,5.0,11.0,1.0,1.286,0.191,0.42,0.038,0.049,33.33
2020-05-19,5.0,8.571,0.0,1.143,0.191,0.327,0.0,0.044,33.33
2020-05-20,6.0,8.571,3.0,1.286,0.229,0.327,0.114,0.049,33.33
2020-05-21,4.0,6.857,2.0,1.429,0.153,0.262,0.076,0.055,33.33
2020-05-22,13.0,7.429,0.0,1.286,0.496,0.283,0.0,0.049,33.33
2020-05-23,6.0,7.714,1.0,1.429,0.229,0.294,0.038,0.055,33.33
2020-05-24,2.0,5.857,0.0,1.0,0.076,0.223,0.0,0.038,33.33
2020-05-25,6.0,6.0,1.0,1.0,0.229,0.229,0.038,0.038,33.33
2020-05-26,1.0,5.429,1.0,1.143,0.038,0.207,0.038,0.044,33.33
2020-05-27,0.0,4.571,0.0,0.714,0.0,0.174,0.0,0.027,33.33
2020-05-28,3.0,4.429,1.0,0.571,0.114,0.169,0.038,0.022,33.33
2020-05-29,0.0,2.571,0.0,0.571,0.0,0.098,0.0,0.022,33.33
2020-05-30,1.0,1.857,0.0,0.429,0.038,0.071,0.0,0.016,33.33
2020-05-31,2.0,1.857,0.0,0.429,0.076,0.071,0.0,0.016,33.33
2020-06-01,0.0,1.0,1.0,0.429,0.0,0.038,0.038,0.016,25.93
2020-06-02,2.0,1.143,0.0,0.286,0.076,0.044,0.0,0.011,25.93
2020-06-03,1.0,1.286,0.0,0.286,0.038,0.049,0.0,0.011,25.93
2020-06-04,2.0,1.143,0.0,0.143,0.076,0.044,0.0,0.005,25.93
2020-06-05,3.0,1.571,0.0,0.143,0.114,0.06,0.0,0.005,25.93
2020-06-06,4.0,2.0,0.0,0.143,0.153,0.076,0.0,0.005,25.93
2020-06-07,3.0,2.143,0.0,0.143,0.114,0.082,0.0,0.005,25.93
2020-06-08,0.0,2.143,0.0,0.0,0.0,0.082,0.0,0.0,25.93
2020-06-09,1.0,2.0,0.0,0.0,0.038,0.076,0.0,0.0,25.93
2020-06-10,0.0,1.857,0.0,0.0,0.0,0.071,0.0,0.0,25.93
2020-06-11,0.0,1.571,0.0,0.0,0.0,0.06,0.0,0.0,25.93
2020-06-12,4.0,1.714,0.0,0.0,0.153,0.065,0.0,0.0,25.93
2020-06-13,2.0,1.429,1.0,0.143,0.076,0.055,0.038,0.005,25.93
2020-06-14,0.0,1.0,0.0,0.143,0.0,0.038,0.0,0.005,25.93
2020-06-15,0.0,1.0,0.0,0.143,0.0,0.038,0.0,0.005,25.93
2020-06-16,36.0,6.0,0.0,0.143,1.374,0.229,0.0,0.005,25.93
2020-06-17,4.0,6.571,1.0,0.286,0.153,0.251,0.038,0.011,25.93
2020-06-18,0.0,6.571,0.0,0.286,0.0,0.251,0.0,0.011,25.93
2020-06-19,0.0,6.0,0.0,0.286,0.0,0.229,0.0,0.011,25.93
2020-06-20,15.0,7.857,0.0,0.143,0.572,0.3,0.0,0.005,25.93
2020-06-21,1.0,8.0,0.0,0.143,0.038,0.305,0.0,0.005,25.93
2020-06-22,10.0,9.429,0.0,0.143,0.382,0.36,0.0,0.005,25.93
2020-06-23,5.0,5.0,0.0,0.143,0.191,0.191,0.0,0.005,25.93
2020-06-24,0.0,4.429,0.0,0.0,0.0,0.169,0.0,0.0,25.93
2020-06-25,5.0,5.143,0.0,0.0,0.191,0.196,0.0,0.0,25.93
2020-06-26,3.0,5.571,0.0,0.0,0.114,0.213,0.0,0.0,25.93
2020-06-27,3.0,3.857,0.0,0.0,0.114,0.147,0.0,0.0,25.93
2020-06-28,12.0,5.429,0.0,0.0,0.458,0.207,0.0,0.0,25.93
2020-06-29,1.0,4.143,0.0,0.0,0.038,0.158,0.0,0.0,25.93
2020-06-30,0.0,3.429,0.0,0.0,0.0,0.131,0.0,0.0,25.93
2020-07-01,0.0,3.429,0.0,0.0,0.0,0.131,0.0,0.0,25.93
2020-07-02,6.0,3.571,1.0,0.143,0.229,0.136,0.038,0.005,25.93
2020-07-03,1.0,3.286,0.0,0.143,0.038,0.125,0.0,0.005,25.93
2020-07-04,0.0,2.857,0.0,0.143,0.0,0.109,0.0,0.005,25.93
2020-07-05,6.0,2.0,0.0,0.143,0.229,0.076,0.0,0.005,25.93
2020-07-06,5.0,2.571,0.0,0.143,0.191,0.098,0.0,0.005,25.93
2020-07-07,1.0,2.714,0.0,0.143,0.038,0.104,0.0,0.005,25.93
2020-07-08,3.0,3.143,0.0,0.143,0.114,0.12,0.0,0.005,25.93
2020-07-09,0.0,2.286,0.0,0.0,0.0,0.087,0.0,0.0,25.93
2020-07-10,2.0,2.429,0.0,0.0,0.076,0.093,0.0,0.0,25.93
2020-07-11,0.0,2.429,0.0,0.0,0.0,0.093,0.0,0.0,25.93
2020-07-12,0.0,1.571,0.0,0.0,0.0,0.06,0.0,0.0,25.93
2020-07-13,0.0,0.857,0.0,0.0,0.0,0.033,0.0,0.0,25.93
2020-07-14,0.0,0.714,0.0,0.0,0.0,0.027,0.0,0.0,25.93
2020-07-15,1.0,0.429,1.0,0.143,0.038,0.016,0.038,0.005,25.93
2020-07-16,2.0,0.714,0.0,0.143,0.076,0.027,0.0,0.005,25.93
2020-07-17,0.0,0.429,0.0,0.143,0.0,0.016,0.0,0.005,25.93
2020-07-18,2.0,0.714,0.0,0.143,0.076,0.027,0.0,0.005,25.93
2020-07-19,0.0,0.714,0.0,0.143,0.0,0.027,0.0,0.005,25.93
2020-07-20,1.0,0.857,0.0,0.143,0.038,0.033,0.0,0.005,25.93
2020-07-21,8.0,2.0,0.0,0.143,0.305,0.076,0.0,0.005,25.93
2020-07-22,9.0,3.143,0.0,0.0,0.343,0.12,0.0,0.0,25.93
2020-07-23,2.0,3.143,0.0,0.0,0.076,0.12,0.0,0.0,25.93
2020-07-24,0.0,3.143,0.0,0.0,0.0,0.12,0.0,0.0,25.93
2020-07-25,0.0,2.857,0.0,0.0,0.0,0.109,0.0,0.0,25.93
2020-07-26,12.0,4.571,0.0,0.0,0.458,0.174,0.0,0.0,25.93
2020-07-27,,,0.0,0.0,,,0.0,0.0,25.93
2020-07-28,0.0,3.286,0.0,0.0,0.0,0.125,0.0,0.0,25.93
2020-07-29,0.0,2.0,0.0,0.0,0.0,0.076,0.0,0.0,25.93
2020-07-30,2.0,2.0,0.0,0.0,0.076,0.076,0.0,0.0,25.93
2020-07-31,0.0,2.0,0.0,0.0,0.0,0.076,0.0,0.0,25.93
2020-08-01,2.0,2.286,0.0,0.0,0.076,0.087,0.0,0.0,25.93
2020-08-02,11.0,2.143,0.0,0.0,0.42,0.082,0.0,0.0,25.93
2020-08-03,5.0,2.857,0.0,0.0,0.191,0.109,0.0,0.0,25.93
2020-08-04,0.0,2.857,0.0,0.0,0.0,0.109,0.0,0.0,25.93
2020-08-05,0.0,2.857,0.0,0.0,0.0,0.109,0.0,0.0,25.93
2020-08-06,1.0,2.714,0.0,0.0,0.038,0.104,0.0,0.0,25.93
2020-08-07,0.0,2.714,0.0,0.0,0.0,0.104,0.0,0.0,25.93
2020-08-08,4.0,3.0,0.0,0.0,0.153,0.114,0.0,0.0,17.59
2020-08-09,1.0,1.571,0.0,0.0,0.038,0.06,0.0,0.0,17.59
2020-08-10,0.0,0.857,0.0,0.0,0.0,0.033,0.0,0.0,17.59
2020-08-11,0.0,0.857,0.0,0.0,0.0,0.033,0.0,0.0,17.59
2020-08-12,3.0,1.286,0.0,0.0,0.114,0.049,0.0,0.0,17.59
2020-08-13,0.0,1.143,0.0,0.0,0.0,0.044,0.0,0.0,17.59
2020-08-14,0.0,1.143,0.0,0.0,0.0,0.044,0.0,0.0,17.59
2020-08-15,4.0,1.143,0.0,0.0,0.153,0.044,0.0,0.0,17.59
2020-08-16,2.0,1.286,0.0,0.0,0.076,0.049,0.0,0.0,17.59
2020-08-17,0.0,1.286,0.0,0.0,0.0,0.049,0.0,0.0,17.59
2020-08-18,0.0,1.286,0.0,0.0,0.0,0.049,0.0,0.0,17.59
2020-08-19,0.0,0.857,0.0,0.0,0.0,0.033,0.0,0.0,17.59
2020-08-20,2.0,1.143,0.0,0.0,0.076,0.044,0.0,0.0,17.59
2020-08-21,3.0,1.571,0.0,0.0,0.114,0.06,0.0,0.0,17.59
2020-08-22,0.0,1.0,0.0,0.0,0.0,0.038,0.0,0.0,17.59
2020-08-23,0.0,0.714,0.0,0.0,0.0,0.027,0.0,0.0,17.59
2020-08-24,0.0,0.714,0.0,0.0,0.0,0.027,0.0,0.0,17.59
2020-08-25,1.0,0.857,0.0,0.0,0.038,0.033,0.0,0.0,17.59
2020-08-26,0.0,0.857,0.0,0.0,0.0,0.033,0.0,0.0,17.59
2020-08-27,0.0,0.571,0.0,0.0,0.0,0.022,0.0,0.0,17.59
2020-08-28,2.0,0.429,0.0,0.0,0.076,0.016,0.0,0.0,17.59
2020-08-29,0.0,0.429,0.0,0.0,0.0,0.016,0.0,0.0,17.59
2020-08-30,0.0,0.429,0.0,0.0,0.0,0.016,0.0,0.0,17.59
2020-08-31,1.0,0.571,0.0,0.0,0.038,0.022,0.0,0.0,17.59
2020-09-01,0.0,0.429,0.0,0.0,0.0,0.016,0.0,0.0,17.59
2020-09-02,0.0,0.429,0.0,0.0,0.0,0.016,0.0,0.0,17.59
2020-09-03,1.0,0.571,0.0,0.0,0.038,0.022,0.0,0.0,17.59
2020-09-04,0.0,0.286,0.0,0.0,0.0,0.011,0.0,0.0,17.59
2020-09-05,0.0,0.286,0.0,0.0,0.0,0.011,0.0,0.0,17.59
2020-09-06,0.0,0.286,0.0,0.0,0.0,0.011,0.0,0.0,14.81
2020-09-07,0.0,0.143,0.0,0.0,0.0,0.005,0.0,0.0,14.81
2020-09-08,1.0,0.286,0.0,0.0,0.038,0.011,0.0,0.0,14.81
2020-09-09,0.0,0.286,0.0,0.0,0.0,0.011,0.0,0.0,14.81
