male,female,total
17377.466,16561.329,33938.795
15287.661,14625.985,29913.646
13159.355,12633.388,25792.743
11151.483,10758.964,21910.447
9170.281,8898.293,18068.574
7660.61,7448.235,15108.845
6613.972,6430.54,13044.512
5745.353,5578.185,11323.538
4785.766,4672.877,9458.643
3807.418,3771.4,7578.818
2947.899,2995.57,5943.469
2330.368,2426.334,4756.702
1764.536,1892.087,3656.623
1232.451,1369.452,2601.903
816.324,900.588,1716.912
426.433,480.358,906.791
153.999,179.349,333.348
34.068,41.37,75.438
3.939,5.232,9.171
0.243,0.396,0.639
0.012,0.018,0.03
