time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,1.0,,,,0.478,,,,
2020-02-27,0.0,,,,0.0,,,,
2020-02-28,0.0,,,,0.0,,,,
2020-02-29,0.0,,,,0.0,,,,
2020-03-01,0.0,,,,0.0,,,,
2020-03-02,0.0,0.143,,,0.0,0.068,,,
2020-03-03,0.0,0.143,,,0.0,0.068,,,
2020-03-04,0.0,0.0,,,0.0,0.0,,,
2020-03-05,0.0,0.0,,,0.0,0.0,,,
2020-03-06,2.0,0.286,,,0.955,0.136,,,
2020-03-07,0.0,0.286,,,0.0,0.136,,,
2020-03-08,0.0,0.286,,,0.0,0.136,,,
2020-03-09,0.0,0.286,,,0.0,0.136,,,
2020-03-10,4.0,0.857,,,1.911,0.409,,,
2020-03-11,0.0,0.857,,,0.0,0.409,,,
2020-03-12,0.0,0.857,,,0.0,0.409,,,
2020-03-13,7.0,1.571,,,3.344,0.751,,,
2020-03-14,0.0,1.571,,,0.0,0.751,,,
2020-03-15,0.0,1.571,,,0.0,0.751,,,
2020-03-16,4.0,2.143,,,1.911,1.024,,,
2020-03-17,8.0,2.714,,,3.821,1.296,,,
2020-03-18,9.0,4.0,,,4.299,1.911,,,
2020-03-19,13.0,5.857,,,6.209,2.798,,,
2020-03-20,19.0,7.571,,,9.075,3.616,,,
2020-03-21,18.0,10.143,,,8.598,4.845,,,
2020-03-22,30.0,14.429,1.0,,14.329,6.892,0.478,,
2020-03-23,21.0,16.857,1.0,,10.031,8.052,0.478,,
2020-03-24,12.0,17.429,0.0,,5.732,8.325,0.0,,
2020-03-25,29.0,20.286,1.0,,13.852,9.689,0.478,,
2020-03-26,24.0,21.857,0.0,,11.463,10.44,0.0,,
2020-03-27,18.0,21.714,0.0,0.429,8.598,10.372,0.0,0.205,
2020-03-28,22.0,22.286,1.0,0.571,10.508,10.645,0.478,0.273,
2020-03-29,18.0,20.571,2.0,0.714,8.598,9.826,0.955,0.341,
2020-03-30,26.0,21.286,1.0,0.714,12.419,10.167,0.478,0.341,
2020-03-31,44.0,25.857,2.0,1.0,21.016,12.351,0.955,0.478,
2020-04-01,25.0,25.286,2.0,1.143,11.941,12.078,0.955,0.546,
2020-04-02,30.0,26.143,0.0,1.143,14.329,12.487,0.0,0.546,
2020-04-03,46.0,30.143,1.0,1.286,21.972,14.398,0.478,0.614,
2020-04-04,53.0,34.571,5.0,1.857,25.315,16.513,2.388,0.887,
2020-04-05,72.0,42.286,1.0,1.714,34.39,20.198,0.478,0.819,
2020-04-06,15.0,40.714,5.0,2.286,7.165,19.447,2.388,1.092,
2020-04-07,29.0,38.571,3.0,2.429,13.852,18.423,1.433,1.16,
2020-04-08,18.0,37.571,3.0,2.571,8.598,17.946,1.433,1.228,
2020-04-09,46.0,39.857,1.0,2.714,21.972,19.038,0.478,1.296,
2020-04-10,48.0,40.143,2.0,2.857,22.927,19.174,0.955,1.365,
2020-04-11,49.0,39.571,2.0,2.429,23.405,18.901,0.955,1.16,
2020-04-12,68.0,39.0,0.0,2.286,32.48,18.628,0.0,1.092,
2020-04-13,26.0,40.571,4.0,2.143,12.419,19.379,1.911,1.024,
2020-04-14,54.0,44.143,6.0,2.571,25.793,21.085,2.866,1.228,
2020-04-15,66.0,51.0,1.0,2.286,31.525,24.36,0.478,1.092,
2020-04-16,107.0,59.714,1.0,2.286,51.108,28.522,0.478,1.092,
2020-04-17,36.0,58.0,3.0,2.429,17.195,27.703,1.433,1.16,
2020-04-18,53.0,58.571,0.0,2.143,25.315,27.976,0.0,1.024,
2020-04-19,37.0,54.143,2.0,2.429,17.673,25.861,0.955,1.16,
2020-04-20,18.0,53.0,3.0,2.286,8.598,25.315,1.433,1.092,
2020-04-21,6.0,46.143,1.0,1.571,2.866,22.04,0.478,0.751,
2020-04-22,28.0,40.714,1.0,1.571,13.374,19.447,0.478,0.751,
2020-04-23,41.0,31.286,0.0,1.429,19.583,14.943,0.0,0.682,
2020-04-24,26.0,29.857,1.0,1.143,12.419,14.261,0.478,0.546,
2020-04-25,41.0,28.143,2.0,1.429,19.583,13.442,0.955,0.682,
2020-04-26,19.0,25.571,2.0,1.429,9.075,12.214,0.955,0.682,
2020-04-27,13.0,24.857,4.0,1.571,6.209,11.873,1.911,0.751,
2020-04-28,22.0,27.143,6.0,2.286,10.508,12.965,2.866,1.092,
2020-04-29,21.0,26.143,2.0,2.429,10.031,12.487,0.955,1.16,
2020-04-30,23.0,23.571,4.0,3.0,10.986,11.259,1.911,1.433,
2020-05-01,29.0,24.0,4.0,3.429,13.852,11.463,1.911,1.638,
2020-05-02,12.0,19.857,1.0,3.286,5.732,9.485,0.478,1.569,
2020-05-03,5.0,17.857,2.0,3.286,2.388,8.529,0.955,1.569,
2020-05-04,7.0,17.0,1.0,2.857,3.344,8.12,0.478,1.365,
2020-05-05,8.0,15.0,1.0,2.143,3.821,7.165,0.478,1.024,
2020-05-06,13.0,13.857,2.0,2.143,6.209,6.619,0.955,1.024,
2020-05-07,33.0,15.286,1.0,1.714,15.762,7.301,0.478,0.819,
2020-05-08,14.0,13.143,1.0,1.286,6.687,6.278,0.478,0.614,
2020-05-09,36.0,16.571,1.0,1.286,17.195,7.915,0.478,0.614,
2020-05-10,20.0,18.714,0.0,1.0,9.553,8.939,0.0,0.478,
2020-05-11,22.0,20.857,0.0,0.857,10.508,9.962,0.0,0.409,
2020-05-12,10.0,21.143,1.0,0.857,4.776,10.099,0.478,0.409,
2020-05-13,20.0,22.143,3.0,1.0,9.553,10.576,1.433,0.478,
2020-05-14,29.0,21.571,0.0,0.857,13.852,10.303,0.0,0.409,
2020-05-15,17.0,22.0,2.0,1.0,8.12,10.508,0.955,0.478,
2020-05-16,22.0,20.0,1.0,1.0,10.508,9.553,0.478,0.478,
2020-05-17,30.0,21.429,3.0,1.429,14.329,10.235,1.433,0.682,
2020-05-18,25.0,21.857,3.0,1.857,11.941,10.44,1.433,0.887,
2020-05-19,22.0,23.571,2.0,2.0,10.508,11.259,0.955,0.955,
2020-05-20,19.0,23.429,4.0,2.143,9.075,11.191,1.911,1.024,
2020-05-21,40.0,25.0,1.0,2.286,19.106,11.941,0.478,1.092,
2020-05-22,23.0,25.857,1.0,2.143,10.986,12.351,0.478,1.024,
2020-05-23,20.0,25.571,1.0,2.143,9.553,12.214,0.478,1.024,
2020-05-24,37.0,26.571,0.0,1.714,17.673,12.692,0.0,0.819,
2020-05-25,21.0,26.0,0.0,1.286,10.031,12.419,0.0,0.614,
2020-05-26,15.0,25.0,3.0,1.429,7.165,11.941,1.433,0.682,
2020-05-27,25.0,25.857,3.0,1.286,11.941,12.351,1.433,0.614,
2020-05-28,38.0,25.571,2.0,1.429,18.151,12.214,0.955,0.682,
2020-05-29,52.0,29.714,5.0,2.0,24.838,14.193,2.388,0.955,
2020-05-30,35.0,31.857,5.0,2.571,16.718,15.216,2.388,1.228,
2020-05-31,62.0,35.429,2.0,2.857,29.614,16.922,0.955,1.365,
2020-06-01,89.0,45.143,7.0,3.857,42.51,21.562,3.344,1.842,
2020-06-02,76.0,53.857,1.0,3.571,36.301,25.725,0.478,1.706,
2020-06-03,101.0,64.714,4.0,3.714,48.242,30.91,1.911,1.774,
2020-06-04,119.0,76.286,2.0,3.714,56.84,36.437,0.955,1.774,
2020-06-05,179.0,94.429,2.0,3.286,85.498,45.103,0.955,1.569,
2020-06-06,125.0,107.286,2.0,2.857,59.706,51.244,0.955,1.365,
2020-06-07,110.0,114.143,2.0,2.857,52.541,54.52,0.955,1.365,
2020-06-08,127.0,119.571,3.0,2.286,60.661,57.113,1.433,1.092,
2020-06-09,87.0,121.143,1.0,2.286,41.555,57.863,0.478,1.092,
2020-06-10,125.0,124.571,7.0,2.714,59.706,59.501,3.344,1.296,
2020-06-11,174.0,132.429,5.0,3.143,83.11,63.254,2.388,1.501,
2020-06-12,163.0,130.143,2.0,3.143,77.856,62.162,0.955,1.501,
2020-06-13,194.0,140.0,8.0,4.0,92.663,66.87,3.821,1.911,
2020-06-14,162.0,147.429,9.0,5.0,77.378,70.418,4.299,2.388,
2020-06-15,100.0,143.571,5.0,5.286,47.764,68.576,2.388,2.525,
