male,female,total
1778.372,1676.003,3454.375
1726.305,1629.515,3355.82
1679.839,1587.866,3267.705
1566.766,1487.178,3053.944
1554.896,1487.357,3042.253
1586.865,1515.944,3102.809
1546.031,1528.354,3074.385
1471.753,1471.613,2943.366
1303.846,1313.441,2617.287
1291.25,1313.437,2604.687
1178.346,1208.765,2387.111
1133.284,1161.062,2294.346
990.766,1041.313,2032.079
831.623,880.602,1712.225
699.683,744.373,1444.056
473.118,519.464,992.582
301.875,357.201,659.076
165.642,232.62,398.262
67.596,119.468,187.064
14.379,34.924,49.303
1.094,3.98,5.074
