time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-01-30,1.0,,,,0.009,,,,11.11
2020-01-31,0.0,,,,0.0,,,,19.44
2020-02-01,0.0,,,,0.0,,,,19.44
2020-02-02,1.0,,1.0,,0.009,,0.009,,19.44
2020-02-03,0.0,,0.0,,0.0,,0.0,,19.44
2020-02-04,0.0,0.286,0.0,,0.0,0.002,0.0,,19.44
2020-02-05,0.0,0.286,0.0,,0.0,0.002,0.0,,19.44
2020-02-06,0.0,0.143,0.0,,0.0,0.001,0.0,,19.44
2020-02-07,1.0,0.286,0.0,0.143,0.009,0.002,0.0,0.001,25.0
2020-02-08,0.0,0.286,0.0,0.143,0.0,0.002,0.0,0.001,25.0
2020-02-09,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,25.0
2020-02-10,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,25.0
2020-02-11,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,25.0
2020-02-12,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,25.0
2020-02-13,0.0,0.143,0.0,0.0,0.0,0.001,0.0,0.0,25.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2020-03-06,2.0,0.286,0.0,0.0,0.017,0.002,0.0,0.0,25.0
2020-03-07,1.0,0.429,0.0,0.0,0.009,0.004,0.0,0.0,25.0
2020-03-08,4.0,1.0,0.0,0.0,0.035,0.009,0.0,0.0,25.0
2020-03-09,10.0,2.429,0.0,0.0,0.087,0.021,0.0,0.0,25.0
2020-03-10,13.0,4.286,0.0,0.0,0.112,0.037,0.0,0.0,34.26
2020-03-11,16.0,6.571,0.0,0.0,0.138,0.057,0.0,0.0,34.26
2020-03-12,3.0,7.0,1.0,0.143,0.026,0.061,0.009,0.001,34.26
2020-03-13,12.0,8.429,3.0,0.571,0.104,0.073,0.026,0.005,34.26
2020-03-14,47.0,15.0,3.0,1.0,0.407,0.13,0.026,0.009,34.26
2020-03-15,29.0,18.571,3.0,1.429,0.251,0.161,0.026,0.012,75.0
2020-03-16,2.0,17.429,1.0,1.571,0.017,0.151,0.009,0.014,75.0
2020-03-17,45.0,22.0,0.0,1.571,0.389,0.19,0.0,0.014,75.0
2020-03-18,15.0,21.857,7.0,2.571,0.13,0.189,0.061,0.022,97.22
2020-03-19,15.0,23.571,,,0.13,0.204,,,97.22
2020-03-20,13.0,23.714,1.0,2.143,0.112,0.205,0.009,0.019,97.22
2020-03-21,77.0,28.0,1.0,1.857,0.666,0.242,0.009,0.016,97.22
2020-03-22,73.0,34.286,6.0,2.286,0.632,0.297,0.052,0.02,100.0
2020-03-23,82.0,45.714,8.0,3.286,0.71,0.396,0.069,0.028,100.0
2020-03-24,90.0,52.143,2.0,3.571,0.779,0.451,0.017,0.031,100.0
2020-03-25,84.0,62.0,3.0,3.0,0.727,0.537,0.026,0.026,100.0
2020-03-26,71.0,70.0,7.0,4.0,0.614,0.606,0.061,0.035,100.0
2020-03-27,96.0,81.857,9.0,5.143,0.831,0.708,0.078,0.045,100.0
2020-03-28,272.0,109.714,14.0,7.0,2.354,0.949,0.121,0.061,100.0
2020-03-29,343.0,148.286,3.0,6.571,2.968,1.283,0.026,0.057,100.0
2020-03-30,128.0,154.857,7.0,6.429,1.108,1.34,0.061,0.056,100.0
2020-03-31,538.0,218.857,10.0,7.571,4.656,1.894,0.087,0.066,100.0
2020-04-01,227.0,239.286,8.0,8.286,1.964,2.071,0.069,0.072,100.0
2020-04-02,322.0,275.143,11.0,8.857,2.786,2.381,0.095,0.077,100.0
2020-04-03,385.0,316.429,29.0,11.714,3.332,2.738,0.251,0.101,100.0
2020-04-04,76.0,288.429,8.0,10.857,0.658,2.496,0.069,0.094,100.0
2020-04-05,152.0,261.143,8.0,11.571,1.315,2.26,0.069,0.1,100.0
2020-04-06,414.0,302.0,11.0,12.143,3.583,2.613,0.095,0.105,100.0
2020-04-07,104.0,240.0,14.0,12.714,0.9,2.077,0.121,0.11,100.0
2020-04-08,106.0,222.714,5.0,12.286,0.917,1.927,0.043,0.106,100.0
2020-04-09,206.0,206.143,21.0,13.714,1.783,1.784,0.182,0.119,100.0
2020-04-10,119.0,168.143,18.0,12.143,1.03,1.455,0.156,0.105,100.0
2020-04-11,233.0,190.571,26.0,14.714,2.016,1.649,0.225,0.127,100.0
2020-04-12,220.0,200.286,50.0,20.714,1.904,1.733,0.433,0.179,100.0
2020-04-13,284.0,181.714,18.0,21.714,2.458,1.572,0.156,0.188,100.0
2020-04-14,291.0,208.429,20.0,22.571,2.518,1.804,0.173,0.195,100.0
2020-04-15,230.0,226.143,14.0,23.857,1.99,1.957,0.121,0.206,100.0
2020-04-16,207.0,226.286,13.0,22.714,1.791,1.958,0.112,0.197,100.0
2020-04-17,218.0,240.429,25.0,23.714,1.886,2.081,0.216,0.205,100.0
2020-04-18,209.0,237.0,10.0,21.429,1.809,2.051,0.087,0.185,100.0
2020-04-19,172.0,230.143,12.0,16.0,1.488,1.992,0.104,0.138,100.0
2020-04-20,200.0,218.143,19.0,16.143,1.731,1.888,0.164,0.14,100.0
2020-04-21,140.0,196.571,9.0,14.571,1.212,1.701,0.078,0.126,100.0
2020-04-22,111.0,179.571,9.0,13.857,0.961,1.554,0.078,0.12,100.0
2020-04-23,271.0,188.714,16.0,14.286,2.345,1.633,0.138,0.124,100.0
2020-04-24,211.0,187.714,15.0,12.857,1.826,1.624,0.13,0.111,100.0
2020-04-25,102.0,172.429,17.0,13.857,0.883,1.492,0.147,0.12,100.0
2020-04-26,285.0,188.571,7.0,13.143,2.466,1.632,0.061,0.114,100.0
2020-04-27,198.0,188.286,10.0,11.857,1.713,1.629,0.087,0.103,100.0
