male,female,total
206.364,194.288,400.652
226.686,213.738,440.424
250.186,239.813,489.999
268.459,256.708,525.167
269.946,269.888,539.834
262.895,270.969,533.864
273.726,287.271,560.997
317.603,336.709,654.312
369.49,395.961,765.451
390.119,420.341,810.46
354.227,389.162,743.389
347.025,390.593,737.618
312.566,359.953,672.519
283.965,337.34,621.305
252.905,314.038,566.943
191.058,260.313,451.371
138.848,213.364,352.212
78.522,145.608,224.13
24.416,60.508,84.924
4.648,14.527,19.175
0.38,1.581,1.961
