time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-29,1.0,,,,0.371,,,,13.89
2020-03-01,2.0,,,,0.742,,,,13.89
2020-03-02,0.0,,,,0.0,,,,13.89
2020-03-03,4.0,,,,1.484,,,,13.89
2020-03-04,1.0,,,,0.371,,,,13.89
2020-03-05,0.0,1.143,,,0.0,0.424,,,13.89
2020-03-06,0.0,1.143,,,0.0,0.424,,,13.89
2020-03-07,0.0,1.0,,,0.0,0.371,,,13.89
2020-03-08,7.0,1.714,,,2.597,0.636,,,13.89
2020-03-09,3.0,2.143,,,1.113,0.795,,,13.89
2020-03-10,6.0,2.429,,,2.226,0.901,,,25.0
2020-03-11,238.0,36.286,,,88.307,13.463,,,25.0
2020-03-12,0.0,36.286,,,0.0,13.463,,,30.56
2020-03-13,58.0,44.571,,,21.52,16.538,,,30.56
2020-03-14,17.0,47.0,,,6.308,17.439,,,30.56
2020-03-15,64.0,55.143,,,23.747,20.46,,,41.67
2020-03-16,38.0,60.143,,,14.1,22.315,,,41.67
2020-03-17,0.0,59.286,,,0.0,21.997,,,61.11
2020-03-18,13.0,27.143,,,4.824,10.071,,,63.89
2020-03-19,8.0,28.286,,,2.968,10.495,,,63.89
2020-03-20,10.0,21.429,,,3.71,7.951,,,63.89
2020-03-21,11.0,20.571,,,4.081,7.633,,,63.89
2020-03-22,13.0,13.286,,,4.824,4.93,,,80.56
2020-03-23,7.0,8.857,,,2.597,3.286,,,80.56
2020-03-24,25.0,12.429,,,9.276,4.611,,,80.56
2020-03-25,11.0,12.143,,,4.081,4.505,,,80.56
2020-03-26,12.0,12.714,,,4.452,4.718,,,80.56
2020-03-27,13.0,13.143,,,4.824,4.877,,,80.56
2020-03-28,28.0,15.571,1.0,,10.389,5.778,0.371,,86.11
2020-03-29,44.0,20.0,0.0,,16.326,7.421,0.0,,86.11
2020-03-30,59.0,27.429,0.0,,21.891,10.177,0.0,,86.11
2020-03-31,88.0,36.429,1.0,,32.651,13.516,0.371,,86.11
2020-04-01,54.0,42.571,0.0,,20.036,15.796,0.0,,86.11
2020-04-02,114.0,57.143,1.0,0.429,42.299,21.202,0.371,0.159,86.11
2020-04-03,126.0,73.286,0.0,0.429,46.751,27.192,0.0,0.159,86.11
2020-04-04,250.0,105.0,0.0,0.286,92.76,38.959,0.0,0.106,86.11
2020-04-05,279.0,138.571,1.0,0.429,103.52,51.415,0.371,0.159,86.11
2020-04-06,228.0,162.714,0.0,0.429,84.597,60.373,0.0,0.159,86.11
2020-04-07,225.0,182.286,2.0,0.571,83.484,67.635,0.742,0.212,86.11
