time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,1.0,,,,0.051,,,,16.67
2020-02-27,0.0,,,,0.0,,,,16.67
2020-02-28,2.0,,,,0.102,,,,16.67
2020-02-29,0.0,,,,0.0,,,,16.67
2020-03-01,0.0,,,,0.0,,,,16.67
2020-03-02,0.0,0.429,,,0.0,0.022,,,16.67
2020-03-03,0.0,0.429,,,0.0,0.022,,,16.67
2020-03-04,1.0,0.429,,,0.051,0.022,,,16.67
2020-03-05,2.0,0.714,,,0.102,0.036,,,16.67
2020-03-06,3.0,0.857,,,0.153,0.044,,,16.67
2020-03-07,0.0,0.857,,,0.0,0.044,,,16.67
2020-03-08,6.0,1.714,,,0.305,0.087,,,30.56
2020-03-09,0.0,1.714,,,0.0,0.087,,,33.33
2020-03-10,10.0,3.143,,,0.509,0.16,,,33.33
2020-03-11,20.0,5.857,,,1.017,0.298,,,44.44
2020-03-12,4.0,6.143,,,0.203,0.312,,,58.33
2020-03-13,40.0,11.429,,,2.035,0.581,,,58.33
2020-03-14,34.0,16.286,,,1.729,0.828,,,58.33
2020-03-15,8.0,16.571,,,0.407,0.843,,,58.33
2020-03-16,27.0,20.429,,,1.373,1.039,,,58.33
2020-03-17,26.0,22.714,,,1.323,1.155,,,58.33
2020-03-18,76.0,30.714,,,3.866,1.562,,,58.33
2020-03-19,17.0,32.571,,,0.865,1.657,,,61.11
2020-03-20,31.0,31.286,,,1.577,1.591,,,61.11
2020-03-21,59.0,34.857,,,3.001,1.773,,,69.44
2020-03-22,66.0,43.143,3.0,,3.357,2.195,0.153,,75.0
2020-03-23,143.0,59.714,4.0,,7.274,3.037,0.203,,75.0
2020-03-24,218.0,87.143,4.0,,11.089,4.433,0.203,,75.0
2020-03-25,112.0,92.286,6.0,,5.697,4.694,0.305,,78.7
2020-03-26,123.0,107.429,6.0,,6.257,5.465,0.305,,78.7
2020-03-27,263.0,140.571,3.0,3.714,13.378,7.15,0.153,0.189,78.7
2020-03-28,160.0,155.0,11.0,5.286,8.139,7.884,0.56,0.269,78.7
2020-03-29,363.0,197.429,6.0,5.714,18.465,10.043,0.305,0.291,78.7
2020-03-30,294.0,219.0,22.0,8.286,14.955,11.14,1.119,0.421,81.48
2020-03-31,136.0,207.286,17.0,10.143,6.918,10.544,0.865,0.516,87.04
2020-04-01,215.0,222.0,10.0,10.714,10.936,11.292,0.509,0.545,87.04
2020-04-02,278.0,244.143,23.0,13.143,14.141,12.419,1.17,0.669,87.04
2020-04-03,445.0,270.143,18.0,15.286,22.636,13.741,0.916,0.778,87.04
2020-04-04,430.0,308.714,13.0,15.571,21.873,15.703,0.661,0.792,87.04
2020-04-05,251.0,292.714,5.0,15.429,12.768,14.889,0.254,0.785,87.04
2020-04-06,193.0,278.286,25.0,15.857,9.817,14.155,1.272,0.807,87.04
2020-04-07,360.0,310.286,21.0,16.429,18.312,15.783,1.068,0.836,87.04
2020-04-08,344.0,328.714,23.0,18.286,17.498,16.721,1.17,0.93,87.04
2020-04-09,441.0,352.0,28.0,19.0,22.432,17.905,1.424,0.966,87.04
2020-04-10,265.0,326.286,22.0,19.571,13.48,16.597,1.119,0.996,87.04
2020-04-11,523.0,339.571,21.0,20.714,26.603,17.273,1.068,1.054,87.04
2020-04-12,310.0,348.0,25.0,23.571,15.769,17.702,1.272,1.199,87.04
2020-04-13,333.0,368.0,15.0,22.143,16.939,18.719,0.763,1.126,87.04
2020-04-14,246.0,351.714,20.0,22.0,12.513,17.891,1.017,1.119,87.04
2020-04-15,337.0,350.714,21.0,21.714,17.142,17.84,1.068,1.105,87.04
2020-04-16,491.0,357.857,20.0,20.571,24.975,18.203,1.017,1.046,87.04
2020-04-17,360.0,371.429,19.0,20.143,18.312,18.893,0.966,1.025,87.04
2020-04-18,351.0,346.857,10.0,18.571,17.854,17.643,0.509,0.945,87.04
2020-04-19,328.0,349.429,30.0,19.286,16.684,17.774,1.526,0.981,87.04
2020-04-20,190.0,329.0,27.0,21.0,9.665,16.735,1.373,1.068,87.04
2020-04-21,306.0,337.571,20.0,21.0,15.565,17.171,1.017,1.068,87.04
2020-04-22,468.0,356.286,26.0,21.714,23.806,18.123,1.323,1.105,87.04
2020-04-23,386.0,341.286,21.0,21.857,19.635,17.36,1.068,1.112,87.04
2020-04-24,321.0,335.714,22.0,22.286,16.328,17.077,1.119,1.134,87.04
2020-04-25,218.0,316.714,34.0,25.714,11.089,16.11,1.729,1.308,87.04
2020-04-26,401.0,327.143,18.0,24.0,20.398,16.641,0.916,1.221,87.04
2020-04-27,303.0,343.286,22.0,23.286,15.413,17.462,1.119,1.184,87.04
2020-04-28,277.0,339.143,22.0,23.571,14.09,17.251,1.119,1.199,87.04
2020-04-29,362.0,324.0,30.0,24.143,18.414,16.481,1.526,1.228,87.04
2020-04-30,262.0,306.286,24.0,24.571,13.327,15.58,1.221,1.25,87.04
2020-05-01,327.0,307.143,27.0,25.286,16.633,15.623,1.373,1.286,87.04
2020-05-02,165.0,299.571,27.0,24.286,8.393,15.238,1.373,1.235,87.04
2020-05-03,431.0,303.857,19.0,24.429,21.923,15.456,0.966,1.243,87.04
2020-05-04,349.0,310.429,28.0,25.286,17.752,15.79,1.424,1.286,87.04
2020-05-05,325.0,317.286,23.0,25.429,16.532,16.139,1.17,1.293,87.04
2020-05-06,270.0,304.143,23.0,24.429,13.734,15.471,1.17,1.243,87.04
2020-05-07,392.0,322.714,24.0,24.429,19.94,16.415,1.221,1.243,87.04
2020-05-08,312.0,320.571,35.0,25.571,15.87,16.306,1.78,1.301,87.04
2020-05-09,320.0,342.714,16.0,24.0,16.277,17.433,0.814,1.221,87.04
2020-05-10,231.0,314.143,22.0,24.429,11.75,15.979,1.119,1.243,87.04
2020-05-11,226.0,296.571,21.0,23.429,11.496,15.086,1.068,1.192,78.7
2020-05-12,190.0,277.286,20.0,23.0,9.665,14.105,1.017,1.17,78.7
2020-05-13,224.0,270.714,34.0,24.571,11.394,13.77,1.729,1.25,78.7
