time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-03-14,1.0,,,,0.073,,,,30.09
2020-03-15,0.0,,,,0.0,,,,30.09
2020-03-16,4.0,,,,0.29,,,,41.2
2020-03-17,2.0,,,,0.145,,,,41.2
2020-03-18,1.0,,,,0.073,,,,41.2
2020-03-19,0.0,1.143,,,0.0,0.083,,,41.2
2020-03-20,9.0,2.429,,,0.653,0.176,,,42.59
2020-03-21,0.0,2.286,,,0.0,0.166,,,90.74
2020-03-22,2.0,2.571,,,0.145,0.187,,,90.74
2020-03-23,17.0,4.429,,,1.234,0.321,,,90.74
2020-03-24,4.0,4.714,,,0.29,0.342,,,90.74
2020-03-25,1.0,4.714,,,0.073,0.342,,,90.74
2020-03-26,9.0,6.0,,,0.653,0.436,,,90.74
2020-03-27,4.0,5.286,,,0.29,0.384,,,90.74
2020-03-28,6.0,6.143,,,0.436,0.446,,,90.74
2020-03-29,10.0,7.286,,,0.726,0.529,,,90.74
2020-03-30,0.0,4.857,,,0.0,0.353,,,90.74
2020-03-31,5.0,5.0,,,0.363,0.363,,,90.74
2020-04-01,7.0,5.857,,,0.508,0.425,,,90.74
2020-04-02,2.0,4.857,,,0.145,0.353,,,90.74
2020-04-03,5.0,5.0,,,0.363,0.363,,,90.74
2020-04-04,13.0,6.0,,,0.944,0.436,,,90.74
2020-04-05,2.0,4.857,,,0.145,0.353,,,90.74
2020-04-06,1.0,5.0,,,0.073,0.363,,,90.74
2020-04-07,0.0,4.286,,,0.0,0.311,,,90.74
2020-04-08,5.0,4.0,,,0.363,0.29,,,90.74
2020-04-09,0.0,3.714,,,0.0,0.27,,,90.74
2020-04-10,8.0,4.143,,,0.581,0.301,,,90.74
2020-04-11,2.0,2.571,,,0.145,0.187,,,90.74
2020-04-12,6.0,3.143,,,0.436,0.228,,,90.74
2020-04-13,1.0,3.143,,,0.073,0.228,,,90.74
2020-04-14,7.0,4.143,,,0.508,0.301,,,90.74
2020-04-15,2.0,3.714,,,0.145,0.27,,,90.74
2020-04-16,2.0,4.0,,,0.145,0.29,,,90.74
2020-04-17,5.0,3.571,,,0.363,0.259,,,90.74
2020-04-18,1.0,3.429,,,0.073,0.249,,,90.74
2020-04-19,3.0,3.0,,,0.218,0.218,,,90.74
2020-04-20,0.0,2.857,,,0.0,0.207,,,90.74
2020-04-21,3.0,2.286,,,0.218,0.166,,,90.74
2020-04-22,3.0,2.429,,,0.218,0.176,,,90.74
2020-04-23,1.0,2.286,,,0.073,0.166,,,90.74
2020-04-24,22.0,4.714,,,1.597,0.342,,,90.74
2020-04-25,7.0,5.571,,,0.508,0.404,,,90.74
2020-04-26,8.0,6.286,,,0.581,0.456,,,90.74
2020-04-27,16.0,8.571,,,1.161,0.622,,,90.74
2020-04-28,5.0,8.857,,,0.363,0.643,,,90.74
2020-04-29,13.0,10.286,,,0.944,0.747,,,90.74
2020-04-30,18.0,12.714,,,1.307,0.923,,,90.74
2020-05-01,6.0,10.429,,,0.436,0.757,,,90.74
2020-05-02,6.0,10.286,,,0.436,0.747,,,90.74
2020-05-03,4.0,9.714,,,0.29,0.705,,,90.74
2020-05-04,2.0,7.714,,,0.145,0.56,,,73.15
2020-05-05,0.0,7.0,,,0.0,0.508,,,73.15
2020-05-06,7.0,6.143,,,0.508,0.446,,,73.15
2020-05-07,3.0,4.0,,,0.218,0.29,,,73.15
2020-05-08,2.0,3.429,,,0.145,0.249,,,73.15
2020-05-09,7.0,3.571,,,0.508,0.259,,,73.15
2020-05-10,4.0,3.571,,,0.29,0.259,,,73.15
2020-05-11,1.0,3.429,,,0.073,0.249,,,73.15
2020-05-12,1.0,3.571,,,0.073,0.259,,,73.15
2020-05-13,1.0,2.714,,,0.073,0.197,,,73.15
2020-05-14,0.0,2.286,,,0.0,0.166,,,73.15
2020-05-15,0.0,2.0,,,0.0,0.145,,,73.15
2020-05-16,2.0,1.286,,,0.145,0.093,,,73.15
2020-05-17,3.0,1.143,,,0.218,0.083,,,73.15
2020-05-18,5.0,1.714,,,0.363,0.124,,,73.15
2020-05-19,11.0,3.143,,,0.798,0.228,,,73.15
2020-05-20,6.0,3.857,,,0.436,0.28,,,73.15
2020-05-21,6.0,4.714,,,0.436,0.342,,,73.15
