time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-26,,,,,,,,,13.89
2020-02-27,,,,,,,,,13.89
2020-02-28,,,,,,,,,13.89
2020-02-29,,,,,,,,,13.89
2020-03-01,,,,,,,,,13.89
2020-03-02,,,,,,,,,13.89
2020-03-03,,,,,,,,,13.89
2020-03-04,,,,,,,,,13.89
2020-03-05,,,,,,,,,13.89
2020-03-06,1.0,,,,0.146,,,,13.89
2020-03-07,0.0,,,,0.0,,,,13.89
2020-03-08,0.0,,,,0.0,,,,13.89
2020-03-09,0.0,,,,0.0,,,,13.89
2020-03-10,4.0,,,,0.582,,,,13.89
2020-03-11,7.0,1.714,,,1.019,0.249,,,25.0
2020-03-12,7.0,2.714,,,1.019,0.395,,,25.0
2020-03-13,16.0,4.857,,,2.328,0.707,,,25.0
2020-03-14,11.0,6.429,,,1.601,0.936,,,25.0
2020-03-15,2.0,6.714,,,0.291,0.977,,,49.07
2020-03-16,7.0,7.714,,,1.019,1.123,,,66.67
2020-03-17,10.0,8.571,,,1.455,1.247,,,66.67
2020-03-18,18.0,10.143,,,2.619,1.476,,,81.48
2020-03-19,20.0,12.0,,,2.911,1.746,,,81.48
2020-03-20,32.0,14.286,1.0,,4.657,2.079,0.146,,81.48
2020-03-21,36.0,17.857,0.0,,5.239,2.599,0.0,,100.0
2020-03-22,51.0,24.857,1.0,,7.422,3.617,0.146,,100.0
2020-03-23,27.0,27.714,1.0,,3.929,4.033,0.146,,100.0
2020-03-24,54.0,34.0,0.0,,7.858,4.948,0.0,,100.0
2020-03-25,81.0,43.0,1.0,0.571,11.788,6.258,0.146,0.083,100.0
2020-03-26,0.0,40.143,,,0.0,5.842,,,100.0
2020-03-27,73.0,46.0,0.0,0.429,10.624,6.694,0.0,0.062,100.0
2020-03-28,202.0,69.714,9.0,1.714,29.397,10.145,1.31,0.249,100.0
2020-03-29,82.0,74.143,3.0,2.0,11.933,10.79,0.437,0.291,100.0
2020-03-30,44.0,76.571,3.0,2.286,6.403,11.143,0.437,0.333,100.0
2020-03-31,115.0,85.286,0.0,2.286,16.736,12.411,0.0,0.333,100.0
2020-04-01,160.0,96.571,12.0,3.857,23.284,14.054,1.746,0.561,100.0
2020-04-02,111.0,112.429,3.0,4.286,16.154,16.361,0.437,0.624,100.0
2020-04-03,305.0,145.571,8.0,5.429,44.386,21.185,1.164,0.79,100.0
2020-04-04,148.0,137.857,5.0,4.857,21.538,20.062,0.728,0.707,100.0
2020-04-05,284.0,166.714,7.0,5.429,41.33,24.262,1.019,0.79,100.0
2020-04-06,292.0,202.143,7.0,6.0,42.494,29.417,1.019,0.873,100.0
2020-04-07,247.0,221.0,3.0,6.429,35.945,32.162,0.437,0.936,100.0
2020-04-08,219.0,229.429,4.0,5.286,31.871,33.388,0.582,0.769,100.0
2020-04-09,201.0,242.286,1.0,5.0,29.251,35.259,0.146,0.728,100.0
2020-04-10,238.0,232.714,5.0,4.571,34.636,33.866,0.728,0.665,100.0
2020-04-11,275.0,250.857,3.0,4.286,40.02,36.507,0.437,0.624,100.0
2020-04-12,250.0,246.0,6.0,4.143,36.382,35.8,0.873,0.603,100.0
2020-04-13,424.0,264.857,5.0,3.857,61.704,38.544,0.728,0.561,100.0
2020-04-14,411.0,288.286,9.0,4.714,59.812,41.954,1.31,0.686,100.0
2020-04-15,408.0,315.286,5.0,4.857,59.375,45.883,0.728,0.707,100.0
