male,female,total
2918.993,2845.952,5764.945
2943.352,2877.308,5820.66
2774.621,2721.342,5495.963
2472.38,2440.831,4913.211
2476.821,2447.27,4924.091
2628.636,2588.762,5217.398
2710.031,2664.079,5374.11
2403.602,2377.613,4781.215
1892.772,1917.268,3810.04
1578.214,1655.021,3233.235
1290.806,1401.326,2692.132
1035.566,1183.834,2219.4
804.405,990.31,1794.715
584.956,784.77,1369.726
359.322,535.895,895.217
213.173,367.665,580.838
95.571,202.849,298.42
28.462,75.492,103.954
4.071,14.023,18.094
0.248,1.026,1.274
0.01,0.042,0.052
