time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-01,1.0,,,,0.095,,,,5.56
2020-02-02,0.0,,,,0.0,,,,5.56
2020-02-03,0.0,,,,0.0,,,,5.56
2020-02-04,0.0,,,,0.0,,,,5.56
2020-02-05,0.0,,,,0.0,,,,5.56
2020-02-06,0.0,0.143,,,0.0,0.014,,,5.56
2020-02-07,0.0,0.143,,,0.0,0.014,,,5.56
2020-02-08,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-09,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-10,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-11,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-12,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-13,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-14,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-15,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-16,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-17,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-18,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-19,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-20,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-21,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-22,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-23,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-24,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-25,0.0,0.0,,,0.0,0.0,,,5.56
2020-02-26,1.0,0.143,,,0.095,0.014,,,5.56
2020-02-27,1.0,0.286,,,0.095,0.027,,,5.56
2020-02-28,8.0,1.429,,,0.758,0.135,,,5.56
2020-02-29,3.0,1.857,,,0.284,0.176,,,5.56
2020-03-01,0.0,1.857,,,0.0,0.176,,,5.56
2020-03-02,5.0,2.571,,,0.474,0.244,,,13.89
2020-03-03,13.0,4.429,,,1.232,0.42,,,13.89
2020-03-04,30.0,8.571,,,2.844,0.813,,,19.44
2020-03-05,25.0,12.0,,,2.37,1.138,,,19.44
2020-03-06,59.0,19.286,,,5.593,1.828,,,19.44
2020-03-07,33.0,23.571,,,3.128,2.234,,,19.44
2020-03-08,46.0,30.143,,,4.36,2.857,,,19.44
2020-03-09,101.0,43.857,,,9.574,4.157,,,19.44
2020-03-10,98.0,56.0,1.0,,9.29,5.308,0.095,,19.44
2020-03-11,196.0,79.714,0.0,,18.579,7.556,0.0,,19.44
2020-03-12,151.0,97.714,1.0,,14.314,9.263,0.095,,30.56
2020-03-13,152.0,111.0,1.0,,14.408,10.522,0.095,,30.56
2020-03-14,71.0,116.429,2.0,,6.73,11.037,0.19,,30.56
2020-03-15,69.0,119.714,2.0,1.0,6.541,11.348,0.19,0.095,30.56
2020-03-16,83.0,117.143,1.0,1.143,7.868,11.104,0.095,0.108,34.26
2020-03-17,119.0,120.143,6.0,1.857,11.28,11.389,0.569,0.176,41.67
2020-03-18,145.0,112.857,7.0,2.857,13.745,10.698,0.664,0.271,41.67
