time series,new_cases,new_cases_smoothed,new_deaths,new_deaths_smoothed,new_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,stringency_index
2020-02-25,1.0,,,,0.114,,,,8.33
2020-02-26,0.0,,,,0.0,,,,8.33
2020-02-27,7.0,,,,0.801,,,,13.89
2020-02-28,0.0,,,,0.0,,,,19.44
2020-02-29,10.0,,,,1.144,,,,19.44
2020-03-01,9.0,3.857,,,1.03,0.441,,,19.44
2020-03-02,15.0,6.0,,,1.716,0.686,,,19.44
2020-03-03,14.0,7.857,,,1.602,0.899,,,25.0
2020-03-04,34.0,12.714,,,3.89,1.455,,,25.0
2020-03-05,24.0,15.143,,,2.746,1.732,,,25.0
2020-03-06,100.0,29.429,1.0,,11.441,3.367,0.114,,25.0
2020-03-07,54.0,35.714,0.0,,6.178,4.086,0.0,,25.0
2020-03-08,69.0,44.286,1.0,,7.894,5.067,0.114,,25.0
2020-03-09,37.0,47.429,0.0,,4.233,5.426,0.0,,25.0
2020-03-10,117.0,62.143,3.0,,13.386,7.11,0.343,,25.0
2020-03-11,161.0,80.286,2.0,1.0,18.42,9.186,0.229,0.114,25.0
2020-03-12,0.0,76.857,3.0,1.429,0.0,8.793,0.343,0.163,25.0
2020-03-13,487.0,132.143,1.0,1.429,55.718,15.119,0.114,0.163,33.33
2020-03-14,220.0,155.857,3.0,1.857,25.17,17.832,0.343,0.212,33.33
2020-03-15,841.0,266.143,8.0,2.857,96.219,30.449,0.915,0.327,33.33
2020-03-16,0.0,260.857,11.0,4.429,0.0,29.845,1.259,0.507,44.44
2020-03-17,500.0,315.571,7.0,5.0,57.205,36.105,0.801,0.572,73.15
2020-03-18,328.0,339.429,8.0,5.857,37.527,38.834,0.915,0.67,73.15
2020-03-19,1047.0,489.0,10.0,6.857,119.788,55.947,1.144,0.785,73.15
2020-03-20,1219.0,593.571,20.0,9.571,139.466,67.911,2.288,1.095,73.15
2020-03-21,1281.0,745.143,20.0,12.0,146.56,85.252,2.288,1.373,73.15
2020-03-22,899.0,753.429,15.0,13.0,102.855,86.2,1.716,1.487,73.15
2020-03-23,1321.0,942.143,28.0,15.429,151.136,107.791,3.203,1.765,73.15
2020-03-24,1082.0,1025.286,20.0,17.286,123.792,117.303,2.288,1.978,73.15
2020-03-25,1020.0,1124.143,35.0,21.143,116.699,128.614,4.004,2.419,73.15
2020-03-26,914.0,1105.143,42.0,25.714,104.571,126.44,4.805,2.942,73.15
2020-03-27,1117.0,1090.571,35.0,27.857,127.796,124.773,4.004,3.187,73.15
2020-03-28,1148.0,1071.571,56.0,33.0,131.343,122.599,6.407,3.776,73.15
2020-03-29,753.0,1050.714,47.0,37.571,86.151,120.213,5.377,4.299,73.15
2020-03-30,1093.0,1018.143,58.0,41.857,125.05,116.486,6.636,4.789,73.15
2020-03-31,683.0,961.143,51.0,46.286,78.142,109.965,5.835,5.296,73.15
2020-04-01,1163.0,981.571,61.0,50.0,133.059,112.302,6.979,5.721,73.15
2020-04-02,1059.0,1002.286,59.0,52.429,121.161,114.672,6.75,5.998,73.15
2020-04-03,779.0,954.0,55.0,55.286,89.126,109.147,6.293,6.325,73.15
2020-04-04,899.0,918.429,59.0,55.714,102.855,105.078,6.75,6.374,73.15
2020-04-05,595.0,895.857,52.0,56.429,68.074,102.495,5.949,6.456,73.15
2020-04-06,557.0,819.286,52.0,55.571,63.727,93.735,5.949,6.358,73.15
2020-04-07,596.0,806.857,59.0,56.714,68.189,92.313,6.75,6.489,73.15
2020-04-08,1027.0,787.429,64.0,57.143,117.499,90.09,7.322,6.538,73.15
2020-04-09,771.0,746.286,45.0,55.143,88.21,85.383,5.148,6.309,73.15
2020-04-10,500.0,706.429,55.0,55.143,57.205,80.823,6.293,6.309,73.15
2020-04-11,556.0,657.429,41.0,52.571,63.612,75.217,4.691,6.015,73.15
2020-04-12,308.0,616.429,54.0,52.857,35.238,70.526,6.178,6.047,73.15
2020-04-13,273.0,575.857,32.0,50.0,31.234,65.884,3.661,5.721,73.15
2020-04-14,248.0,526.143,36.0,46.714,28.374,60.196,4.119,5.345,73.15
2020-04-15,400.0,436.571,47.0,44.286,45.764,49.948,5.377,5.067,73.15
2020-04-16,396.0,383.0,42.0,43.857,45.306,43.819,4.805,5.018,73.15
2020-04-17,346.0,361.0,32.0,40.571,39.586,41.302,3.661,4.642,73.15
2020-04-18,326.0,328.143,36.0,39.857,37.298,37.543,4.119,4.56,73.15
2020-04-19,336.0,332.143,25.0,35.714,38.442,38.001,2.86,4.086,73.15
2020-04-20,204.0,322.286,41.0,37.0,23.34,36.873,4.691,4.233,73.15
2020-04-21,119.0,303.857,37.0,37.143,13.615,34.764,4.233,4.25,73.15
2020-04-22,205.0,276.0,28.0,34.429,23.454,31.577,3.203,3.939,73.15
2020-04-23,228.0,252.0,34.0,33.286,26.086,28.831,3.89,3.808,73.15
